sulfur,genotype,cpd,isotope,batch,value
SIN,wt,Cys,0,1,204.9973497
SIN,wt,Cys,0,2,163.5344087
SIN,wt,Cys,0,3,263.9983219
SIN,wt,Cys,0,4,222.1684117
SIN,wt,Cys,0,5,197.7700078
SIN,wt,Cys,0,6,204.0756369
S150,wt,Cys,0,1,84.03433169
S150,wt,Cys,0,2,129.9517703
S150,wt,Cys,0,3,76.93422123
S150,wt,Cys,0,4,110.0096836
S150,wt,Cys,0,5,79.06247846
S150,wt,Cys,0,6,120.0075147
S0,wt,Cys,0,1,67.32135517
S0,wt,Cys,0,2,81.53419451
S0,wt,Cys,0,3,76.21059465
S0,wt,Cys,0,4,56.25585383
S0,wt,Cys,0,5,80.00880047
S0,wt,Cys,0,6,39.74943646
PhE,wt,Cys,0,1,239.7217014
PhE,wt,Cys,0,2,163.9916129
PhE,wt,Cys,0,3,188.1143577
PhE,wt,Cys,0,4,258.5761153
PhE,wt,Cys,0,5,341.9129243
PhE,wt,Cys,0,6,152.76486
I3G,wt,Cys,0,1,136.9244609
I3G,wt,Cys,0,2,182.2290678
I3G,wt,Cys,0,3,237.1805677
I3G,wt,Cys,0,4,349.2649841
I3G,wt,Cys,0,5,263.1668231
I3G,wt,Cys,0,6,148.6615725
4MTB,wt,Cys,0,1,186.1286803
4MTB,wt,Cys,0,2,210.6116147
4MTB,wt,Cys,0,3,274.7864118
4MTB,wt,Cys,0,4,221.486708
4MTB,wt,Cys,0,5,182.0336065
4MTB,wt,Cys,0,6,222.7105595
