sulfur,genotype,cpd,isotope,batch,value,relative
S1500,wt,Cys,0,1,0.029358821,35.50244598
S1500,wt,Cys,0,2,0.073683703,89.10275112
S1500,wt,Cys,0,3,0.091778394,110.9839366
S1500,wt,Cys,0,4,0.116702803,141.1240265
S1500,wt,Cys,2,1,0.000107149,0.129570971
S1500,wt,Cys,2,2,0.004100239,4.958254563
S1500,wt,Cys,2,3,0.006989509,8.452132847
S1500,wt,Cys,2,4,0.008060204,9.746881441
S150,wt,Cys,0,1,0.004223576,5.107401787
S150,wt,Cys,0,2,0.013263436,16.03894261
S150,wt,Cys,0,3,0.012637629,15.28217822
S150,wt,Cys,0,4,0.012858313,15.54904283
S150,wt,Cys,2,1,0.000105064,0.127049796
S150,wt,Cys,2,2,0.002778909,3.360423125
S150,wt,Cys,2,3,0.000102996,0.12454913
S150,wt,Cys,2,4,0.000102375,0.123798112
4MSB,wt,Cys,0,1,0.024720559,29.89358147
4MSB,wt,Cys,0,2,0.038597238,46.67409423
4MSB,wt,Cys,0,3,0.021406556,25.88609151
4MSB,wt,Cys,0,4,0.057378001,69.38491836
4MSB,wt,Cys,2,1,0.000127163,0.153773567
4MSB,wt,Cys,2,2,0.000112006,0.135444266
4MSB,wt,Cys,2,3,9.33968E-05,0.112941062
4MSB,wt,Cys,2,4,0.00735426,8.893212229
4MSB-34S,wt,Cys,0,1,0.019211193,23.23132592
4MSB-34S,wt,Cys,0,2,0.024846219,30.04553743
4MSB-34S,wt,Cys,0,3,0.015450767,18.68399358
4MSB-34S,wt,Cys,0,4,0.03240407,39.18494426
4MSB-34S,wt,Cys,2,1,0.015569941,18.82810586
4MSB-34S,wt,Cys,2,2,0.022085528,26.70714438
4MSB-34S,wt,Cys,2,3,0.009746309,11.78582155
4MSB-34S,wt,Cys,2,4,0.020220045,24.45129089
S1500,wt,Met,0,1,0.466001629,76.45768819
S1500,wt,Met,0,2,0.586551217,96.23646632
S1500,wt,Met,0,3,0.711228953,116.6925568
S1500,wt,Met,0,4,0.536416758,88.01081953
S1500,wt,Met,2,1,0.025801474,4.233292248
S1500,wt,Met,2,2,0.043004269,7.055784344
S1500,wt,Met,2,3,0.038249335,6.275634196
S1500,wt,Met,2,4,0.030704612,5.037758389
S150,wt,Met,0,1,0.420455978,68.98493503
S150,wt,Met,0,2,0.281056596,46.11343881
S150,wt,Met,0,3,0.379582042,62.278678
S150,wt,Met,0,4,0.380047093,62.35497971
S150,wt,Met,2,1,0.030153394,4.947319112
S150,wt,Met,2,2,0.029580619,4.853342986
S150,wt,Met,2,3,0.022391365,3.67378971
S150,wt,Met,2,4,0.033097871,5.430424519
4MSB,wt,Met,0,1,0.387314183,63.54730365
4MSB,wt,Met,0,2,0.362215925,59.4293894
4MSB,wt,Met,0,3,0.365517885,59.97114774
4MSB,wt,Met,0,4,0.464004221,76.12997001
4MSB,wt,Met,2,1,0.03582192,5.877364055
4MSB,wt,Met,2,2,0.026433396,4.336972664
4MSB,wt,Met,2,3,0.021145045,3.469303927
4MSB,wt,Met,2,4,0.030640992,5.027320195
4MSB-34S,wt,Met,0,1,0.352418365,57.82188697
4MSB-34S,wt,Met,0,2,0.304319275,49.93018656
4MSB-34S,wt,Met,0,3,0.273833071,44.92826256
4MSB-34S,wt,Met,0,4,0.244956806,40.19048426
4MSB-34S,wt,Met,2,1,0.130380309,21.39172132
4MSB-34S,wt,Met,2,2,0.133143033,21.84500632
4MSB-34S,wt,Met,2,3,0.099536573,16.33113654
4MSB-34S,wt,Met,2,4,0.088951654,14.59445075
S1500,wt,GSH,0,1,21.36626736,64.71894785
S1500,wt,GSH,0,2,35.61110441,107.8669086
S1500,wt,GSH,0,3,33.69796461,102.0719613
S1500,wt,GSH,0,4,34.9701121,105.9253272
S1500,wt,GSH,2,1,1.086254929,3.29029282
S1500,wt,GSH,2,2,1.834326234,5.556219151
S1500,wt,GSH,2,3,1.734155685,5.252800099
S1500,wt,GSH,2,4,1.755529844,5.317542953
S150,wt,GSH,0,1,0.870382433,2.636409737
S150,wt,GSH,0,2,4.075061075,12.34345994
S150,wt,GSH,0,3,2.25388553,6.827074548
S150,wt,GSH,0,4,2.373024161,7.187948382
S150,wt,GSH,2,1,0.04441059,0.134520768
S150,wt,GSH,2,2,0.210749186,0.638364452
S150,wt,GSH,2,3,0.113532665,0.343893227
S150,wt,GSH,2,4,0.129545455,0.392396359
4MSB,wt,GSH,0,1,1.977911723,5.991143119
4MSB,wt,GSH,0,2,3.197623235,9.685679201
4MSB,wt,GSH,0,3,2.294050621,6.948735594
4MSB,wt,GSH,0,4,13.11208652,39.71683165
4MSB,wt,GSH,2,1,0.107389463,0.325285318
4MSB,wt,GSH,2,2,0.166351183,0.503881814
4MSB,wt,GSH,2,3,0.126478005,0.383104979
4MSB,wt,GSH,2,4,0.701967819,2.126277738
4MSB-34S,wt,GSH,0,1,2.142922398,6.490964501
4MSB-34S,wt,GSH,0,2,2.404856672,7.28436984
4MSB-34S,wt,GSH,0,3,1.807873489,5.476093137
4MSB-34S,wt,GSH,0,4,1.957491816,5.92929072
4MSB-34S,wt,GSH,2,1,1.365104017,4.134933548
4MSB-34S,wt,GSH,2,2,1.550275399,4.695822205
4MSB-34S,wt,GSH,2,3,1.197678085,3.627796294
4MSB-34S,wt,GSH,2,4,1.169690022,3.543019765
