time,genotype,cpd,batch,value,relative
0h,wt intact,SFN,1,0.011851505,0.016575182
0h,wt intact,SFN,1,0.006788375,0.009494031
0h,wt intact,SFN,2,0.019706317,0.027560702
0h,wt intact,SFN,2,0.000127369,0.000178135
0h,wt intact,SFN,3,0.000137171,0.000191844
0h,wt intact,SFN,3,0.000125775,0.000175905
6min,wt intact,SFN,1,1.768791753,2.473782499
6min,wt intact,SFN,2,1.353879305,1.893497595
6min,wt intact,SFN,3,1.453949278,2.03345265
3h,wt intact,SFN,1,23.91898085,33.45241525
3h,wt intact,SFN,2,17.73063618,24.79757009
3h,wt intact,SFN,3,18.26257549,25.54152548
9h,wt intact,SFN,1,30.14655751,42.16212917
9h,wt intact,SFN,2,25.45827696,35.60523159
9h,wt intact,SFN,3,23.26112709,32.53235945
24h,wt intact,SFN,1,5.614434118,7.85218997
24h,wt intact,SFN,2,4.344888031,6.076638447
24h,wt intact,SFN,3,2.175022504,3.041925425
48h,wt intact,SFN,1,0.211198327,0.295376052
48h,wt intact,SFN,2,0.106083601,0.148365547
48h,wt intact,SFN,3,0.107707191,0.150636254
0h,wt homogenate,SFN,1,0.011851505,0.016575182
0h,wt homogenate,SFN,1,0.006788375,0.009494031
0h,wt homogenate,SFN,2,0.019706317,0.027560702
0h,wt homogenate,SFN,2,0.000127369,0.000178135
0h,wt homogenate,SFN,3,0.000137171,0.000191844
0h,wt homogenate,SFN,3,0.000125775,0.000175905
6min,wt homogenate,SFN,1,65.3968032,91.46213338
6min,wt homogenate,SFN,2,58.15566606,81.33488222
6min,wt homogenate,SFN,3,58.13243819,81.30239637
3h,wt homogenate,SFN,1,69.10410641,96.64706359
3h,wt homogenate,SFN,2,62.45126535,87.34258682
3h,wt homogenate,SFN,3,63.74903233,89.15760729
9h,wt homogenate,SFN,1,70.45984953,98.54316786
9h,wt homogenate,SFN,2,61.54222645,86.07123053
9h,wt homogenate,SFN,3,66.28087048,92.69856506
24h,wt homogenate,SFN,1,75.98677873,106.2729759
24h,wt homogenate,SFN,2,62.64547458,87.6142024
24h,wt homogenate,SFN,3,75.87226605,106.1128217
48h,wt homogenate,SFN,1,75.43479803,105.5009912
48h,wt homogenate,SFN,2,63.05463306,88.18643996
48h,wt homogenate,SFN,3,64.00983004,89.52235165
0h,medium,SFN,1,0.011851505,0.016575182
0h,medium,SFN,1,0.006788375,0.009494031
0h,medium,SFN,2,0.019706317,0.027560702
0h,medium,SFN,2,0.000127369,0.000178135
0h,medium,SFN,3,0.000137171,0.000191844
0h,medium,SFN,3,0.000125775,0.000175905
6min,medium,SFN,1,0.02353257,0.032911992
6min,medium,SFN,1,0.007449161,0.010418187
6min,medium,SFN,2,0.025893509,0.036213935
6min,medium,SFN,2,0.000135572,0.000189607
6min,medium,SFN,3,0.01364567,0.019084451
6min,medium,SFN,3,0.000134115,0.000187569
3h,medium,SFN,1,0.017590155,0.024601097
3h,medium,SFN,1,0.000142568,0.000199392
3h,medium,SFN,2,0.042124599,0.058914282
3h,medium,SFN,2,0.000133246,0.000186354
3h,medium,SFN,3,0.011945572,0.016706742
3h,medium,SFN,3,0.000141431,0.000197801
9h,medium,SFN,1,0.022633571,0.031654677
9h,medium,SFN,1,0.018358374,0.025675507
9h,medium,SFN,2,0.063023047,0.088142265
9h,medium,SFN,2,0.000138266,0.000193375
9h,medium,SFN,3,0.000142829,0.000199757
9h,medium,SFN,3,0.000174258,0.000243712
24h,medium,SFN,1,0.035464785,0.049600053
24h,medium,SFN,1,0.026430389,0.0369648
