time,genotype,treatment,batch,value,relative
00h,wt,4MSB,1,0.018878118,17.19072366
00h,wt,4MSB,1,0.018569391,16.90959124
00h,wt,4MSB,2,0.013821683,12.58625129
00h,wt,4MSB,2,0.023409064,21.3166773
00h,wt,4MSB,3,0.015079248,13.73141048
00h,wt,4MSB,3,0.012972944,11.8133749
09h,wt,4MSB,1,0.031878691,29.02925821
09h,wt,4MSB,2,0.051044741,46.48217667
09h,wt,4MSB,3,0.046871284,42.681759
24h,wt,4MSB,1,0.074820013,68.1323286
24h,wt,4MSB,2,0.088276399,80.38593442
24h,wt,4MSB,3,0.117232008,106.7533859
48h,wt,4MSB,1,0.070812434,64.48296211
48h,wt,4MSB,2,0.064805121,59.01260425
48h,wt,4MSB,3,0.08592952,78.24882843
00h,oxp1,4MSB,1,0.118670533,108.0633309
00h,oxp1,4MSB,1,0.087261675,79.46190973
00h,oxp1,4MSB,2,0.08104462,73.80055827
00h,oxp1,4MSB,2,0.118859889,108.2357613
00h,oxp1,4MSB,3,0.156644405,142.6429605
00h,oxp1,4MSB,3,0.096413245,87.79547935
09h,oxp1,4MSB,1,0.11828223,107.7097359
09h,oxp1,4MSB,2,0.155259125,141.3815019
09h,oxp1,4MSB,3,0.126667363,115.3453748
24h,oxp1,4MSB,1,0.256589048,233.6541884
24h,oxp1,4MSB,2,0.295196371,268.8106494
24h,oxp1,4MSB,3,0.29009977,264.1696005
48h,oxp1,4MSB,1,0.289427817,263.5577096
48h,oxp1,4MSB,2,0.381951469,347.811262
48h,oxp1,4MSB,3,0.209264831,190.5599822
00h,wt,DW,1,0.018878118,17.19072366
00h,wt,DW,1,0.018569391,16.90959124
00h,wt,DW,2,0.013821683,12.58625129
00h,wt,DW,2,0.023409064,21.3166773
00h,wt,DW,3,0.015079248,13.73141048
00h,wt,DW,3,0.012972944,11.8133749
09h,wt,DW,1,0.008952303,8.15211406
09h,wt,DW,2,0.011588063,10.55227956
09h,wt,DW,3,0.008038755,7.320221907
24h,wt,DW,1,0.024284536,22.11389648
24h,wt,DW,2,0.016031663,14.598695
24h,wt,DW,3,0.016412682,14.94565714
48h,wt,DW,1,0.028959438,26.37093825
48h,wt,DW,2,0.01107344,10.08365624
48h,wt,DW,3,0.036283366,33.04022692
00h,oxp1,DW,1,0.118670533,108.0633309
00h,oxp1,DW,1,0.087261675,79.46190973
00h,oxp1,DW,2,0.08104462,73.80055827
00h,oxp1,DW,2,0.118859889,108.2357613
00h,oxp1,DW,3,0.156644405,142.6429605
00h,oxp1,DW,3,0.096413245,87.79547935
09h,oxp1,DW,1,0.086493121,78.76205242
09h,oxp1,DW,2,0.134590781,122.5605694
09h,oxp1,DW,3,0.153766919,140.0226742
24h,oxp1,DW,1,0.136297496,124.1147319
24h,oxp1,DW,2,0.134341264,122.3333551
24h,oxp1,DW,3,0.079788981,72.65715233
48h,oxp1,DW,1,0.165695473,150.8850108
48h,oxp1,DW,2,0.117106455,106.6390555
48h,oxp1,DW,3,0.136507399,124.3058724
00h,wt,pCys,1,0.018878118,17.19072366
00h,wt,pCys,1,0.018569391,16.90959124
00h,wt,pCys,2,0.013821683,12.58625129
00h,wt,pCys,2,0.023409064,21.3166773
00h,wt,pCys,3,0.015079248,13.73141048
00h,wt,pCys,3,0.012972944,11.8133749
09h,wt,pCys,1,0.585726344,533.3719998
09h,wt,pCys,2,0.552259985,502.8969855
09h,wt,pCys,3,0.366715834,333.9374436
24h,wt,pCys,1,0.373667282,340.2675457
24h,wt,pCys,2,0.222530108,202.6395604
24h,wt,pCys,3,0.437474103,398.3710815
48h,wt,pCys,1,0.148302329,135.0465294
48h,wt,pCys,2,0.139088846,126.6565809
48h,wt,pCys,3,0.483174329,439.9864558
00h,oxp1,pCys,1,0.118670533,108.0633309
00h,oxp1,pCys,1,0.087261675,79.46190973
00h,oxp1,pCys,2,0.08104462,73.80055827
00h,oxp1,pCys,2,0.118859889,108.2357613
00h,oxp1,pCys,3,0.156644405,142.6429605
00h,oxp1,pCys,3,0.096413245,87.79547935
09h,oxp1,pCys,1,2.17372028,1979.425282
09h,oxp1,pCys,2,1.989746542,1811.895783
09h,oxp1,pCys,3,1.556351133,1417.238827
24h,oxp1,pCys,1,3.087535387,2811.560281
24h,oxp1,pCys,2,3.282914406,2989.475615
24h,oxp1,pCys,3,4.818525051,4387.827814
48h,oxp1,pCys,1,1.797166105,1636.528884
48h,oxp1,pCys,2,2.835298434,2581.869182
48h,oxp1,pCys,3,2.87693928,2619.788017
00h,wt,RA,1,0.018878118,17.19072366
00h,wt,RA,1,0.018569391,16.90959124
00h,wt,RA,2,0.013821683,12.58625129
00h,wt,RA,2,0.023409064,21.3166773
00h,wt,RA,3,0.015079248,13.73141048
00h,wt,RA,3,0.012972944,11.8133749
09h,wt,RA,1,0.021732302,19.78978998
09h,wt,RA,2,0.019042709,17.34060286
09h,wt,RA,3,0.010414724,9.483818372
24h,wt,RA,1,0.025479948,23.20245803
24h,wt,RA,2,0.022649768,20.62524964
24h,wt,RA,3,0.049171127,44.77603337
48h,wt,RA,1,0.055664988,50.68944929
48h,wt,RA,2,0.038493632,35.05293207
48h,wt,RA,3,0.075910832,69.12564636
00h,oxp1,RA,1,0.118670533,108.0633309
00h,oxp1,RA,1,0.087261675,79.46190973
00h,oxp1,RA,2,0.08104462,73.80055827
00h,oxp1,RA,2,0.118859889,108.2357613
00h,oxp1,RA,3,0.156644405,142.6429605
00h,oxp1,RA,3,0.096413245,87.79547935
09h,oxp1,RA,1,0.100442688,91.46475663
09h,oxp1,RA,2,0.11136551,101.4112568
09h,oxp1,RA,3,0.108397804,98.70881507
24h,oxp1,RA,1,0.238615286,217.2869866
24h,oxp1,RA,2,0.28479968,259.3432524
