gene,cpd,batch,value
BGLU28,1MI3G,1,0.030852693
BGLU28,1MI3G,2,0.053386546
BGLU28,1MI3G,3,0.023889952
BGLU28,1MI3G,4,0.01706406
BGLU28,1MI3G,5,0
BGLU28,Bn,1,0.114300109
BGLU28,Bn,2,0.146089795
BGLU28,Bn,3,0.073099257
BGLU28,Bn,4,0.0578587
BGLU28,Bn,5,0.08560861
BGLU28,GEC,1,0.095242329
BGLU28,GEC,2,0.170079164
BGLU28,GEC,3,0.070519652
BGLU28,GEC,4,0.055028632
BGLU28,GEC,5,0.067217558
BGLU28,GIB,1,0.024506586
BGLU28,GIB,2,0.034612901
BGLU28,GIB,3,0.011193177
BGLU28,GIB,4,0.009210592
BGLU28,GIB,5,0.014302054
BGLU28,GRA,1,0.002280718
BGLU28,GRA,2,0.017923142
BGLU28,GRA,3,0.004764166
BGLU28,GRA,4,0.001192167
BGLU28,GRA,5,0
BGLU28,GRE,1,0.012612723
BGLU28,GRE,2,0.035490646
BGLU28,GRE,3,0.01305143
BGLU28,GRE,4,0.00884041
BGLU28,GRE,5,0
BGLU28,I3G,1,0.007936511
BGLU28,I3G,2,0.015212105
BGLU28,I3G,3,0.003861879
BGLU28,I3G,4,0.002521878
BGLU28,I3G,5,0
BGLU28,PhE,1,0.068940998
BGLU28,PhE,2,0.130132213
BGLU28,PhE,3,0.051717075
BGLU28,PhE,4,0.043013674
BGLU28,PhE,5,0.058178193
BGLU28,SIN,1,0.00607675
BGLU28,SIN,2,0.033512282
BGLU28,SIN,3,0.010159316
BGLU28,SIN,4,0.009061218
BGLU28,SIN,5,0.024639596
GFP,1MI3G,1,0
GFP,1MI3G,2,0.000599832
GFP,1MI3G,3,0.00112128
GFP,Bn,1,0.003206645
GFP,Bn,2,0.002641242
GFP,Bn,3,0.005052852
GFP,GEC,1,0
GFP,GEC,2,0.00109507
GFP,GEC,3,0.002959424
GFP,GIB,1,0.005627924
GFP,GIB,2,0.001513287
GFP,GIB,3,0.007386586
GFP,GRA,1,0.000758416
GFP,GRA,2,0.003409726
GFP,GRA,3,0.004027556
GFP,GRE,1,0.000752475
GFP,GRE,2,0.002801715
GFP,GRE,3,0.004405465
GFP,I3G,1,0
GFP,I3G,2,0
GFP,I3G,3,0.001263506
GFP,PhE,1,0
GFP,PhE,2,0.002692892
GFP,PhE,3,0.005739507
GFP,SIN,1,0.009907316
GFP,SIN,2,0
GFP,SIN,3,0.00835437
TGG1,1MI3G,1,0.140086364
TGG1,1MI3G,2,0.103960866
TGG1,1MI3G,3,0.091223246
TGG1,1MI3G,4,0.086076957
TGG1,1MI3G,5,0.109725099
TGG1,Bn,1,0.1559784
TGG1,Bn,2,0.127126329
TGG1,Bn,3,0.128150734
TGG1,Bn,4,0.112353156
TGG1,Bn,5,0.154523988
TGG1,GEC,1,0.156954847
TGG1,GEC,2,0.119853929
TGG1,GEC,3,0.110209872
TGG1,GEC,4,0.100389757
TGG1,GEC,5,0.149644989
TGG1,GIB,1,0.162154831
TGG1,GIB,2,0.122913813
TGG1,GIB,3,0.113317414
TGG1,GIB,4,0.114663869
TGG1,GIB,5,0.186344882
TGG1,GRA,1,0.161928995
TGG1,GRA,2,0.122012428
TGG1,GRA,3,0.107547141
TGG1,GRA,4,0.104942286
TGG1,GRA,5,0.157490349
TGG1,GRE,1,0.149805946
TGG1,GRE,2,0.117165679
TGG1,GRE,3,0.102311271
TGG1,GRE,4,0.096902724
TGG1,GRE,5,0.131428176
TGG1,I3G,1,0.134413282
TGG1,I3G,2,0.106514215
TGG1,I3G,3,0.071652792
TGG1,I3G,4,0.088157238
TGG1,I3G,5,0.125150254
TGG1,PhE,1,0.155822466
TGG1,PhE,2,0.115883055
TGG1,PhE,3,0.112836739
TGG1,PhE,4,0.105570942
TGG1,PhE,5,0.144612687
TGG1,SIN,1,0.166594569
TGG1,SIN,2,0.12148906
TGG1,SIN,3,0.118192103
TGG1,SIN,4,0.114262356
TGG1,SIN,5,0.150070887
