time,genotype,cpd,batch,value,relative
S0_5d,wt,G01,1,0.000171792,0.024723993
S0_5d,wt,G01,2,0.004711888,0.678124673
S0_5d,wt,G01,3,0.001500026,0.215880398
S0_5d,bglu30,G01,1,0.020172397,2.903167382
S0_5d,bglu30,G01,2,0.001974203,0.284122938
S0_5d,bglu30,G01,3,0.001490809,0.214553997
S0_5d,bglu28bglu30,G01,1,0.120719251,17.37365123
S0_5d,bglu28bglu30,G01,2,0.107883465,15.5263529
S0_5d,bglu28bglu30,G01,3,0.101590035,14.6206161
S0_5d,bglu28,G01,1,0.001488661,0.214244876
S0_5d,bglu28,G01,2,0.001528726,0.220010979
S0_5d,bglu28,G01,3,0.001530724,0.220298494
S1500 5d,wt,G01,1,0.837426371,120.5205758
S1500 5d,wt,G01,2,1.173206278,168.8452872
S1500 5d,wt,G01,3,0.962532274,138.5255443
S1500 5d,bglu30,G01,1,0.871526013,125.4281219
S1500 5d,bglu30,G01,2,1.22972039,176.9786749
S1500 5d,bglu30,G01,3,1.085321326,156.1970768
S1500 5d,bglu28bglu30,G01,1,0.701444632,100.9503807
S1500 5d,bglu28bglu30,G01,2,1.111436569,159.9555256
S1500 5d,bglu28bglu30,G01,3,1.515004652,218.0361633
S1500 5d,bglu28,G01,1,0.648113089,93.27502145
S1500 5d,bglu28,G01,2,1.243134746,178.9092397
S1500 5d,bglu28,G01,3,1.244169614,179.0581758
S1500_0d,wt,G01,1,0.58557362,84.27447752
S1500_0d,wt,G01,1,0.641781077,92.36373206
S1500_0d,wt,G01,2,0.690509442,99.37661204
S1500_0d,wt,G01,2,0.579368264,83.38141627
S1500_0d,wt,G01,3,0.948599702,136.520399
S1500_0d,wt,G01,3,0.723213878,104.0833631
S1500_0d,bglu30,G01,1,1.016365282,146.2730733
S1500_0d,bglu30,G01,1,0.722879152,104.0351901
S1500_0d,bglu30,G01,2,0.774031707,111.3969541
S1500_0d,bglu30,G01,2,0.791425442,113.9002225
S1500_0d,bglu30,G01,3,1.071259876,154.1733836
S1500_0d,bglu30,G01,3,0.708358918,101.9454697
S1500_0d,bglu28bglu30,G01,1,0.683298202,98.3387861
S1500_0d,bglu28bglu30,G01,1,0.684485119,98.50960465
S1500_0d,bglu28bglu30,G01,2,0.954522728,137.372828
S1500_0d,bglu28bglu30,G01,2,1.172434163,168.7341662
S1500_0d,bglu28bglu30,G01,3,0.990948052,142.6150812
S1500_0d,bglu28bglu30,G01,3,1.159294749,166.8431703
S1500_0d,bglu28,G01,1,0.881027331,126.7955308
S1500_0d,bglu28,G01,1,0.815021245,117.296079
S1500_0d,bglu28,G01,2,0.77264294,111.1970858
S1500_0d,bglu28,G01,2,0.845825925,121.7294212
S1500_0d,bglu28,G01,3,0.847379913,121.9530678
S1500_0d,bglu28,G01,3,0.652662497,93.92976232
S0_5d,wt,G02,1,0.029902085,0.210844442
S0_5d,wt,G02,2,0.034090613,0.240378437
S0_5d,wt,G02,3,0.014264396,0.100580565
S0_5d,bglu30,G02,1,0.087632072,0.617907934
S0_5d,bglu30,G02,2,0.002226322,0.015698155
S0_5d,bglu30,G02,3,0.019199761,0.135380629
S0_5d,bglu28bglu30,G02,1,0.805941674,5.682825307
S0_5d,bglu28bglu30,G02,2,1.06923293,7.539334606
S0_5d,bglu28bglu30,G02,3,0.971585456,6.850806451
S0_5d,bglu28,G02,1,0.052926531,0.373193548
S0_5d,bglu28,G02,2,0.018972977,0.133781536
S0_5d,bglu28,G02,3,0.047565321,0.335390787
S1500 5d,wt,G02,1,11.29838816,79.66676527
S1500 5d,wt,G02,2,9.942615581,70.10699319
S1500 5d,wt,G02,3,9.658795855,68.10573431
S1500 5d,bglu30,G02,1,10.14780907,71.55384572
S1500 5d,bglu30,G02,2,11.66888217,82.27917856
S1500 5d,bglu30,G02,3,10.27903891,72.47916855
S1500 5d,bglu28bglu30,G02,1,9.532763862,67.21706232
S1500 5d,bglu28bglu30,G02,2,11.46907197,80.87028444
S1500 5d,bglu28bglu30,G02,3,14.35620165,101.2279036
S1500 5d,bglu28,G02,1,9.063468223,63.90798274
S1500 5d,bglu28,G02,2,11.39598495,80.35493603
S1500 5d,bglu28,G02,3,11.28761913,79.59083108
S1500_0d,wt,G02,1,14.33608849,101.0860824
S1500_0d,wt,G02,1,15.25458952,107.562582
S1500_0d,wt,G02,2,13.40654614,94.53172871
S1500_0d,wt,G02,2,12.97892266,91.51648628
S1500_0d,wt,G02,3,13.56004326,95.6140618
S1500_0d,wt,G02,3,15.55616773,109.6890588
S1500_0d,bglu30,G02,1,15.82524221,111.5863466
S1500_0d,bglu30,G02,1,13.79402674,97.26391722
S1500_0d,bglu30,G02,2,13.42178434,94.63917575
S1500_0d,bglu30,G02,2,13.931279,98.23170509
S1500_0d,bglu30,G02,3,17.08514001,120.47009
S1500_0d,bglu30,G02,3,11.90930848,83.97446346
S1500_0d,bglu28bglu30,G02,1,16.1976955,114.212575
S1500_0d,bglu28bglu30,G02,1,14.63938805,103.2246967
S1500_0d,bglu28bglu30,G02,2,18.37326643,129.5528781
S1500_0d,bglu28bglu30,G02,2,21.98046539,154.9878223
S1500_0d,bglu28bglu30,G02,3,16.37253436,115.4453922
S1500_0d,bglu28bglu30,G02,3,18.59323212,131.1038918
S1500_0d,bglu28,G02,1,15.83734224,111.6716658
S1500_0d,bglu28,G02,1,14.51475365,102.3458794
S1500_0d,bglu28,G02,2,17.09500338,120.5396382
S1500_0d,bglu28,G02,2,14.39668241,101.51334
S1500_0d,bglu28,G02,3,15.74872974,111.0468447
S1500_0d,bglu28,G02,3,13.03894027,91.93968016
S0_5d,wt,G03,1,0.012836194,2.137263139
S0_5d,wt,G03,2,0.004268638,0.710740418
S0_5d,wt,G03,3,0.002551265,0.424792968
S0_5d,bglu30,G03,1,0.017456448,2.906548696
S0_5d,bglu30,G03,2,0.001742969,0.290209383
S0_5d,bglu30,G03,3,0.006374427,1.061360374
S0_5d,bglu28bglu30,G03,1,0.063084368,10.50372808
S0_5d,bglu28bglu30,G03,2,0.087119035,14.5055689
S0_5d,bglu28bglu30,G03,3,0.071242066,11.8620082
S0_5d,bglu28,G03,1,0.008333758,1.387594526
S0_5d,bglu28,G03,2,0.002155899,0.358963443
S0_5d,bglu28,G03,3,0.003083788,0.51345955
S1500 5d,wt,G03,1,0.825904306,137.5154337
S1500 5d,wt,G03,2,0.676229141,112.5940899
S1500 5d,wt,G03,3,0.535256998,89.12182396
S1500 5d,bglu30,G03,1,0.645159909,107.4209737
S1500 5d,bglu30,G03,2,0.666415264,110.9600512
S1500 5d,bglu30,G03,3,0.522518506,87.00082862
S1500 5d,bglu28bglu30,G03,1,0.624468562,103.975805
S1500 5d,bglu28bglu30,G03,2,0.656463434,109.303043
S1500 5d,bglu28bglu30,G03,3,0.823330139,137.0868276
S1500 5d,bglu28,G03,1,0.606088248,100.9154302
S1500 5d,bglu28,G03,2,0.671762364,111.8503587
S1500 5d,bglu28,G03,3,0.668936479,111.3798407
S1500_0d,wt,G03,1,0.646549916,107.6524137
S1500_0d,wt,G03,1,0.709428868,118.1219395
S1500_0d,wt,G03,2,0.543819036,90.54742795
S1500_0d,wt,G03,2,0.563550824,93.83282717
S1500_0d,wt,G03,3,0.500353846,83.31034928
S1500_0d,wt,G03,3,0.639839092,106.5350423
S1500_0d,bglu30,G03,1,0.611634591,101.8389122
S1500_0d,bglu30,G03,1,0.53223935,88.61937706
S1500_0d,bglu30,G03,2,0.591556239,98.49580897
S1500_0d,bglu30,G03,2,0.557477969,92.82167937
S1500_0d,bglu30,G03,3,0.692719428,115.3397699
S1500_0d,bglu30,G03,3,0.490457418,81.66256563
S1500_0d,bglu28bglu30,G03,1,0.627923283,104.551026
S1500_0d,bglu28bglu30,G03,1,0.504191085,83.94926048
S1500_0d,bglu28bglu30,G03,2,0.684659236,113.9977248
S1500_0d,bglu28bglu30,G03,2,0.842940812,140.3520608
S1500_0d,bglu28bglu30,G03,3,0.583919155,97.2242127
S1500_0d,bglu28bglu30,G03,3,0.723290319,120.4299108
S1500_0d,bglu28,G03,1,0.648629069,107.9985987
S1500_0d,bglu28,G03,1,0.740934318,123.3676872
S1500_0d,bglu28,G03,2,0.719758665,119.8418802
S1500_0d,bglu28,G03,2,0.626033054,104.2362974
S1500_0d,bglu28,G03,3,0.758230679,126.2475808
S1500_0d,bglu28,G03,3,0.616801557,102.6992268
S0_5d,wt,G04,1,0.049133117,8.158487028
S0_5d,wt,G04,2,0.019807683,3.289038798
S0_5d,wt,G04,3,0.027791733,4.614779334
S0_5d,bglu30,G04,1,0.064495581,10.70940322
S0_5d,bglu30,G04,2,0.0070097,1.163951102
S0_5d,bglu30,G04,3,0.029391483,4.880415617
S0_5d,bglu28bglu30,G04,1,0.096387751,16.00505455
S0_5d,bglu28bglu30,G04,2,0.030620414,5.084477876
S0_5d,bglu28bglu30,G04,3,0.069141349,11.48082657
S0_5d,bglu28,G04,1,0.052171927,8.663077293
S0_5d,bglu28,G04,2,0.021066727,3.498101284
S0_5d,bglu28,G04,3,0.024073412,3.997357164
