group	estim	cpd	letters	logFC
S1500_0d:wt	0.689689361984226	G01	c	0
S1500_0d:bglu28	0.800581317717155	G01	cd	0.215101235232212
S1500_0d:bglu30	0.841635471132544	G01	cde	0.287248794685558
S1500_0d:bglu28bglu30	0.929910078742675	G01	de	0.431144501675903
S1500_5d:wt	0.986276605476553	G01	de	0.516045599018902
S1500_5d:bglu28	1.02376470494848	G01	de	0.569865554895679
S1500_5d:bglu30	1.05696954438863	G01	de	0.615915187964073
S1500_5d:bglu28bglu30	1.08342082591587	G01	e	0.651575108789472
S0_5d:wt	0.00161283382590727	G01	a	-8.74020510221822
S0_5d:bglu28	0.00151597481552858	G01	a	-8.82955711746515
S0_5d:bglu30	0.00562862877996825	G01	a	-6.93701940153967
S0_5d:bglu28bglu30	0.109922056385162	G01	b	-2.6494658153251
S1500_0d:wt	14.1660205964138	G02	d	0
S1500_0d:bglu28	15.0773781289845	G02	d	0.0899510289060607
S1500_0d:bglu30	14.2790380209829	G02	d	0.0114642432725198
S1500_0d:bglu28bglu30	17.6173342967852	G02	e	0.314561099609683
S1500_5d:wt	10.2877551196158	G02	c	-0.461506337396591
S1500_5d:bglu28	10.5539621159781	G02	c	-0.424649834960109
S1500_5d:bglu30	10.6877366003955	G02	c	-0.406478186882549
S1500_5d:bglu28bglu30	11.703416879415	G02	c	-0.275504750614932
S0_5d:wt	0.0252801811551166	G02	a	-9.1302120278899
S0_5d:bglu28	0.0381414196188003	G02	a	-8.53686028806631
S0_5d:bglu30	0.0257896048564874	G02	a	-9.10142916105043
S0_5d:bglu28bglu30	0.945736856946097	G02	b	-3.90485191270138
S1500_0d:wt	0.598497379580082	G03	c	0
S1500_0d:bglu28	0.68389882063644	G03	c	0.192437970895056
S1500_0d:bglu30	0.577603496915834	G03	c	-0.0512654539977689
S1500_0d:bglu28bglu30	0.65681583107708	G03	c	0.134143969887635
S1500_5d:wt	0.673897005618617	G03	c	0.171183184801694
S1500_5d:bglu28	0.648568850228087	G03	c	0.115914804431422
S1500_5d:bglu30	0.609656707709275	G03	c	0.0266521719273903
S1500_5d:bglu28bglu30	0.698802903889224	G03	c	0.223540672829282
S0_5d:wt	0.00583399562766279	G03	a	-6.68071681536368
S0_5d:bglu28	0.00414963333379474	G03	a	-7.17221725640337
S0_5d:bglu30	0.00715218305306968	G03	a	-6.38681745901009
S0_5d:bglu28bglu30	0.0734839054340995	G03	b	-3.02584472236761
S1500_0d:wt	0.599027442686197	G04	bcd	0
S1500_0d:bglu28	0.628583864595792	G04	cd	0.0694831420469011
S1500_0d:bglu30	0.661558722115065	G04	d	0.143247123144308
S1500_0d:bglu28bglu30	0.594335881733583	G04	bcd	-0.0113436142251583
S1500_5d:wt	0.566248903699892	G04	bcd	-0.0811857453755901
S1500_5d:bglu28	0.526334256869281	G04	bc	-0.186642800570829
S1500_5d:bglu30	0.481394838140885	G04	b	-0.315401425082771
S1500_5d:bglu28bglu30	0.520278348977211	G04	bc	-0.203338425562127
S0_5d:wt	0.0311061664915046	G04	a	-4.2673495834518
S0_5d:bglu28	0.0310595568742385	G04	a	-4.26951294527394
S0_5d:bglu30	0.0288007144397005	G04	a	-4.37844559219492
S0_5d:bglu28bglu30	0.0622333002185498	G04	a	-3.26686343819714
S1500_0d:wt	0.926362612167185	G05	c	0
S1500_0d:bglu28	1.04275156439386	G05	c	0.170746543944518
S1500_0d:bglu30	0.96631303651743	G05	c	0.0609135973715294
S1500_0d:bglu28bglu30	0.888436090867708	G05	c	-0.0603090270232383
S1500_5d:wt	1.0783160692616	G05	c	0.219131181128698
S1500_5d:bglu28	1.04071129395872	G05	c	0.167920970195547
S1500_5d:bglu30	0.970853191264197	G05	c	0.0676761256845173
S1500_5d:bglu28bglu30	1.01728940550132	G05	c	0.135081232720019
S0_5d:wt	0.0421651763431421	G05	a	-4.45745313438104
S0_5d:bglu28	0.0500840825539381	G05	a	-4.20915295556195
S0_5d:bglu30	0.041930828137334	G05	a	-4.46549379865785
S0_5d:bglu28bglu30	0.207267083539619	G05	b	-2.16008600995283
S1500_0d:wt	5.52654205997227	G06	c	0
S1500_0d:bglu28	6.19715663759666	G06	cd	0.165229360939835
S1500_0d:bglu30	6.516572368125	G06	cde	0.237736252238158
S1500_0d:bglu28bglu30	5.89019982798763	G06	c	0.0919395060532661
S1500_5d:wt	8.19205705153969	G06	e	0.56784868967636
S1500_5d:bglu28	8.07886183888292	G06	de	0.547774985453482
S1500_5d:bglu30	8.09515712999736	G06	de	0.550682011057967
S1500_5d:bglu28bglu30	8.25060817455265	G06	e	0.578123395229087
S0_5d:wt	0.242826708532187	G06	a	-4.50837805539168
S0_5d:bglu28	0.310891999966968	G06	a	-4.15189167488903
S0_5d:bglu30	0.208561154750358	G06	a	-4.72783469202823
S0_5d:bglu28bglu30	1.57832239543855	G06	b	-1.8079851459663
