group_comp	p.val	adj_p
sulfurS15:genotypetgg45-sulfurS15:genotypepen2	0.721059154109896	0.771957447341183
sulfurS15:genotypetgg45-sulfurS15:genotypetgg12	0.653634542503079	0.718573512240717
sulfurS15:genotypetgg45-sulfurS15:genotypebglu18	0.114128079750589	0.162275863395369
sulfurS15:genotypetgg45-sulfurS15:genotypeCol	0.0640318408803783	0.0939822180663617
sulfurS15:genotypetgg45-sulfurS15:genotypepyk10	0.00380055728762052	0.0064046428365457
sulfurS15:genotypetgg45-sulfurS1500:genotypetgg12	6.20206927270023e-06	1.29440386806117e-05
sulfurS15:genotypetgg45-sulfurS1500:genotypeCol	2.45620807583665e-12	1.19163614102877e-11
sulfurS15:genotypetgg45-sulfurS1500:genotypebglu18	1.27123735816666e-12	7.71217330621107e-12
sulfurS15:genotypetgg45-sulfurS1500:genotypepen2	7.80567377682214e-13	5.07368795493439e-12
sulfurS15:genotypetgg45-sulfurS15:genotypebglu2830	1.63937264386649e-14	3.72957276479626e-13
sulfurS15:genotypetgg45-sulfurS1500:genotypetgg45	1.87280910697097e-13	1.54932389758507e-12
sulfurS15:genotypetgg45-sulfurS1500:genotypebglu2830	9.55062555936692e-16	5.24752134910377e-14
sulfurS15:genotypetgg45-sulfurS1500:genotypepyk10	2.55422019508836e-14	4.64868075506082e-13
sulfurS15:genotypepen2-sulfurS15:genotypetgg12	0.898500500918216	0.91869152341076
sulfurS15:genotypepen2-sulfurS15:genotypebglu18	0.217162092088736	0.282310719715357
sulfurS15:genotypepen2-sulfurS15:genotypeCol	0.141614064216936	0.192341490205093
sulfurS15:genotypepen2-sulfurS15:genotypepyk10	0.00993044708722519	0.0155805290506464
sulfurS15:genotypepen2-sulfurS1500:genotypetgg12	1.83023485036928e-05	3.70114158630231e-05
sulfurS15:genotypepen2-sulfurS1500:genotypeCol	9.15118635058648e-12	3.33103183161348e-11
sulfurS15:genotypepen2-sulfurS1500:genotypebglu18	4.07821215213887e-12	1.74054874406357e-11
sulfurS15:genotypepen2-sulfurS1500:genotypepen2	2.48803150324687e-12	1.19163614102877e-11
sulfurS15:genotypepen2-sulfurS15:genotypebglu2830	5.64654526972967e-14	7.34050885064857e-13
sulfurS15:genotypepen2-sulfurS1500:genotypetgg45	5.85336836828341e-13	4.09735785779839e-12
sulfurS15:genotypepen2-sulfurS1500:genotypebglu2830	3.1309685782142e-15	9.4972713539164e-14
sulfurS15:genotypepen2-sulfurS1500:genotypepyk10	7.75444423655853e-14	8.82068031908533e-13
sulfurS15:genotypetgg12-sulfurS15:genotypebglu18	0.323417194186695	0.377320059884477
sulfurS15:genotypetgg12-sulfurS15:genotypeCol	0.232789827889116	0.29422047691541
sulfurS15:genotypetgg12-sulfurS15:genotypepyk10	0.0264618089702821	0.0401337436049279
sulfurS15:genotypetgg12-sulfurS1500:genotypetgg12	4.99043698283892e-05	9.66233543485834e-05
sulfurS15:genotypetgg12-sulfurS1500:genotypeCol	2.61801798573262e-10	6.85570423382077e-10
sulfurS15:genotypetgg12-sulfurS1500:genotypebglu18	1.35556663915977e-10	3.85489263011059e-10
sulfurS15:genotypetgg12-sulfurS1500:genotypepen2	8.55677208990828e-11	2.51182664574727e-10
sulfurS15:genotypetgg12-sulfurS15:genotypebglu2830	2.19723413594785e-12	1.1761665080662e-11
sulfurS15:genotypetgg12-sulfurS1500:genotypetgg45	2.21473569798115e-11	7.19789101843875e-11
sulfurS15:genotypetgg12-sulfurS1500:genotypebglu2830	1.40723118283456e-13	1.42286708486605e-12
sulfurS15:genotypetgg12-sulfurS1500:genotypepyk10	3.31840267072034e-12	1.50987321517775e-11
sulfurS15:genotypebglu18-sulfurS15:genotypeCol	0.924851581595417	0.935127710279811
sulfurS15:genotypebglu18-sulfurS15:genotypepyk10	0.157076584255989	0.210205428930809
sulfurS15:genotypebglu18-sulfurS1500:genotypetgg12	0.000660310598417608	0.00115554354723081
sulfurS15:genotypebglu18-sulfurS1500:genotypeCol	1.01559400428784e-09	2.49781228081604e-09
sulfurS15:genotypebglu18-sulfurS1500:genotypebglu18	2.63680932070029e-10	6.85570423382077e-10
sulfurS15:genotypebglu18-sulfurS1500:genotypepen2	1.57769706542043e-10	4.35061918040181e-10
sulfurS15:genotypebglu18-sulfurS15:genotypebglu2830	4.91183290139781e-12	1.94337736533566e-11
sulfurS15:genotypebglu18-sulfurS1500:genotypetgg45	3.49128157907613e-11	1.0955400817101e-10
sulfurS15:genotypebglu18-sulfurS1500:genotypebglu2830	2.30370044899767e-13	1.7469728404899e-12
sulfurS15:genotypebglu18-sulfurS1500:genotypepyk10	4.20792004059325e-12	1.74054874406357e-11
sulfurS15:genotypeCol-sulfurS15:genotypepyk10	0.136529552494395	0.188245292075606
sulfurS15:genotypeCol-sulfurS1500:genotypetgg12	0.000210031564881524	0.000382257448084373
sulfurS15:genotypeCol-sulfurS1500:genotypeCol	1.37898988988764e-11	4.82646461460674e-11
sulfurS15:genotypeCol-sulfurS1500:genotypebglu18	1.45534801013498e-11	4.90506181193641e-11
