sulfur,genotype,cpd,batch,value,relative
S1500,Col,G01,1,0.578196432,109.913091
S1500,Col,G01,2,0.679577092,129.1851949
S1500,Col,G01,3,0.795097912,151.1452932
S1500,Col,G01,4,0.650691651,123.694175
S1500,Col,G01,5,0.389817486,74.10292154
S1500,Col,G01,6,0.337166166,64.09409229
S1500,Col,G01,7,0.251794451,47.86523208
S1500,bglu2830,G01,1,0.440496318,83.73678772
S1500,bglu2830,G01,2,0.688641821,130.9083678
S1500,bglu2830,G01,3,0.74955879,142.4884675
S1500,bglu2830,G01,4,0.963083828,183.0788201
S1500,bglu2830,G01,5,0.299907279,57.01131001
S1500,bglu2830,G01,6,0.481970668,91.62091465
S1500,bglu2830,G01,7,0.296845301,56.42923888
S1500,tgg12,G01,5,0.284074393,54.00153452
S1500,tgg12,G01,6,0.520120004,98.87296809
S1500,tgg12,G01,7,0.47196908,89.71964823
S1500,tgg45,G01,1,0.815537036,155.0306981
S1500,tgg45,G01,2,0.473100377,89.93470381
S1500,tgg45,G01,3,0.665215997,126.4552018
S1500,tgg45,G01,4,0.635438753,120.7946533
S1500,pen2,G01,1,0.621697898,118.1825655
S1500,pen2,G01,2,0.713588514,135.6506457
S1500,pen2,G01,3,0.849883041,161.5597519
S1500,pen2,G01,4,0.62961879,119.688299
S1500,pyk10,G01,1,0.427432069,81.25332038
S1500,pyk10,G01,2,0.869668404,165.3208792
S1500,pyk10,G01,3,0.334258282,63.54131396
S1500,pyk10,G01,4,0.425207063,80.8303546
S1500,bglu18,G01,1,0.774438497,147.2180117
S1500,bglu18,G01,2,1.170440904,222.4966648
S1500,bglu18,G01,3,0.922265083,175.3193213
S1500,bglu18,G01,4,0.921674892,175.2071281
S1500,Col,G02,1,6.032430897,108.8765454
S1500,Col,G02,2,5.384025049,97.17376922
S1500,Col,G02,3,6.134304871,110.7152215
S1500,Col,G02,4,6.767014133,122.1346973
S1500,Col,G02,5,4.952794803,89.39069467
S1500,Col,G02,6,4.563725934,82.36857122
S1500,Col,G02,7,4.950013743,89.34050061
S1500,bglu2830,G02,1,5.051246803,91.16760912
S1500,bglu2830,G02,2,7.738039243,139.6602788
S1500,bglu2830,G02,3,7.461320317,134.6659074
S1500,bglu2830,G02,4,8.733977812,157.6355118
S1500,bglu2830,G02,5,4.381863494,79.08622046
S1500,bglu2830,G02,6,5.27602183,95.22446925
S1500,bglu2830,G02,7,4.392415583,79.27667022
S1500,tgg12,G02,5,2.806364659,50.65077322
S1500,tgg12,G02,6,3.801621642,68.61370457
S1500,tgg12,G02,7,3.804180469,68.65988765
S1500,tgg45,G02,1,7.781714418,140.4485518
S1500,tgg45,G02,2,6.022928361,108.7050386
S1500,tgg45,G02,3,6.989602641,126.152094
S1500,tgg45,G02,4,6.222924357,112.3146735
S1500,pen2,G02,1,6.155855356,111.1041762
S1500,pen2,G02,2,6.849668757,123.6264923
S1500,pen2,G02,3,6.782372793,122.4118987
S1500,pen2,G02,4,7.231683287,130.5212952
S1500,pyk10,G02,1,5.873804447,106.0135703
S1500,pyk10,G02,2,7.935941901,143.2321321
S1500,pyk10,G02,3,6.38988545,115.3280768
S1500,pyk10,G02,4,6.446060214,116.341949
S1500,bglu18,G02,1,7.00187881,126.3736609
S1500,bglu18,G02,2,10.10967779,182.4648823
S1500,bglu18,G02,3,9.466460295,170.8557482
S1500,bglu18,G02,4,8.758447424,158.0771525
S1500,Col,G03,1,0.403758042,89.53556177
S1500,Col,G03,2,0.444609688,98.59463865
S1500,Col,G03,3,0.492449099,109.2032906
S1500,Col,G03,4,0.488570085,108.3430978
S1500,Col,G03,5,0.499721492,110.8159837
S1500,Col,G03,6,0.396466516,87.91862593
S1500,Col,G03,7,0.431054953,95.5888016
S1500,bglu2830,G03,1,0.265996769,58.98624356
S1500,bglu2830,G03,2,0.603499033,133.8292229
S1500,bglu2830,G03,3,0.498709443,110.5915562
S1500,bglu2830,G03,4,0.693912743,153.8789593
S1500,bglu2830,G03,5,0.333783822,74.01839441
S1500,bglu2830,G03,6,0.363174014,80.53583101
S1500,bglu2830,G03,7,0.37481004,83.11618353
S1500,tgg12,G03,5,0.326111963,72.31711771
S1500,tgg12,G03,6,0.412220162,91.41208346
S1500,tgg12,G03,7,0.341179233,75.65836759
S1500,tgg45,G03,1,0.557092323,123.5382802
S1500,tgg45,G03,2,0.482024908,106.891669
S1500,tgg45,G03,3,0.43766529,97.05468013
S1500,tgg45,G03,4,0.538052284,119.3160472
S1500,pen2,G03,1,0.475988454,105.5530521
S1500,pen2,G03,2,0.545938576,121.0648756
S1500,pen2,G03,3,0.441010916,97.79659109
S1500,pen2,G03,4,0.543590414,120.5441577
S1500,pyk10,G03,1,0.505159322,112.0218523
S1500,pyk10,G03,2,0.647204138,143.5210699
S1500,pyk10,G03,3,0.506538495,112.3276914
S1500,pyk10,G03,4,0.473157541,104.9252818
S1500,bglu18,G03,1,0.422790255,93.75605957
S1500,bglu18,G03,2,0.621429581,137.8054204
S1500,bglu18,G03,3,0.673210054,149.2880245
S1500,bglu18,G03,4,0.841151796,186.5300275
S1500,Col,G04,1,0.185456206,68.54772079
S1500,Col,G04,2,0.443676147,163.9901374
S1500,Col,G04,3,0.201531543,74.48943465
S1500,Col,G04,4,0.253844077,93.82502372
S1500,Col,G04,5,0.309347483,114.3400124
S1500,Col,G04,6,0.262745075,97.11498191
S1500,Col,G04,7,0.237253015,87.69268914
S1500,bglu2830,G04,1,0.125227239,46.28608543
S1500,bglu2830,G04,2,0.425758544,157.3674912
S1500,bglu2830,G04,3,0.408948859,151.1543497
S1500,bglu2830,G04,4,0.221035735,81.69851077
S1500,bglu2830,G04,5,0.22692604,83.87566629
S1500,bglu2830,G04,6,0.181969276,67.25889298
S1500,bglu2830,G04,7,0.119699433,44.24291582
S1500,tgg12,G04,5,0.102011602,37.7051971
S1500,tgg12,G04,6,0.271942964,100.5146755
S1500,tgg12,G04,7,0.234778999,86.77825146
S1500,tgg45,G04,1,0.238841266,88.2797336
S1500,tgg45,G04,2,0.163723538,60.51496272
S1500,tgg45,G04,3,0.200124771,73.96946838
S1500,tgg45,G04,4,0.358670601,132.5706635
S1500,pen2,G04,1,0.129912066,48.01767618
S1500,pen2,G04,2,0.244670796,90.43442538
S1500,pen2,G04,3,0.405995649,150.0627939
S1500,pen2,G04,4,0.369402457,136.5373371
S1500,pyk10,G04,1,0.100142279,37.01426401
S1500,pyk10,G04,2,0.231498326,85.56565967
S1500,pyk10,G04,3,0.130958201,48.40434528
S1500,pyk10,G04,4,0.256022051,94.63003963
S1500,bglu18,G04,1,0.183733447,67.91096011
S1500,bglu18,G04,2,0.300899489,111.2174922
S1500,bglu18,G04,3,0.189803534,70.15456611
S1500,bglu18,G04,4,0.580761895,214.6593264
S1500,Col,G05,1,0.555598331,74.72461537
S1500,Col,G05,2,0.755334629,101.5879394
S1500,Col,G05,3,1.155386591,155.3925088
S1500,Col,G05,4,0.862234366,115.9653075
S1500,Col,G05,5,0.616201641,82.87539391
S1500,Col,G05,6,0.603625847,81.18402574
S1500,Col,G05,7,0.656313595,88.27020923
S1500,bglu2830,G05,1,0.484093692,65.10767381
S1500,bglu2830,G05,2,0.636252382,85.57209739
S1500,bglu2830,G05,3,0.808331167,108.7156533
S1500,bglu2830,G05,4,1.17430839,157.9373763
S1500,bglu2830,G05,5,0.453874166,61.04333038
S1500,bglu2830,G05,6,0.681420729,91.6469668
S1500,bglu2830,G05,7,0.528491458,71.07890484
S1500,tgg12,G05,5,0.471202778,63.37392382
S1500,tgg12,G05,6,0.700480462,94.21038574
S1500,tgg12,G05,7,0.553209838,74.40337742
S1500,tgg45,G05,1,1.004899203,135.1528652
S1500,tgg45,G05,2,0.701680675,94.37180708
S1500,tgg45,G05,3,0.554862478,74.6256475
S1500,tgg45,G05,4,0.65049397,87.48750487
S1500,pen2,G05,1,0.635660703,85.49252006
S1500,pen2,G05,2,0.889556473,119.6399657
S1500,pen2,G05,3,0.909592825,122.3347338
S1500,pen2,G05,4,0.73263241,98.53462822
S1500,pyk10,G05,1,0.668186349,89.86702281
S1500,pyk10,G05,2,1.044355148,140.4594512
S1500,pyk10,G05,3,0.606657214,81.59172625
S1500,pyk10,G05,4,0.792688055,106.6117493
S1500,bglu18,G05,1,0.955645854,128.5285877
S1500,bglu18,G05,2,1.150130376,154.6855796
S1500,bglu18,G05,3,0.990747821,133.24959
S1500,bglu18,G05,4,1.136590962,152.8646104
S1500,Col,G06,1,4.726982027,97.33906429
S1500,Col,G06,2,6.683999207,137.6383969
S1500,Col,G06,3,6.9559203,143.2378565
S1500,Col,G06,4,5.449998073,112.2275714
S1500,Col,G06,5,3.489596736,71.85855142
S1500,Col,G06,6,3.803590388,78.32437847
S1500,Col,G06,7,2.883330433,59.37418099
S1500,bglu2830,G06,1,3.471358678,71.48298927
S1500,bglu2830,G06,2,4.923603054,101.3879282
S1500,bglu2830,G06,3,5.947618871,122.4746894
S1500,bglu2830,G06,4,7.627318003,157.0634272
S1500,bglu2830,G06,5,2.872826173,59.15787493
S1500,bglu2830,G06,6,4.188204818,86.24444428
S1500,bglu2830,G06,7,3.507462027,72.22643746
S1500,tgg12,G06,5,3.427583647,70.58156412
S1500,tgg12,G06,6,5.338062242,109.9225639
S1500,tgg12,G06,7,4.017669389,82.73274083
S1500,tgg45,G06,1,5.034875773,103.6792807
S1500,tgg45,G06,2,5.521049636,113.6906809
S1500,tgg45,G06,3,5.860297195,120.6765421
S1500,tgg45,G06,4,5.480608771,112.8579137
S1500,pen2,G06,1,4.697564084,96.73328348
S1500,pen2,G06,2,5.649308168,116.3318091
S1500,pen2,G06,3,6.991713727,143.9749227
S1500,pen2,G06,4,5.330615545,109.7692198
S1500,pyk10,G06,1,4.124698007,84.93669793
S1500,pyk10,G06,2,5.407914129,111.3609694
S1500,pyk10,G06,3,3.756153622,77.34755005
S1500,pyk10,G06,4,4.025426188,82.89247056
S1500,bglu18,G06,1,6.663155049,137.2091694
S1500,bglu18,G06,2,8.580404567,176.6895975
S1500,bglu18,G06,3,7.5565955,155.6070937
S1500,bglu18,G06,4,9.104973407,187.4916356
S1500,Col,G07,1,0.047142689,66.22771936
S1500,Col,G07,2,0.095725318,134.4783168
S1500,Col,G07,3,0.108786818,152.8275748
S1500,Col,G07,4,0.037233145,52.30644085
S1500,Col,G07,5,0.077573569,108.9780971
S1500,Col,G07,6,0.082063367,115.2855245
S1500,Col,G07,7,0.049754103,69.89632656
S1500,bglu2830,G07,1,0.052124281,73.22603551
S1500,bglu2830,G07,2,0.037659317,52.90514187
S1500,bglu2830,G07,3,0.096631935,135.7519646
S1500,bglu2830,G07,4,0.087170782,122.4606026
S1500,bglu2830,G07,5,0.060078049,84.39977053
S1500,bglu2830,G07,6,0.099783197,140.1789696
S1500,bglu2830,G07,7,0.084124913,118.181658
S1500,tgg12,G07,5,0.0923736,129.7697053
S1500,tgg12,G07,6,0.095433453,134.0682947
S1500,tgg12,G07,7,0.047890644,67.27847344
S1500,tgg45,G07,1,0.047728787,67.05109079
S1500,tgg45,G07,2,0.091981734,129.2191981
S1500,tgg45,G07,3,0.051113348,71.80584124
S1500,tgg45,G07,4,0.050580558,71.05735976
S1500,pen2,G07,1,0.042200189,59.28432009
S1500,pen2,G07,2,0.042747605,60.05334928
S1500,pen2,G07,3,0.116885674,164.2051355
S1500,pen2,G07,4,0.058642406,82.38292897
