group	estim	cpd	letters	logFC
S1500:Col	0.508144774276561	G01	c	0
S1500:bglu2830	0.536534588365806	G01	c	0.0784315888457382
S1500:tgg12	0.449205978255048	G01	c	-0.177862462289604
S1500:tgg45	0.613927328157612	G01	c	0.2728283006644
S1500:pen2	0.672027376597472	G01	cd	0.403280415483423
S1500:pyk10	0.471648810793002	G01	c	-0.107526560136072
S1500:bglu18	0.908576556416053	G01	d	0.838368490422682
S15:Col	0.00159126653693922	G01	ab	-8.31892027288651
S15:bglu2830	0.0178439610272512	G01	b	-4.83173178288423
S15:tgg12	0.00288701197238698	G01	ab	-7.45951868961203
S15:tgg45	5.4202734684324e-06	G01	a	-16.516514423149
S15:pen2	7.88956079671181e-06	G01	a	-15.9749350754842
S15:pyk10	0.000395296918204024	G01	ab	-10.3280871671887
S15:bglu18	6.10037391402006e-06	G01	a	-16.345982391299
S1500:Col	5.51658658329391	G02	e	0
S1500:bglu2830	6.03906865453014	G02	e	0.130550206217642
S1500:tgg12	3.47561280763566	G02	d	-0.666508496885921
S1500:tgg45	6.71409765112483	G02	e	0.283417652035607
S1500:pen2	6.72662140271261	G02	e	0.286106192650964
S1500:pyk10	6.6176700085229	G02	e	0.262547485172875
S1500:bglu18	8.76816472713988	G02	f	0.668499034417747
S15:Col	0.0499803614677452	G02	ab	-6.78627072244581
S15:bglu2830	0.548369306659445	G02	c	-3.33055614005936
S15:tgg12	0.0294994395800361	G02	ab	-7.54694451083821
S15:tgg45	0.00312616225165037	G02	a	-10.7851674947274
S15:pen2	0.0195758260388685	G02	a	-8.1385588717241
S15:pyk10	0.236209402368442	G02	bc	-4.54563757019442
S15:bglu18	0.111658570348169	G02	ab	-5.62660997347496
S1500:Col	0.450058635482401	G03	cd	0
S1500:bglu2830	0.436431132974023	G03	cd	-0.0443589533971859
S1500:tgg12	0.357946821728073	G03	c	-0.330367704092514
S1500:tgg45	0.50342615346625	G03	de	0.161667193915328
S1500:pen2	0.501448010597252	G03	de	0.155987158154143
S1500:pyk10	0.531866424090004	G03	de	0.24095099080504
S1500:bglu18	0.63143684033697	G03	e	0.488525461310401
S15:Col	0.00482017340364544	G03	a	-6.54488411596467
S15:bglu2830	0.083983287970754	G03	b	-2.42193879757441
S15:tgg12	0.00256630534295023	G03	a	-7.45427632896975
S15:tgg45	0.00114614356365352	G03	a	-8.61718139916856
S15:pen2	0.00356894127155021	G03	a	-6.97847300226074
S15:pyk10	0.00942218592237977	G03	a	-5.577907363553
S15:bglu18	0.0108521628262487	G03	a	-5.37405846964977
S1500:Col	0.26527673365141	G04	c	0
S1500:bglu2830	0.231077161420508	G04	c	-0.199123470511389
S1500:tgg12	0.194386615123274	G04	c	-0.448569265443195
S1500:tgg45	0.235788150390912	G04	c	-0.170006931134802
S1500:pen2	0.276353427883865	G04	c	0.0590163596587202
S1500:pyk10	0.173930325374946	G04	c	-0.608988654551436
S1500:bglu18	0.296388075888238	G04	c	0.159989258975506
S15:Col	0.00346125700752837	G04	a	-6.2600582685269
S15:bglu2830	0.029349414268448	G04	b	-3.17609453156223
S15:tgg12	0.000566001678684355	G04	a	-8.87247610093286
S15:tgg45	0.00208355589783053	G04	a	-6.9923065326314
S15:pen2	0.00204386856028429	G04	a	-7.02005191736798
S15:pyk10	0.00697749196955082	G04	ab	-5.24864577906371
S15:bglu18	0.00210300021595495	G04	a	-6.9789053397286
S1500:Col	0.732244499753116	G05	e	0
S1500:bglu2830	0.663598378799886	G05	e	-0.142015089626214
S1500:tgg12	0.57276970545857	G05	e	-0.354370262770724
S1500:tgg45	0.717517799954897	G05	e	-0.0293108292016164
S1500:pen2	0.786252442409298	G05	ef	0.10266714222039
S1500:pyk10	0.767945262228822	G05	e	0.0686780305202608
S1500:bglu18	1.0548366178596	G05	f	0.526622202788061
S15:Col	0.0200186612716458	G05	abc	-5.19290804766132
S15:bglu2830	0.219596453658009	G05	d	-1.73747069542574
S15:tgg12	0.0113474853663705	G05	abc	-6.01188091845541
S15:tgg45	0.000356654328425025	G05	a	-11.0035832535287
S15:pen2	0.00254898064926307	G05	ab	-8.16626122003419
S15:pyk10	0.0483698430354873	G05	c	-3.92014569012847
S15:bglu18	0.0276736599897117	G05	bc	-4.72574008553357
S1500:Col	4.74480388415298	G06	d	0
