sulfur,genotype,pot,sample,batch,value
S1500,wt,1,1,1,1277.2
S1500,wt,1,2,1,1225.02
S1500,wt,1,3,1,1404.64
S1500,wt,1,4,1,1350.28
S1500,wt,1,5,1,924.96
S1500,wt,1,6,1,1101.24
S1500,wt,2,1,1,1282.62
S1500,wt,2,2,1,1375.01
S1500,wt,2,3,1,951.27
S1500,wt,2,4,1,1240.23
S1500,wt,2,5,1,1182.35
S1500,wt,2,6,1,1063.01
S1500,bglu28bglu30,1,1,1,1248.33
S1500,bglu28bglu30,1,2,1,1093.3
S1500,bglu28bglu30,1,3,1,934.69
S1500,bglu28bglu30,1,4,1,1110.61
S1500,bglu28bglu30,1,5,1,763.91
S1500,bglu28bglu30,1,6,1,1283.27
S1500,bglu28bglu30,2,1,1,1129.84
S1500,bglu28bglu30,2,2,1,1118.15
S1500,bglu28bglu30,2,3,1,930.37
S1500,bglu28bglu30,2,4,1,906.61
S1500,bglu28bglu30,2,5,1,1189.45
S1500,bglu28bglu30,2,6,1,904.32
S30,wt,1,1,1,1441.77
S30,wt,1,2,1,1033.62
S30,wt,1,3,1,1194.84
S30,wt,1,4,1,1329.16
S30,wt,1,5,1,1076.32
S30,wt,1,6,1,964.52
S30,wt,2,1,1,1004.43
S30,wt,2,2,1,978.06
S30,wt,2,3,1,1399.01
S30,wt,2,4,1,1253.52
S30,wt,2,5,1,1113.91
S30,wt,2,6,1,1031.51
S30,bglu28bglu30,1,1,1,1242.23
S30,bglu28bglu30,1,2,1,918.4
S30,bglu28bglu30,1,3,1,856.36
S30,bglu28bglu30,1,4,1,670.33
S30,bglu28bglu30,1,5,1,859.3
S30,bglu28bglu30,1,6,1,1014.76
S30,bglu28bglu30,2,1,1,1055.27
S30,bglu28bglu30,2,2,1,1102.47
S30,bglu28bglu30,2,3,1,1073.54
S30,bglu28bglu30,2,4,1,1306.95
S30,bglu28bglu30,2,5,1,1267.43
S30,bglu28bglu30,2,6,1,1135.33
S3,wt,1,1,1,184.76
S3,wt,1,2,1,150.04
S3,wt,1,3,1,270.14
S3,wt,1,4,1,142.87
S3,wt,1,5,1,158.77
S3,wt,1,6,1,154.38
S3,wt,2,1,1,232.52
S3,wt,2,2,1,129.17
S3,wt,2,3,1,204.14
S3,wt,2,4,1,117.44
S3,wt,2,5,1,196.8
S3,wt,2,6,1,176.97
S3,bglu28bglu30,1,1,1,131.02
S3,bglu28bglu30,1,2,1,130.54
S3,bglu28bglu30,1,3,1,161.68
S3,bglu28bglu30,1,4,1,161.78
S3,bglu28bglu30,1,5,1,132.66
S3,bglu28bglu30,1,6,1,68.81
S3,bglu28bglu30,2,1,1,144.52
S3,bglu28bglu30,2,2,1,112.98
S3,bglu28bglu30,2,3,1,148.93
S3,bglu28bglu30,2,4,1,135.46
S3,bglu28bglu30,2,5,1,62.95
S3,bglu28bglu30,2,6,1,129.73
S1500,wt,1,1,2,1326.3
S1500,wt,1,2,2,1027.87
S1500,wt,1,3,2,1107.35
S1500,wt,1,4,2,482.43
S1500,wt,1,5,2,1194.07
S1500,wt,1,6,2,1296.81
S1500,wt,2,1,2,1390.86
S1500,wt,2,2,2,1369.38
S1500,wt,2,3,2,1397.78
S1500,wt,2,4,2,1314.35
S1500,wt,2,5,2,1359.63
S1500,wt,2,6,2,1252.14
S1500,bglu28bglu30,1,1,2,1135.8
S1500,bglu28bglu30,1,2,2,1039.65
S1500,bglu28bglu30,1,3,2,1135.78
S1500,bglu28bglu30,1,4,2,1251.17
S1500,bglu28bglu30,1,5,2,1160.01
S1500,bglu28bglu30,1,6,2,27.98
S1500,bglu28bglu30,2,1,2,1556.94
S1500,bglu28bglu30,2,2,2,1321.5
S1500,bglu28bglu30,2,3,2,1197.65
S1500,bglu28bglu30,2,4,2,1056.21
S1500,bglu28bglu30,2,5,2,1211.82
