group	estim	cpd	batch	letters	logFC
S1500:wt	5.72321473152235	G01	1	d	0
S1500:bglu28bglu30	5.25561697752438	G01	1	d	-0.1229655991714
S30:wt	2.41654225353739	G01	1	c	-1.2438815162537
S30:bglu28bglu30	2.49375220679165	G01	1	c	-1.19850761892236
S3:wt	0.0213988925690235	G01	1	a	-8.06314579020543
S3:bglu28bglu30	0.154826392092348	G01	1	b	-5.20810241399226
S1500:wt	11.7364854978396	G01	2	e	0
S1500:bglu28bglu30	9.2029765976069	G01	2	d	-0.350827991681628
S30:wt	2.78742450658737	G01	2	c	-2.07399581932619
S30:bglu28bglu30	2.93019580385261	G01	2	c	-2.00193147877971
S3:wt	0.0971018788419524	G01	2	a	-6.91728553044396
S3:bglu28bglu30	0.340631523047187	G01	2	b	-5.1066446939858
S1500:wt	4.08986072161557	G01	3	b	0
S1500:bglu28bglu30	4.43196609849171	G01	3	b	0.115895132132534
S30:wt	5.67605849771154	G01	3	c	0.472837744287585
S30:bglu28bglu30	3.98846266050287	G01	3	b	-0.0362189420204714
S3:wt	0.300340694827933	G01	3	a	-3.76737984165517
S3:bglu28bglu30	0.607251673743193	G01	3	a	-2.75168524724564
S1500:wt	39.6296484900093	G02	1	d	0
S1500:bglu28bglu30	37.403477820614	G02	1	d	-0.0834077509595321
S30:wt	15.0384119659313	G02	1	c	-1.39792794224382
S30:bglu28bglu30	16.0134711679124	G02	1	c	-1.30729410258973
S3:wt	0.114367559042332	G02	1	a	-8.43675847848026
S3:bglu28bglu30	1.14356007860299	G02	1	b	-5.11497610388988
S1500:wt	74.0054534180066	G02	2	e	0
S1500:bglu28bglu30	59.9699644874426	G02	2	d	-0.303391467521635
S30:wt	15.0426369671811	G02	2	c	-2.2985740930546
S30:bglu28bglu30	15.6891729039992	G02	2	c	-2.23786228715306
S3:wt	0.257879119995598	G02	2	a	-8.16479281031979
S3:bglu28bglu30	1.3989664370034	G02	2	b	-5.72519833007273
S1500:wt	29.4315437175292	G02	3	b	0
S1500:bglu28bglu30	32.5041336307452	G02	3	bc	0.143259985652228
S30:wt	39.0539905255453	G02	3	c	0.408106754826028
S30:bglu28bglu30	28.7335186177727	G02	3	b	-0.0346285435797581
S3:wt	1.12744232926791	G02	3	a	-4.7062376712412
S3:bglu28bglu30	2.32106563592149	G02	3	a	-3.66450398982185
S1500:wt	1.58958916440468	G03	1	d	0
S1500:bglu28bglu30	1.6023022921977	G03	1	d	0.0114924104773909
S30:wt	0.68746480145333	G03	1	c	-1.20929618964698
S30:bglu28bglu30	0.781730702816284	G03	1	c	-1.02391033697936
S3:wt	0.0107891266939876	G03	1	a	-7.20293203997608
S3:bglu28bglu30	0.102142345003415	G03	1	b	-3.96000095213366
S1500:wt	2.2819253995862	G03	2	c	0
S1500:bglu28bglu30	2.17573833919289	G03	2	c	-0.0687465638002898
S30:wt	0.648482767579847	G03	2	b	-1.81511148527156
S30:bglu28bglu30	0.702522496814404	G03	2	b	-1.69963529751665
S3:wt	0.0775359903622434	G03	2	a	-4.87924168719588
S3:bglu28bglu30	0.147760280729663	G03	2	a	-3.94892121047184
S1500:wt	0.795750044414398	G03	3	b	0
S1500:bglu28bglu30	0.934441360985878	G03	3	bc	0.231788800960755
S30:wt	1.1728735609457	G03	3	c	0.559660257686341
S30:bglu28bglu30	0.917428382367338	G03	3	bc	0.205280208202151
S3:wt	0.0632265078393884	G03	3	a	-3.65371388927077
S3:bglu28bglu30	0.115034519169316	G03	3	a	-2.79024848720063
S1500:wt	0.202205197315002	G04	1	c	0
S1500:bglu28bglu30	0.241790191607922	G04	1	c	0.257935642261196
S30:wt	0.101927557895589	G04	1	b	-0.988275917510777
S30:bglu28bglu30	0.115554748364391	G04	1	b	-0.807243535449751
S3:wt	0.0234189208345275	G04	1	a	-3.11007357779122
S3:bglu28bglu30	0.0208524710015463	G04	1	a	-3.27752982240708
S1500:wt	0.626096086108444	G04	2	b	0
