sulfur,genotype,cpd,isotope,batch,value,relative
S1500,wt,GSH,0,1,59.74060669,108.105506
S1500,wt,GSH,0,2,43.62965078,78.95141572
S1500,wt,GSH,0,3,56.38598636,102.0350466
S1500,wt,GSH,0,4,50.0031216,90.4847316
S1500,wt,GSH,0,5,66.54759108,120.4233001
S150,wt,GSH,0,1,27.69551798,50.11730129
S150,wt,GSH,0,2,13.15063084,23.79714033
S150,wt,GSH,0,3,20.25043677,36.64481892
S150,wt,GSH,0,4,23.23188502,42.03999298
S150,wt,GSH,0,5,14.66685429,26.54087048
S15,wt,GSH,0,1,0.100278958,0.181462963
S15,wt,GSH,0,2,0.151859034,0.274801322
S15,wt,GSH,0,3,0.095188373,0.172251133
S15,wt,GSH,0,4,0.186852768,0.338125341
S15,wt,GSH,0,5,0.192441915,0.348239359
S0,wt,GSH,0,1,0.206335531,0.373380991
S0,wt,GSH,0,2,0.111709159,0.202146845
S0,wt,GSH,0,3,0.37109014,0.671517909
S0,wt,GSH,0,4,0.123184924,0.222913178
S0,wt,GSH,0,5,0.118314566,0.214099869
4MSB,wt,GSH,0,1,16.65068065,30.13076627
4MSB,wt,GSH,0,2,21.98839656,39.78979906
4MSB,wt,GSH,0,3,14.15966669,25.6230731
4MSB,wt,GSH,0,4,13.0739292,23.65834246
4MSB,wt,GSH,0,5,13.31356281,24.09197903
S1500,wt,Met,0,1,0.511315992,107.4763104
S1500,wt,Met,0,2,0.46504509,97.75037596
S1500,wt,Met,0,3,0.429873988,90.35756925
S1500,wt,Met,0,4,0.474260591,99.68743277
S1500,wt,Met,0,5,0.498242453,104.7283116
S150,wt,Met,0,1,0.33527806,70.47393286
S150,wt,Met,0,2,0.234271537,49.24281824
S150,wt,Met,0,3,0.276377405,58.09328144
S150,wt,Met,0,4,0.274538891,57.70683399
S150,wt,Met,0,5,0.261435148,54.9524865
S15,wt,Met,0,1,0.327460812,68.83078254
S15,wt,Met,0,2,0.32625808,68.57797384
S15,wt,Met,0,3,0.233148412,49.00674244
S15,wt,Met,0,4,0.342334346,71.95713219
S15,wt,Met,0,5,0.282701897,59.4226609
S0,wt,Met,0,1,0.247098678,51.93902535
S0,wt,Met,0,2,0.194811387,40.94847298
S0,wt,Met,0,3,0.185492916,38.98977257
S0,wt,Met,0,4,0.112483407,23.64350373
S0,wt,Met,0,5,0.176949021,37.19388454
4MSB,wt,Met,0,1,0.35888989,75.43703283
4MSB,wt,Met,0,2,0.315297045,66.27401373
4MSB,wt,Met,0,3,0.336992917,70.83438807
4MSB,wt,Met,0,4,0.28162835,59.19700623
4MSB,wt,Met,0,5,0.327836828,68.90981948
