sulfur,genotype,cpd,isotope,batch,value,relative
S1500,wt,4MSB,0,1,7.933543157,93.53624856
S1500,wt,4MSB,0,2,7.210563582,85.01260082
S1500,wt,4MSB,0,3,7.553187895,89.05108798
S1500,wt,4MSB,0,4,7.87043298,92.79147056
S1500,wt,4MSB,2,1,0.894706899,10.54863249
S1500,wt,4MSB,2,2,0.78966193,9.310122816
S1500,wt,4MSB,2,3,0.830712261,9.793910369
S1500,wt,4MSB,2,4,0.844446705,9.955926406
S150,wt,4MSB,0,1,0.105958665,1.249150267
S150,wt,4MSB,0,2,0.702619185,8.283854087
S150,wt,4MSB,0,3,0.183294381,2.160949074
S150,wt,4MSB,0,4,0.195647095,2.306677346
S150,wt,4MSB,2,1,0.012272612,0.144594087
S150,wt,4MSB,2,2,0.061260112,0.722421332
S150,wt,4MSB,2,3,0.008629234,0.101808575
S150,wt,4MSB,2,4,0.010871583,0.128175855
4MSB,wt,4MSB,0,1,0.480703554,5.667519203
4MSB,wt,4MSB,0,2,0.219145249,2.583691589
4MSB,wt,4MSB,0,3,0.238157734,2.807869612
4MSB,wt,4MSB,0,4,2.144819379,25.28701906
4MSB,wt,4MSB,2,1,0.0562508,0.663020393
4MSB,wt,4MSB,2,2,0.015886813,0.187468797
4MSB,wt,4MSB,2,3,0.012246955,0.14451293
4MSB,wt,4MSB,2,4,0.250091793,2.948535431
4MSB-34S,wt,4MSB,0,1,0.268475835,3.165384212
4MSB-34S,wt,4MSB,0,2,0.068988738,0.813356398
4MSB-34S,wt,4MSB,0,3,0.064295276,0.757939781
4MSB-34S,wt,4MSB,0,4,0.084810595,0.999917599
4MSB-34S,wt,4MSB,2,1,0.70684803,8.333543801
4MSB-34S,wt,4MSB,2,2,0.237131073,2.795789652
4MSB-34S,wt,4MSB,2,3,0.241698755,2.849513638
4MSB-34S,wt,4MSB,2,4,0.276594529,3.261051725
S1500,wt,4MTB,0,1,4.282357419,77.75485638
S1500,wt,4MTB,0,2,6.169290746,112.0158277
S1500,wt,4MTB,0,3,4.918162856,89.29791024
S1500,wt,4MTB,0,4,4.617365669,83.8369673
S1500,wt,4MTB,2,1,0.43085373,7.822945068
S1500,wt,4MTB,2,2,0.638386632,11.591126
S1500,wt,4MTB,2,3,0.498925811,9.059182095
S1500,wt,4MTB,2,4,0.474820589,8.621185246
S150,wt,4MTB,0,1,0.055451084,1.007053306
S150,wt,4MTB,0,2,0.873396624,15.8584287
S150,wt,4MTB,0,3,0.155239906,2.818853633
S150,wt,4MTB,0,4,0.146658174,2.662907578
S150,wt,4MTB,2,1,0.004624427,0.083879502
S150,wt,4MTB,2,2,0.088634327,1.609148131
S150,wt,4MTB,2,3,0.020823288,0.378109755
S150,wt,4MTB,2,4,0.018456274,0.334933411
4MSB,wt,4MTB,0,1,0.254807447,4.626730714
4MSB,wt,4MTB,0,2,0.147536912,2.679008704
4MSB,wt,4MTB,0,3,0.227378191,4.128269575
4MSB,wt,4MTB,0,4,0.827658351,15.02767151
4MSB,wt,4MTB,2,1,0.027572348,0.500621697
4MSB,wt,4MTB,2,2,0.010838839,0.196634037
4MSB,wt,4MTB,2,3,0.030595212,0.555620369
4MSB,wt,4MTB,2,4,0.089696264,1.628328171
4MSB-34S,wt,4MTB,0,1,0.127659973,2.317698187
4MSB-34S,wt,4MTB,0,2,0.048733287,0.884757294
4MSB-34S,wt,4MTB,0,3,0.061713547,1.120719515
4MSB-34S,wt,4MTB,0,4,0.105053679,1.907729677
4MSB-34S,wt,4MTB,2,1,0.259696007,4.715020175
4MSB-34S,wt,4MTB,2,2,0.088207417,1.601653101
4MSB-34S,wt,4MTB,2,3,0.082392605,1.495908487
4MSB-34S,wt,4MTB,2,4,0.156410128,2.839962911
S1500,wt,4OHB,0,1,0.352910509,88.9125047
S1500,wt,4OHB,0,2,0.347601518,87.57573706
S1500,wt,4OHB,0,3,0.394993786,99.51209583
S1500,wt,4OHB,0,4,0.418237773,105.3638067
S1500,wt,4OHB,2,1,0.01892018,4.764995843
S1500,wt,4OHB,2,2,0.017110931,4.312760872
S1500,wt,4OHB,2,3,0.013541194,3.410123895
S1500,wt,4OHB,2,4,0.024402554,6.147975069
S150,wt,4OHB,0,1,0.016997078,4.281293495
S150,wt,4OHB,0,2,0.160902346,40.53901441
S150,wt,4OHB,0,3,0.023628138,5.949408726
S150,wt,4OHB,0,4,0.036166804,9.1092533
S150,wt,4OHB,2,1,0.000274982,0.069276594
S150,wt,4OHB,2,2,0.013297577,3.348376323
S150,wt,4OHB,2,3,0.000263271,0.066325627
S150,wt,4OHB,2,4,0.000294203,0.074119229
4MSB,wt,4OHB,0,1,0.02151264,5.421635106
4MSB,wt,4OHB,0,2,0.003727341,0.938318357
4MSB,wt,4OHB,0,3,0.024003885,6.04822436
4MSB,wt,4OHB,0,4,0.064444034,16.2335162
4MSB,wt,4OHB,2,1,0.000295205,0.074370852
4MSB,wt,4OHB,2,2,0.000286499,0.072178335
4MSB,wt,4OHB,2,3,0.003630873,0.91575228
4MSB,wt,4OHB,2,4,0.001896595,0.476809107
4MSB-34S,wt,4OHB,0,1,0.035381335,8.913032254
4MSB-34S,wt,4OHB,0,2,0.011488297,2.892475594
4MSB-34S,wt,4OHB,0,3,0.005191676,1.304820584
4MSB-34S,wt,4OHB,0,4,0.015452324,3.889528558
4MSB-34S,wt,4OHB,2,1,0.006372352,1.604942994
4MSB-34S,wt,4OHB,2,2,0.000333754,0.084083593
4MSB-34S,wt,4OHB,2,3,0.000266974,0.067258793
4MSB-34S,wt,4OHB,2,4,0.000326401,0.082231048
S1500,wt,4OBzB,0,1,1.970049033,103.8239044
S1500,wt,4OBzB,0,2,1.408561772,74.23313736
S1500,wt,4OBzB,0,3,1.975700656,104.1209024
S1500,wt,4OBzB,0,4,1.664682762,87.73084791
S1500,wt,4OBzB,2,1,0.172182919,9.073736089
S1500,wt,4OBzB,2,2,0.118173553,6.228583545
S1500,wt,4OBzB,2,3,0.146499071,7.721077817
S1500,wt,4OBzB,2,4,0.134111684,7.067810491
S150,wt,4OBzB,0,1,0.538212104,28.36500027
S150,wt,4OBzB,0,2,0.807438189,42.55306977
S150,wt,4OBzB,0,3,0.516412728,27.21501296
S150,wt,4OBzB,0,4,0.632525575,33.33559611
S150,wt,4OBzB,2,1,0.046789838,2.466521763
S150,wt,4OBzB,2,2,0.06138915,3.235239205
S150,wt,4OBzB,2,3,0.041112716,2.16721133
S150,wt,4OBzB,2,4,0.050529013,2.66219621
4MSB,wt,4OBzB,0,1,0.469206018,24.72719394
4MSB,wt,4OBzB,0,2,0.307118423,16.18603651
4MSB,wt,4OBzB,0,3,0.382023053,20.13366313
4MSB,wt,4OBzB,0,4,0.662124066,34.89478407
4MSB,wt,4OBzB,2,1,0.032026582,1.687995811
4MSB,wt,4OBzB,2,2,0.025845383,1.361922102
4MSB,wt,4OBzB,2,3,0.039783331,2.09682345
4MSB,wt,4OBzB,2,4,0.053279878,2.808155446
4MSB-34S,wt,4OBzB,0,1,0.418281132,22.04461082
4MSB-34S,wt,4OBzB,0,2,0.333257226,17.56297972
4MSB-34S,wt,4OBzB,0,3,0.336575923,17.73779748
4MSB-34S,wt,4OBzB,0,4,0.514282145,27.10320599
4MSB-34S,wt,4OBzB,2,1,0.037523542,1.976941085
4MSB-34S,wt,4OBzB,2,2,0.023287118,1.227737591
4MSB-34S,wt,4OBzB,2,3,0.025978858,1.368991588
4MSB-34S,wt,4OBzB,2,4,0.048028534,2.53038944
