time,genotype,treatment,cpd,batch,value,relative
00h,wt,4MSB,4MSB,1,22.19935725,108.9002687
00h,wt,4MSB,4MSB,2,11.19109541,54.89858485
00h,wt,4MSB,4MSB,3,23.80268305,116.7654789
00h,wt,4MSB,4MSB,4,24.34700192,119.4356675
03h,wt,4MSB,4MSB,1,14.90599285,73.12223543
03h,wt,4MSB,4MSB,2,13.49821082,66.21627688
03h,wt,4MSB,4MSB,3,14.15810981,69.45345065
03h,wt,4MSB,4MSB,4,20.6367758,101.2349324
09h,wt,4MSB,4MSB,1,7.06850775,34.67498563
09h,wt,4MSB,4MSB,2,6.165627987,30.24585519
09h,wt,4MSB,4MSB,3,2.718700865,13.33674896
09h,wt,4MSB,4MSB,4,8.897985609,43.64959819
24h,wt,4MSB,4MSB,1,0.524019765,2.570610157
24h,wt,4MSB,4MSB,2,0.291741648,1.431156026
24h,wt,4MSB,4MSB,3,0.021548561,0.10570775
24h,wt,4MSB,4MSB,4,1.002958822,4.920074216
33h,wt,4MSB,4MSB,1,0.063235894,0.310207441
33h,wt,4MSB,4MSB,3,0.012025292,0.058990786
33h,wt,4MSB,4MSB,4,0.214111162,1.050335056
48h,wt,4MSB,4MSB,1,0.025823789,0.126680133
48h,wt,4MSB,4MSB,2,0.009512571,0.046664485
48h,wt,4MSB,4MSB,3,0.00043647,0.002141128
48h,wt,4MSB,4MSB,4,0.005405663,0.026517803
00h,pad2,4MSB,4MSB,1,18.52647386,90.8827206
00h,pad2,4MSB,4MSB,2,22.03356501,108.086965
00h,pad2,4MSB,4MSB,3,26.14535279,128.2575848
00h,pad2,4MSB,4MSB,4,23.1564319,113.5952554
03h,pad2,4MSB,4MSB,1,15.04768273,73.81730358
03h,pad2,4MSB,4MSB,2,17.40845357,85.39820547
03h,pad2,4MSB,4MSB,3,19.04020975,93.40288261
03h,pad2,4MSB,4MSB,4,16.30795298,79.99963433
09h,pad2,4MSB,4MSB,1,10.93471878,53.64091403
09h,pad2,4MSB,4MSB,2,11.38439199,55.84681275
09h,pad2,4MSB,4MSB,3,6.993051115,34.30482861
09h,pad2,4MSB,4MSB,4,6.296791992,30.88928803
24h,pad2,4MSB,4MSB,1,4.495611533,22.05349004
24h,pad2,4MSB,4MSB,2,2.606178886,12.7847657
24h,pad2,4MSB,4MSB,3,0.458716591,2.25026155
24h,pad2,4MSB,4MSB,4,0.429645676,2.107652447
33h,pad2,4MSB,4MSB,1,3.073831611,15.07886398
33h,pad2,4MSB,4MSB,3,0.009841392,0.048277535
33h,pad2,4MSB,4MSB,4,0.051422944,0.252258312
48h,pad2,4MSB,4MSB,1,1.048739981,5.144656418
48h,pad2,4MSB,4MSB,2,0.095626575,0.469101857
48h,pad2,4MSB,4MSB,3,0.003743157,0.018362281
48h,pad2,4MSB,4MSB,4,0.004017794,0.019709527
00h,wt,BSO_4MSB,4MSB,1,19.26889955,94.52473403
00h,wt,BSO_4MSB,4MSB,2,21.09821424,103.4985461
00h,wt,BSO_4MSB,4MSB,3,25.09840637,123.1217268
00h,wt,BSO_4MSB,4MSB,4,26.5769407,130.374765
03h,wt,BSO_4MSB,4MSB,1,16.01624045,78.56862115
03h,wt,BSO_4MSB,4MSB,2,14.54722516,71.36227914
03h,wt,BSO_4MSB,4MSB,3,16.53498256,81.11334145
03h,wt,BSO_4MSB,4MSB,4,17.13865438,84.07468951
09h,wt,BSO_4MSB,4MSB,1,6.232761455,30.57518241
09h,wt,BSO_4MSB,4MSB,2,6.486429068,31.819564
09h,wt,BSO_4MSB,4MSB,3,4.717866359,23.14377433
09h,wt,BSO_4MSB,4MSB,4,5.850641093,28.70066823
24h,wt,BSO_4MSB,4MSB,1,0.668029883,3.277060363
24h,wt,BSO_4MSB,4MSB,2,0.72599942,3.561433379
24h,wt,BSO_4MSB,4MSB,3,0.132562519,0.650293331
24h,wt,BSO_4MSB,4MSB,4,0.231007616,1.133221613
33h,wt,BSO_4MSB,4MSB,1,0.536762773,2.633121741
33h,wt,BSO_4MSB,4MSB,3,0.001887452,0.009259009
33h,wt,BSO_4MSB,4MSB,4,0.042333076,0.207667423
48h,wt,BSO_4MSB,4MSB,1,0.43227884,2.120569586
48h,wt,BSO_4MSB,4MSB,2,0.013877839,0.068078565
48h,wt,BSO_4MSB,4MSB,3,0.002766939,0.013573382
48h,wt,BSO_4MSB,4MSB,4,0.000401906,0.001971575
00h,wt,4MSB,SFN,1,0.110525234,0.967330449
00h,wt,4MSB,SFN,2,0.033871442,0.29644703
00h,wt,4MSB,SFN,3,0.943518427,8.257789353
00h,wt,4MSB,SFN,4,0.116097253,1.016097442
03h,wt,4MSB,SFN,1,7.105107068,62.18477117
03h,wt,4MSB,SFN,2,6.149961949,53.82522359
03h,wt,4MSB,SFN,3,11.74076798,102.7566458
03h,wt,4MSB,SFN,4,7.688681369,67.29228525
09h,wt,4MSB,SFN,1,11.41111952,99.87152193
09h,wt,4MSB,SFN,2,8.673658712,75.91292813
09h,wt,4MSB,SFN,3,11.63005051,101.7876329
09h,wt,4MSB,SFN,4,13.98836793,122.427917
24h,wt,4MSB,SFN,1,3.492317321,30.56519084
24h,wt,4MSB,SFN,2,1.367781305,11.97099026
24h,wt,4MSB,SFN,3,0.365803048,3.201553282
24h,wt,4MSB,SFN,4,8.680550019,75.9732417
33h,wt,4MSB,SFN,1,0.554434572,4.852479587
33h,wt,4MSB,SFN,3,0.053790396,0.47078016
33h,wt,4MSB,SFN,4,4.643672072,40.64198926
48h,wt,4MSB,SFN,1,0.339182671,2.968568465
48h,wt,4MSB,SFN,2,0.146224531,1.279775081
48h,wt,4MSB,SFN,3,0.023962313,0.209721112
48h,wt,4MSB,SFN,4,0.743781931,6.509670966
00h,pad2,4MSB,SFN,1,0.047708256,0.41754853
00h,pad2,4MSB,SFN,2,0.052226807,0.457095436
