time,genotype,treatment,cpd,batch,value,relative
00h,wt,4MSB,4MSB,1,1.569608723,94.70186749
00h,wt,4MSB,4MSB,2,1.075737988,64.90432613
00h,wt,4MSB,4MSB,3,2.201126835,132.8043218
00h,wt,4MSB,4MSB,4,1.783210807,107.5894846
09h,wt,4MSB,4MSB,1,2.162448403,130.4706703
09h,wt,4MSB,4MSB,2,2.255769132,136.1011482
09h,wt,4MSB,4MSB,3,4.545498428,274.2512727
09h,wt,4MSB,4MSB,4,2.990975135,180.45958
24h,wt,4MSB,4MSB,1,1.720129888,103.7835165
24h,wt,4MSB,4MSB,2,1.646071966,99.31525416
24h,wt,4MSB,4MSB,3,2.526937462,152.4620074
24h,wt,4MSB,4MSB,4,2.894642665,174.6473896
48h,wt,4MSB,4MSB,1,1.431144134,86.3476484
48h,wt,4MSB,4MSB,2,1.301793067,78.5432909
48h,wt,4MSB,4MSB,3,1.846171895,111.3882228
48h,wt,4MSB,4MSB,4,1.768096082,106.6775423
00h,pad2,4MSB,4MSB,1,0.982344558,59.26946174
00h,pad2,4MSB,4MSB,2,1.257570917,75.87516086
00h,pad2,4MSB,4MSB,3,2.337989037,141.0618613
00h,pad2,4MSB,4MSB,4,1.925802324,116.1927007
09h,pad2,4MSB,4MSB,1,1.629571306,98.31969184
09h,pad2,4MSB,4MSB,2,1.567337299,94.56482185
09h,pad2,4MSB,4MSB,3,3.823336822,230.6798706
09h,pad2,4MSB,4MSB,4,3.156328201,190.4361073
24h,pad2,4MSB,4MSB,1,2.18093875,131.5862798
24h,pad2,4MSB,4MSB,2,1.165647382,70.32898217
24h,pad2,4MSB,4MSB,3,3.337885893,201.3903357
24h,pad2,4MSB,4MSB,4,2.492535814,150.3863944
48h,pad2,4MSB,4MSB,1,1.460489912,88.11821703
48h,pad2,4MSB,4MSB,2,1.763971798,106.4287049
48h,pad2,4MSB,4MSB,3,2.302942613,138.9473459
48h,pad2,4MSB,4MSB,4,1.696944501,102.3846332
00h,wt,BSO_4MSB,4MSB,1,1.036308061,62.52533337
00h,wt,BSO_4MSB,4MSB,2,1.099273561,66.32433778
00h,wt,BSO_4MSB,4MSB,3,2.442503052,147.3676828
00h,wt,BSO_4MSB,4MSB,4,1.964818737,118.5467442
09h,wt,BSO_4MSB,4MSB,1,1.561275675,94.1990956
09h,wt,BSO_4MSB,4MSB,2,1.791213644,108.0723334
09h,wt,BSO_4MSB,4MSB,3,2.879165237,173.7135637
09h,wt,BSO_4MSB,4MSB,4,3.081945722,185.9482629
24h,wt,BSO_4MSB,4MSB,1,1.098196867,66.2593758
24h,wt,BSO_4MSB,4MSB,2,1.401315969,84.54797513
24h,wt,BSO_4MSB,4MSB,3,2.710899366,163.5612933
24h,wt,BSO_4MSB,4MSB,4,2.185529907,131.8632858
48h,wt,BSO_4MSB,4MSB,1,1.11229304,67.10986409
48h,wt,BSO_4MSB,4MSB,2,0.969922722,58.51999402
