sulfur,genotype,cpd,isotope,batch,value,relative
S1500,wt,RA,0_0,1,0.901747809,16.25742554
S1500,wt,RA,0_0,2,0.757572109,13.13657363
S1500,wt,RA,0_0,3,1.33837155,21.52375103
S1500,wt,RA,0_0,4,1.205340772,18.10299906
S1500,wt,RA,2_0,1,0.030127362,0.948041694
S1500,wt,RA,2_0,2,0.018823246,0.86887494
S1500,wt,RA,2_0,3,0.070996955,0.593094835
S1500,wt,RA,2_0,4,0.069279311,0.813805666
S1500,wt,RA,2_2,1,0.033702426,0.716308148
S1500,wt,RA,2_2,2,0.030328571,0.688596448
S1500,wt,RA,2_2,3,0.054528755,1.028430437
S1500,wt,RA,2_2,4,0.032013138,0.876155324
S1500,wt,RA,4_2,1,0.000124134,0.09580715
S1500,wt,RA,4_2,2,0.002140525,0.052230217
S1500,wt,RA,4_2,3,0.001998099,0.075085407
S1500,wt,RA,4_2,4,0.002767123,0.06982075
S150,wt,RA,0_0,1,0.053898888,0.832569372
S150,wt,RA,0_0,2,0.155337335,3.008816075
S150,wt,RA,0_0,3,0.133556238,2.601509038
S150,wt,RA,0_0,4,0.100451848,1.993538915
S150,wt,RA,2_0,1,0.013941038,0.001467859
S150,wt,RA,2_0,2,0.009183756,0.001422137
S150,wt,RA,2_0,3,0.017935938,0.259589707
S150,wt,RA,2_0,4,0.014049996,0.001430291
S150,wt,RA,2_2,1,0.006395194,0.075888287
S150,wt,RA,2_2,2,0.005389963,0.169803204
S150,wt,RA,2_2,3,0.00292096,0.055544139
S150,wt,RA,2_2,4,0.002281719,0.05878494
S150,wt,RA,4_2,1,0.003548848,0.070016853
S150,wt,RA,4_2,2,0.001445805,0.048921526
S150,wt,RA,4_2,3,0.000882503,0.044895781
S150,wt,RA,4_2,4,0.0001124,0.032324566
4MSB-34S,wt,RA,0_0,1,0.219982378,3.160459007
4MSB-34S,wt,RA,0_0,2,0.173940233,2.609080368
4MSB-34S,wt,RA,0_0,3,0.109577273,1.134586876
4MSB-34S,wt,RA,0_0,4,0.12901839,1.3337237
4MSB-34S,wt,RA,2_0,1,0.396937495,5.912481612
4MSB-34S,wt,RA,2_0,2,0.25175325,3.952471229
4MSB-34S,wt,RA,2_0,3,0.203512582,2.936389331
4MSB-34S,wt,RA,2_0,4,0.198083377,2.144557705
4MSB-34S,wt,RA,2_2,1,3.734160147,65.85125313
4MSB-34S,wt,RA,2_2,2,3.230744033,48.34259883
4MSB-34S,wt,RA,2_2,3,2.503120041,37.60236371
4MSB-34S,wt,RA,2_2,4,1.938826173,29.85540008
4MSB-34S,wt,RA,4_2,1,2.750046725,47.33905549
4MSB-34S,wt,RA,4_2,2,2.183782255,33.18428189
4MSB-34S,wt,RA,4_2,3,1.766372758,27.25331342
4MSB-34S,wt,RA,4_2,4,1.321776274,19.3956249
4MSB,wt,RA,0_0,1,5.818521468,88.40247882
4MSB,wt,RA,0_0,2,3.909855004,61.57940168
4MSB,wt,RA,0_0,3,2.905513729,44.8419792
4MSB,wt,RA,0_0,4,11.6189823,169.5828651
4MSB,wt,RA,2_0,1,0.279169474,3.963970625
4MSB,wt,RA,2_0,2,0.157922344,3.465658519
4MSB,wt,RA,2_0,3,0.115844425,1.609538093
4MSB,wt,RA,2_0,4,0.62913015,7.927140113
4MSB,wt,RA,2_2,1,0.282691248,4.463553155
4MSB,wt,RA,2_2,2,0.197587141,3.039082227
4MSB,wt,RA,2_2,3,0.124908669,2.107862048
4MSB,wt,RA,2_2,4,0.578172416,8.197200935
4MSB,wt,RA,4_2,1,0.012540577,0.252811501
4MSB,wt,RA,4_2,2,0.007380949,0.133794105
4MSB,wt,RA,4_2,3,0.007730021,0.064720786
4MSB,wt,RA,4_2,4,0.021813017,0.367943128
S1500,wt,SFN-Cys,0_0,1,0.013605104,0.567962673
S1500,wt,SFN-Cys,0_0,2,0.009164125,0.382568238
S1500,wt,SFN-Cys,0_0,3,0.037093733,1.548525858
S1500,wt,SFN-Cys,0_0,4,0.021079628,0.879996321
S1500,wt,SFN-Cys,2_0,1,0.014573351,0.608383374
S1500,wt,SFN-Cys,2_0,2,0.025646171,1.070632572
S1500,wt,SFN-Cys,2_0,3,0.021060604,0.879202127
S1500,wt,SFN-Cys,2_0,4,0.023846751,0.995513447
S1500,wt,SFN-Cys,2_2,1,0.002569577,0.107270322
S1500,wt,SFN-Cys,2_2,2,0.006916573,0.288741283
S1500,wt,SFN-Cys,2_2,3,0.00544643,0.227368262
S1500,wt,SFN-Cys,2_2,4,0.000112485,0.004695818
S1500,wt,SFN-Cys,4_2,1,0.008801112,0.367413809
S1500,wt,SFN-Cys,4_2,2,0.00553861,0.231216424
S1500,wt,SFN-Cys,4_2,3,0.00662273,0.276474426
S1500,wt,SFN-Cys,4_2,4,0.01255329,0.524053305
S150,wt,SFN-Cys,0_0,1,0.004711611,0.196692279
S150,wt,SFN-Cys,0_0,2,0.002845345,0.118782609
S150,wt,SFN-Cys,0_0,3,0.000124296,0.005188904
S150,wt,SFN-Cys,0_0,4,0.0001124,0.004692282
S150,wt,SFN-Cys,2_0,1,0.015987985,0.667439096
S150,wt,SFN-Cys,2_0,2,0.013289844,0.5548017
S150,wt,SFN-Cys,2_0,3,0.013796875,0.575968393
S150,wt,SFN-Cys,2_0,4,0.005709918,0.238367916
S150,wt,SFN-Cys,2_2,1,0.000121121,0.005056357
S150,wt,SFN-Cys,2_2,2,0.002000995,0.083534111
S150,wt,SFN-Cys,2_2,3,0.00325656,0.135949296
S150,wt,SFN-Cys,2_2,4,0.00070812,0.029561375
S150,wt,SFN-Cys,4_2,1,0.003064364,0.127925827
S150,wt,SFN-Cys,4_2,2,0.003203905,0.13375115
S150,wt,SFN-Cys,4_2,3,0.00714703,0.298362005
S150,wt,SFN-Cys,4_2,4,0.005395198,0.225229527
4MSB-34S,wt,SFN-Cys,0_0,1,0.017421835,0.727297042
4MSB-34S,wt,SFN-Cys,0_0,2,0.017927071,0.748388747
4MSB-34S,wt,SFN-Cys,0_0,3,0.018457757,0.770542936
4MSB-34S,wt,SFN-Cys,0_0,4,0.013979419,0.583588928
4MSB-34S,wt,SFN-Cys,2_0,1,0.03874189,1.61733028
4MSB-34S,wt,SFN-Cys,2_0,2,0.058694778,2.450289403
4MSB-34S,wt,SFN-Cys,2_0,3,0.036927446,1.541583961
4MSB-34S,wt,SFN-Cys,2_0,4,0.037347794,1.559131928
4MSB-34S,wt,SFN-Cys,2_2,1,1.270899527,53.05534391
4MSB-34S,wt,SFN-Cys,2_2,2,2.433614747,101.594394
4MSB-34S,wt,SFN-Cys,2_2,3,1.64620047,68.72276699
4MSB-34S,wt,SFN-Cys,2_2,4,1.621834521,67.70557896
4MSB-34S,wt,SFN-Cys,4_2,1,0.562518356,23.48305606
4MSB-34S,wt,SFN-Cys,4_2,2,1.147109185,47.88755604
4MSB-34S,wt,SFN-Cys,4_2,3,0.712538628,29.74584625
4MSB-34S,wt,SFN-Cys,4_2,4,0.689582004,28.78749233
4MSB,wt,SFN-Cys,0_0,1,1.216190972,50.77146454
4MSB,wt,SFN-Cys,0_0,2,2.036704924,85.02488032
4MSB,wt,SFN-Cys,0_0,3,1.351154738,56.40570145
4MSB,wt,SFN-Cys,0_0,4,3.643162341,152.0885222
4MSB,wt,SFN-Cys,2_0,1,0.089315245,3.728580365
4MSB,wt,SFN-Cys,2_0,2,0.143585068,5.994144315
4MSB,wt,SFN-Cys,2_0,3,0.090769508,3.789290455
4MSB,wt,SFN-Cys,2_0,4,0.207290428,8.653606902
4MSB,wt,SFN-Cys,2_2,1,0.135037055,5.637296458
4MSB,wt,SFN-Cys,2_2,2,0.181101772,7.560327626
4MSB,wt,SFN-Cys,2_2,3,0.116998634,4.884259244
4MSB,wt,SFN-Cys,2_2,4,0.314765361,13.14028697
4MSB,wt,SFN-Cys,4_2,1,0.005481717,0.22884138
4MSB,wt,SFN-Cys,4_2,2,0.018396173,0.767972043
4MSB,wt,SFN-Cys,4_2,3,0.003367324,0.140573304
4MSB,wt,SFN-Cys,4_2,4,0.028367847,1.184252464
S1500,wt,SFN-GSH,0_0,1,0.071401971,2.248594788
S1500,wt,SFN-GSH,0_0,2,0.03423503,1.07813143
S1500,wt,SFN-GSH,0_0,3,0.058718316,1.849160436
S1500,wt,SFN-GSH,0_0,4,0.074453606,2.344697027
S1500,wt,SFN-GSH,2_0,1,0.006008094,0.189207211
S1500,wt,SFN-GSH,2_0,2,0.001391342,0.043816205
S1500,wt,SFN-GSH,2_0,3,0.004463494,0.140564611
S1500,wt,SFN-GSH,2_0,4,0.001945985,0.061283062
S1500,wt,SFN-GSH,2_2,1,0.005598451,0.176306719
S1500,wt,SFN-GSH,2_2,2,0.00140472,0.044237515
S1500,wt,SFN-GSH,2_2,3,0.002239804,0.070536032
S1500,wt,SFN-GSH,2_2,4,0.003914467,0.123274598
S1500,wt,SFN-GSH,4_2,1,0.000124134,0.00390924
S1500,wt,SFN-GSH,4_2,2,0.00187296,0.058983353
S1500,wt,SFN-GSH,4_2,3,0.001144073,0.036029196
S1500,wt,SFN-GSH,4_2,4,0.000112485,0.003542374
S150,wt,SFN-GSH,0_0,1,0.000121121,0.003814352
S150,wt,SFN-GSH,0_0,2,0.000115664,0.003642511
S150,wt,SFN-GSH,0_0,3,0.000124296,0.003914342
S150,wt,SFN-GSH,0_0,4,0.001944519,0.061236911
S150,wt,SFN-GSH,2_0,1,0.000121121,0.003814352
S150,wt,SFN-GSH,2_0,2,0.000115664,0.003642511
S150,wt,SFN-GSH,2_0,3,0.000882503,0.027791827
S150,wt,SFN-GSH,2_0,4,0.0001124,0.003539706
S150,wt,SFN-GSH,2_2,1,0.000121121,0.003814352
S150,wt,SFN-GSH,2_2,2,0.000115664,0.003642511
S150,wt,SFN-GSH,2_2,3,0.000124296,0.003914342
S150,wt,SFN-GSH,2_2,4,0.0001124,0.003539706
S150,wt,SFN-GSH,4_2,1,0.000121121,0.003814352
S150,wt,SFN-GSH,4_2,2,0.000115664,0.003642511
S150,wt,SFN-GSH,4_2,3,0.000857644,0.027008959
S150,wt,SFN-GSH,4_2,4,0.0001124,0.003539706
4MSB-34S,wt,SFN-GSH,0_0,1,0.018930393,0.596156965
4MSB-34S,wt,SFN-GSH,0_0,2,0.004124417,0.12988638
4MSB-34S,wt,SFN-GSH,0_0,3,0.002899312,0.091305278
4MSB-34S,wt,SFN-GSH,0_0,4,0.003841567,0.120978825
4MSB-34S,wt,SFN-GSH,2_0,1,1.920633861,60.4847067
4MSB-34S,wt,SFN-GSH,2_0,2,0.65886452,20.74899752
4MSB-34S,wt,SFN-GSH,2_0,3,0.397873838,12.52986469
4MSB-34S,wt,SFN-GSH,2_0,4,0.276592794,8.710475409
4MSB-34S,wt,SFN-GSH,2_2,1,0.037927536,1.194416035
4MSB-34S,wt,SFN-GSH,2_2,2,0.018582213,0.585192066
4MSB-34S,wt,SFN-GSH,2_2,3,0.005798623,0.182610557
4MSB-34S,wt,SFN-GSH,2_2,4,0.010096247,0.317951569
4MSB-34S,wt,SFN-GSH,4_2,1,1.195444958,37.64701805
4MSB-34S,wt,SFN-GSH,4_2,2,0.475945861,14.98851312
4MSB-34S,wt,SFN-GSH,4_2,3,0.229093339,7.214619966
4MSB-34S,wt,SFN-GSH,4_2,4,0.140792722,4.433852104
4MSB,wt,SFN-GSH,0_0,1,4.913517486,154.7367617
4MSB,wt,SFN-GSH,0_0,2,1.389629204,43.76227897
4MSB,wt,SFN-GSH,0_0,3,0.317460317,9.997477697
4MSB,wt,SFN-GSH,0_0,4,4.203988735,132.3922434
4MSB,wt,SFN-GSH,2_0,1,0.582256385,18.33644996
4MSB,wt,SFN-GSH,2_0,2,0.158209589,4.982345038
4MSB,wt,SFN-GSH,2_0,3,0.034001504,1.070777214
4MSB,wt,SFN-GSH,2_0,4,0.477094511,15.02468646
4MSB,wt,SFN-GSH,2_2,1,0.236387579,7.444330575
4MSB,wt,SFN-GSH,2_2,2,0.078755105,2.480160073
4MSB,wt,SFN-GSH,2_2,3,0.015057657,0.474196574
4MSB,wt,SFN-GSH,2_2,4,0.231385497,7.286804734
4MSB,wt,SFN-GSH,4_2,1,0.029337907,0.923910959
4MSB,wt,SFN-GSH,4_2,2,0.003034807,0.095572296
4MSB,wt,SFN-GSH,4_2,3,0.003314379,0.104376602
4MSB,wt,SFN-GSH,4_2,4,0.028185769,0.887627772
S1500,wt,SFN-rEC,0_0,1,0.001725465,0.176659647
S1500,wt,SFN-rEC,0_0,2,0.000133783,0.013697196
S1500,wt,SFN-rEC,0_0,3,0.000161137,0.016497816
S1500,wt,SFN-rEC,0_0,4,0.002339681,0.239545448
S1500,wt,SFN-rEC,2_0,1,0.000124134,0.012709327
S1500,wt,SFN-rEC,2_0,2,0.000133783,0.013697196
S1500,wt,SFN-rEC,2_0,3,0.000161137,0.016497816
S1500,wt,SFN-rEC,2_0,4,0.000112485,0.011516608
S1500,wt,SFN-rEC,2_2,1,0.000124134,0.012709327
S1500,wt,SFN-rEC,2_2,2,0.000133783,0.013697196
S1500,wt,SFN-rEC,2_2,3,0.000161137,0.016497816
S1500,wt,SFN-rEC,2_2,4,0.000112485,0.011516608
S1500,wt,SFN-rEC,4_2,1,0.002147521,0.219871359
S1500,wt,SFN-rEC,4_2,2,0.004642265,0.475292686
S1500,wt,SFN-rEC,4_2,3,0.001643597,0.168277725
S1500,wt,SFN-rEC,4_2,4,0.000112485,0.011516608
S150,wt,SFN-rEC,0_0,1,0.000121121,0.012400838
S150,wt,SFN-rEC,0_0,2,0.000115664,0.011842164
S150,wt,SFN-rEC,0_0,3,0.000124296,0.012725914
S150,wt,SFN-rEC,0_0,4,0.0001124,0.011507935
S150,wt,SFN-rEC,2_0,1,0.000121121,0.012400838
S150,wt,SFN-rEC,2_0,2,0.000115664,0.011842164
S150,wt,SFN-rEC,2_0,3,0.000124296,0.012725914
S150,wt,SFN-rEC,2_0,4,0.0001124,0.011507935
S150,wt,SFN-rEC,2_2,1,0.000121121,0.012400838
S150,wt,SFN-rEC,2_2,2,0.000115664,0.011842164
S150,wt,SFN-rEC,2_2,3,0.000124296,0.012725914
S150,wt,SFN-rEC,2_2,4,0.0001124,0.011507935
S150,wt,SFN-rEC,4_2,1,0.002119619,0.217014662
S150,wt,SFN-rEC,4_2,2,0.004418381,0.452370665
S150,wt,SFN-rEC,4_2,3,0.003443004,0.352507823
S150,wt,SFN-rEC,4_2,4,0.003518119,0.36019837
