sulfur,genotype,batch,value
S1500,wt,1,6.1
S1500,wt,2,5.8
S1500,wt,3,4.4
S1500,wt,4,5.1
S1500,wt,5,6.1
S1500,wt,6,4.5
S1500,wt,7,5.5
S1500,wt,8,5.5
S1500,wt,9,5.7
S1500,wt,10,5
S1500,wt,11,4.9
S150,wt,1,6.3
S150,wt,2,6.7
S150,wt,3,4.2
S150,wt,4,5
S150,wt,5,3.8
S150,wt,6,5.3
S150,wt,7,5.3
S150,wt,8,5
S150,wt,9,4.8
S150,wt,10,5
S150,wt,11,3.9
S15,wt,1,3.9
S15,wt,2,4.1
S15,wt,3,3
S15,wt,4,3.2
S15,wt,5,3
S15,wt,6,3.1
S15,wt,7,3
S15,wt,8,3.1
S15,wt,9,3.6
S15,wt,10,2.5
S15,wt,11,3.8
S0,wt,1,3.6
S0,wt,2,3.6
S0,wt,3,2.4
S0,wt,4,2.5
S0,wt,5,3
S0,wt,6,2.9
S0,wt,7,2.9
S0,wt,8,2.4
S0,wt,9,2.9
S0,wt,10,2.5
S0,wt,11,1.9
4MSB,wt,1,6.6
4MSB,wt,2,6.9
4MSB,wt,3,5.5
4MSB,wt,4,4.2
4MSB,wt,6,5.2
4MSB,wt,7,4.6
4MSB,wt,8,5.2
4MSB,wt,9,5.4
4MSB,wt,10,4.1
4MSB,wt,11,4
