sulfur,genotype,cpd,isotope,batch,value
S1500,wt,Cys,0,1,0.177889277
S1500,wt,Cys,0,2,0.149420858
S1500,wt,Cys,0,3,0.248824711
S1500,wt,Cys,0,4,0.142873291
S1500,wt,Cys,0,5,0.177354028
S150,wt,Cys,0,1,0.093645313
S150,wt,Cys,0,2,0.041184343
S150,wt,Cys,0,3,0.049354152
S150,wt,Cys,0,4,0.070736474
S150,wt,Cys,0,5,0.031743834
S15,wt,Cys,0,1,0.038710078
S15,wt,Cys,0,2,0.040173079
S15,wt,Cys,0,3,0.032667815
S15,wt,Cys,0,4,0.028076509
S15,wt,Cys,0,5,0.034361197
S0,wt,Cys,0,1,0.034861264
S0,wt,Cys,0,2,0.034906948
S0,wt,Cys,0,3,0.020495418
S0,wt,Cys,0,4,0.03092891
S0,wt,Cys,0,5,0.04132423
4MSB,wt,Cys,0,1,0.085637546
4MSB,wt,Cys,0,2,0.114968263
4MSB,wt,Cys,0,3,0.103311646
4MSB,wt,Cys,0,4,0.073424982
4MSB,wt,Cys,0,5,0.061959659
