sulfur,genotype,cpd,isotope,batch,value
S1500,wt,Cys,0,1,0.029358821
S1500,wt,Cys,0,2,0.073683703
S1500,wt,Cys,0,3,0.091778394
S1500,wt,Cys,0,4,0.116702803
S1500,wt,Cys,2,1,0.000107149
S1500,wt,Cys,2,2,0.004100239
S1500,wt,Cys,2,3,0.006989509
S1500,wt,Cys,2,4,0.008060204
S150,wt,Cys,0,1,0.004223576
S150,wt,Cys,0,2,0.013263436
S150,wt,Cys,0,3,0.012637629
S150,wt,Cys,0,4,0.012858313
S150,wt,Cys,2,1,0.000105064
S150,wt,Cys,2,2,0.002778909
S150,wt,Cys,2,3,0.000102996
S150,wt,Cys,2,4,0.000102375
4MSB,wt,Cys,0,1,0.024720559
4MSB,wt,Cys,0,2,0.038597238
4MSB,wt,Cys,0,3,0.021406556
4MSB,wt,Cys,0,4,0.057378001
4MSB,wt,Cys,2,1,0.000127163
4MSB,wt,Cys,2,2,0.000112006
4MSB,wt,Cys,2,3,9.34E-05
4MSB,wt,Cys,2,4,0.00735426
4MSB-34S,wt,Cys,0,1,0.019211193
4MSB-34S,wt,Cys,0,2,0.024846219
4MSB-34S,wt,Cys,0,3,0.015450767
4MSB-34S,wt,Cys,0,4,0.03240407
4MSB-34S,wt,Cys,2,1,0.015569941
4MSB-34S,wt,Cys,2,2,0.022085528
4MSB-34S,wt,Cys,2,3,0.009746309
4MSB-34S,wt,Cys,2,4,0.020220045
S1500,wt,Met,0,1,0.466001629
S1500,wt,Met,0,2,0.586551217
S1500,wt,Met,0,3,0.711228953
S1500,wt,Met,0,4,0.536416758
S1500,wt,Met,2,1,0.025801474
S1500,wt,Met,2,2,0.043004269
S1500,wt,Met,2,3,0.038249335
S1500,wt,Met,2,4,0.030704612
S150,wt,Met,0,1,0.420455978
S150,wt,Met,0,2,0.281056596
S150,wt,Met,0,3,0.379582042
S150,wt,Met,0,4,0.380047093
S150,wt,Met,2,1,0.030153394
S150,wt,Met,2,2,0.029580619
S150,wt,Met,2,3,0.022391365
S150,wt,Met,2,4,0.033097871
4MSB,wt,Met,0,1,0.387314183
4MSB,wt,Met,0,2,0.362215925
4MSB,wt,Met,0,3,0.365517885
4MSB,wt,Met,0,4,0.464004221
4MSB,wt,Met,2,1,0.03582192
4MSB,wt,Met,2,2,0.026433396
4MSB,wt,Met,2,3,0.021145045
4MSB,wt,Met,2,4,0.030640992
4MSB-34S,wt,Met,0,1,0.352418365
4MSB-34S,wt,Met,0,2,0.304319275
4MSB-34S,wt,Met,0,3,0.273833071
4MSB-34S,wt,Met,0,4,0.244956806
4MSB-34S,wt,Met,2,1,0.130380309
4MSB-34S,wt,Met,2,2,0.133143033
4MSB-34S,wt,Met,2,3,0.099536573
4MSB-34S,wt,Met,2,4,0.088951654
S1500,wt,GSH,0,1,21.36626736
S1500,wt,GSH,0,2,35.61110441
S1500,wt,GSH,0,3,33.69796461
S1500,wt,GSH,0,4,34.9701121
S1500,wt,GSH,2,1,1.086254929
S1500,wt,GSH,2,2,1.834326234
S1500,wt,GSH,2,3,1.734155685
S1500,wt,GSH,2,4,1.755529844
S150,wt,GSH,0,1,0.870382433
S150,wt,GSH,0,2,4.075061075
S150,wt,GSH,0,3,2.25388553
S150,wt,GSH,0,4,2.373024161
S150,wt,GSH,2,1,0.04441059
S150,wt,GSH,2,2,0.210749186
S150,wt,GSH,2,3,0.113532665
S150,wt,GSH,2,4,0.129545455
4MSB,wt,GSH,0,1,1.977911723
4MSB,wt,GSH,0,2,3.197623235
4MSB,wt,GSH,0,3,2.294050621
4MSB,wt,GSH,0,4,13.11208652
4MSB,wt,GSH,2,1,0.107389463
4MSB,wt,GSH,2,2,0.166351183
4MSB,wt,GSH,2,3,0.126478005
4MSB,wt,GSH,2,4,0.701967819
4MSB-34S,wt,GSH,0,1,2.142922398
4MSB-34S,wt,GSH,0,2,2.404856672
4MSB-34S,wt,GSH,0,3,1.807873489
4MSB-34S,wt,GSH,0,4,1.957491816
4MSB-34S,wt,GSH,2,1,1.365104017
4MSB-34S,wt,GSH,2,2,1.550275399
4MSB-34S,wt,GSH,2,3,1.197678085
4MSB-34S,wt,GSH,2,4,1.169690022
