time,genotype,cpd,batch,value
0h,wt intact,SFN,1,0.011851505
0h,wt intact,SFN,1,0.006788375
0h,wt intact,SFN,2,0.019706317
0h,wt intact,SFN,2,0.000127369
0h,wt intact,SFN,3,0.000137171
0h,wt intact,SFN,3,0.000125775
6min,wt intact,SFN,1,1.768791753
6min,wt intact,SFN,2,1.353879305
6min,wt intact,SFN,3,1.453949278
3h,wt intact,SFN,1,23.91898085
3h,wt intact,SFN,2,17.73063618
3h,wt intact,SFN,3,18.26257549
9h,wt intact,SFN,1,30.14655751
9h,wt intact,SFN,2,25.45827696
9h,wt intact,SFN,3,23.26112709
24h,wt intact,SFN,1,5.614434118
24h,wt intact,SFN,2,4.344888031
24h,wt intact,SFN,3,2.175022504
48h,wt intact,SFN,1,0.211198327
48h,wt intact,SFN,2,0.106083601
48h,wt intact,SFN,3,0.107707191
0h,wt homogenate,SFN,1,0.011851505
0h,wt homogenate,SFN,1,0.006788375
0h,wt homogenate,SFN,2,0.019706317
0h,wt homogenate,SFN,2,0.000127369
0h,wt homogenate,SFN,3,0.000137171
0h,wt homogenate,SFN,3,0.000125775
6min,wt homogenate,SFN,1,65.3968032
6min,wt homogenate,SFN,2,58.15566606
6min,wt homogenate,SFN,3,58.13243819
3h,wt homogenate,SFN,1,69.10410641
3h,wt homogenate,SFN,2,62.45126535
3h,wt homogenate,SFN,3,63.74903233
9h,wt homogenate,SFN,1,70.45984953
9h,wt homogenate,SFN,2,61.54222645
9h,wt homogenate,SFN,3,66.28087048
24h,wt homogenate,SFN,1,75.98677873
24h,wt homogenate,SFN,2,62.64547458
24h,wt homogenate,SFN,3,75.87226605
48h,wt homogenate,SFN,1,75.43479803
48h,wt homogenate,SFN,2,63.05463306
48h,wt homogenate,SFN,3,64.00983004
0h,medium,SFN,1,0.011851505
0h,medium,SFN,1,0.006788375
0h,medium,SFN,2,0.019706317
0h,medium,SFN,2,0.000127369
0h,medium,SFN,3,0.000137171
0h,medium,SFN,3,0.000125775
6min,medium,SFN,1,0.02353257
6min,medium,SFN,1,0.007449161
6min,medium,SFN,2,0.025893509
6min,medium,SFN,2,0.000135572
6min,medium,SFN,3,0.01364567
6min,medium,SFN,3,0.000134115
3h,medium,SFN,1,0.017590155
3h,medium,SFN,1,0.000142568
3h,medium,SFN,2,0.042124599
3h,medium,SFN,2,0.000133246
3h,medium,SFN,3,0.011945572
3h,medium,SFN,3,0.000141431
9h,medium,SFN,1,0.022633571
9h,medium,SFN,1,0.018358374
9h,medium,SFN,2,0.063023047
9h,medium,SFN,2,0.000138266
9h,medium,SFN,3,0.000142829
9h,medium,SFN,3,0.000174258
24h,medium,SFN,1,0.035464785
24h,medium,SFN,1,0.026430389
24h,medium,SFN,2,0.099418263
24h,medium,SFN,2,0.000144467
24h,medium,SFN,3,0.032213003
24h,medium,SFN,3,0.010149606
48h,medium,SFN,1,0.043209376
48h,medium,SFN,1,0.039912022
48h,medium,SFN,2,0.114094459
48h,medium,SFN,2,0.016668866
48h,medium,SFN,3,0.049903051
48h,medium,SFN,3,0.014867934
0h,wt intact,4MSB,1,20.75183255
0h,wt intact,4MSB,1,20.95029116
0h,wt intact,4MSB,2,25.12071042
0h,wt intact,4MSB,2,22.01524075
0h,wt intact,4MSB,3,23.64641327
