time,genotype,treatment,ID,cpd,isotope,batch,value
03h,wt,water,N_0478,4MSB,0,1,0.614353902
03h,wt,water,N_0478,4MSB,0,2,0.802879348
03h,wt,water,N_0478,4MSB,0,3,0.732360514
09h,wt,water,N_0478,4MSB,0,1,0.633266913
09h,wt,water,N_0478,4MSB,0,2,0.761797569
09h,wt,water,N_0478,4MSB,0,3,0.76230308
24h,wt,water,N_0478,4MSB,0,1,0.43801474
24h,wt,water,N_0478,4MSB,0,2,0.648723865
24h,wt,water,N_0478,4MSB,0,3,0.921704276
48h,wt,water,N_0478,4MSB,0,1,0.519844671
48h,wt,water,N_0478,4MSB,0,2,0.456114968
48h,wt,water,N_0478,4MSB,0,3,0.617377568
03h,wt,4MSB,N_0478,4MSB,0,1,0.895235975
03h,wt,4MSB,N_0478,4MSB,0,2,1.31076634
03h,wt,4MSB,N_0478,4MSB,0,3,1.225868441
09h,wt,4MSB,N_0478,4MSB,0,1,1.265731337
09h,wt,4MSB,N_0478,4MSB,0,2,1.586500674
09h,wt,4MSB,N_0478,4MSB,0,3,1.603295464
24h,wt,4MSB,N_0478,4MSB,0,1,1.285414813
24h,wt,4MSB,N_0478,4MSB,0,2,1.169489656
24h,wt,4MSB,N_0478,4MSB,0,3,1.103830048
48h,wt,4MSB,N_0478,4MSB,0,1,0.966125549
48h,wt,4MSB,N_0478,4MSB,0,2,0.821505586
48h,wt,4MSB,N_0478,4MSB,0,3,0.854481151
03h,wt,4MSB-d5,N_0478,4MSB,0,1,0.626486163
03h,wt,4MSB-d5,N_0478,4MSB,0,2,0.780056621
03h,wt,4MSB-d5,N_0478,4MSB,0,3,0.711225248
09h,wt,4MSB-d5,N_0478,4MSB,0,1,0.643133527
09h,wt,4MSB-d5,N_0478,4MSB,0,2,0.811431237
09h,wt,4MSB-d5,N_0478,4MSB,0,3,0.746337361
24h,wt,4MSB-d5,N_0478,4MSB,0,1,0.573834305
24h,wt,4MSB-d5,N_0478,4MSB,0,2,0.642985008
24h,wt,4MSB-d5,N_0478,4MSB,0,3,0.69412052
48h,wt,4MSB-d5,N_0478,4MSB,0,1,0.361967194
48h,wt,4MSB-d5,N_0478,4MSB,0,2,0.465249929
48h,wt,4MSB-d5,N_0478,4MSB,0,3,0.451900791
03h,wt,water,N_0495,4MSB,5,1,0.033012208
03h,wt,water,N_0495,4MSB,5,2,0.030224917
03h,wt,water,N_0495,4MSB,5,3,0.031690299
09h,wt,water,N_0495,4MSB,5,1,0.03097879
09h,wt,water,N_0495,4MSB,5,2,0.033121245
09h,wt,water,N_0495,4MSB,5,3,0.033136383
24h,wt,water,N_0495,4MSB,5,1,0.032704776
24h,wt,water,N_0495,4MSB,5,2,0.033511439
24h,wt,water,N_0495,4MSB,5,3,0.035543212
48h,wt,water,N_0495,4MSB,5,1,0.033854978
48h,wt,water,N_0495,4MSB,5,2,0.034055419
48h,wt,water,N_0495,4MSB,5,3,0.032492798
03h,wt,4MSB,N_0495,4MSB,5,1,0.032051003
03h,wt,4MSB,N_0495,4MSB,5,2,0.032107045
03h,wt,4MSB,N_0495,4MSB,5,3,0.032377641
09h,wt,4MSB,N_0495,4MSB,5,1,0.031665468
09h,wt,4MSB,N_0495,4MSB,5,2,0.033571752
09h,wt,4MSB,N_0495,4MSB,5,3,0.033394043
24h,wt,4MSB,N_0495,4MSB,5,1,0.031110504
24h,wt,4MSB,N_0495,4MSB,5,2,0.031615859
24h,wt,4MSB,N_0495,4MSB,5,3,0.031162246
48h,wt,4MSB,N_0495,4MSB,5,1,0.03467544
48h,wt,4MSB,N_0495,4MSB,5,2,0.031889161
48h,wt,4MSB,N_0495,4MSB,5,3,0.03164133
03h,wt,4MSB-d5,N_0495,4MSB,5,1,0.419176615
03h,wt,4MSB-d5,N_0495,4MSB,5,2,0.424239968
03h,wt,4MSB-d5,N_0495,4MSB,5,3,0.465431779
09h,wt,4MSB-d5,N_0495,4MSB,5,1,0.807831437
09h,wt,4MSB-d5,N_0495,4MSB,5,2,0.620395843
09h,wt,4MSB-d5,N_0495,4MSB,5,3,0.630749722
24h,wt,4MSB-d5,N_0495,4MSB,5,1,0.790893108
24h,wt,4MSB-d5,N_0495,4MSB,5,2,0.676607758
24h,wt,4MSB-d5,N_0495,4MSB,5,3,0.590141174
48h,wt,4MSB-d5,N_0495,4MSB,5,1,0.41006398
48h,wt,4MSB-d5,N_0495,4MSB,5,2,0.402591437
