time,genotype,treatment,batch,value
00h,wt,4MSB,1,0.018878118
00h,wt,4MSB,1,0.018569391
00h,wt,4MSB,2,0.013821683
00h,wt,4MSB,2,0.023409064
00h,wt,4MSB,3,0.015079248
00h,wt,4MSB,3,0.012972944
09h,wt,4MSB,1,0.031878691
09h,wt,4MSB,2,0.051044741
09h,wt,4MSB,3,0.046871284
24h,wt,4MSB,1,0.074820013
24h,wt,4MSB,2,0.088276399
24h,wt,4MSB,3,0.117232008
48h,wt,4MSB,1,0.070812434
48h,wt,4MSB,2,0.064805121
48h,wt,4MSB,3,0.08592952
00h,oxp1,4MSB,1,0.118670533
00h,oxp1,4MSB,1,0.087261675
00h,oxp1,4MSB,2,0.08104462
00h,oxp1,4MSB,2,0.118859889
00h,oxp1,4MSB,3,0.156644405
00h,oxp1,4MSB,3,0.096413245
09h,oxp1,4MSB,1,0.11828223
09h,oxp1,4MSB,2,0.155259125
09h,oxp1,4MSB,3,0.126667363
24h,oxp1,4MSB,1,0.256589048
24h,oxp1,4MSB,2,0.295196371
24h,oxp1,4MSB,3,0.29009977
48h,oxp1,4MSB,1,0.289427817
48h,oxp1,4MSB,2,0.381951469
48h,oxp1,4MSB,3,0.209264831
00h,wt,DW,1,0.018878118
00h,wt,DW,1,0.018569391
00h,wt,DW,2,0.013821683
00h,wt,DW,2,0.023409064
00h,wt,DW,3,0.015079248
00h,wt,DW,3,0.012972944
09h,wt,DW,1,0.008952303
09h,wt,DW,2,0.011588063
09h,wt,DW,3,0.008038755
24h,wt,DW,1,0.024284536
24h,wt,DW,2,0.016031663
24h,wt,DW,3,0.016412682
48h,wt,DW,1,0.028959438
48h,wt,DW,2,0.01107344
48h,wt,DW,3,0.036283366
00h,oxp1,DW,1,0.118670533
00h,oxp1,DW,1,0.087261675
00h,oxp1,DW,2,0.08104462
00h,oxp1,DW,2,0.118859889
00h,oxp1,DW,3,0.156644405
00h,oxp1,DW,3,0.096413245
09h,oxp1,DW,1,0.086493121
09h,oxp1,DW,2,0.134590781
09h,oxp1,DW,3,0.153766919
24h,oxp1,DW,1,0.136297496
24h,oxp1,DW,2,0.134341264
24h,oxp1,DW,3,0.079788981
48h,oxp1,DW,1,0.165695473
48h,oxp1,DW,2,0.117106455
48h,oxp1,DW,3,0.136507399
00h,wt,pCys,1,0.018878118
00h,wt,pCys,1,0.018569391
00h,wt,pCys,2,0.013821683
00h,wt,pCys,2,0.023409064
00h,wt,pCys,3,0.015079248
00h,wt,pCys,3,0.012972944
09h,wt,pCys,1,0.585726344
09h,wt,pCys,2,0.552259985
09h,wt,pCys,3,0.366715834
24h,wt,pCys,1,0.373667282
24h,wt,pCys,2,0.222530108
24h,wt,pCys,3,0.437474103
48h,wt,pCys,1,0.148302329
48h,wt,pCys,2,0.139088846
48h,wt,pCys,3,0.483174329
00h,oxp1,pCys,1,0.118670533
00h,oxp1,pCys,1,0.087261675
00h,oxp1,pCys,2,0.08104462
00h,oxp1,pCys,2,0.118859889
00h,oxp1,pCys,3,0.156644405
00h,oxp1,pCys,3,0.096413245
09h,oxp1,pCys,1,2.17372028
09h,oxp1,pCys,2,1.989746542
09h,oxp1,pCys,3,1.556351133
24h,oxp1,pCys,1,3.087535387
24h,oxp1,pCys,2,3.282914406
24h,oxp1,pCys,3,4.818525051
48h,oxp1,pCys,1,1.797166105
48h,oxp1,pCys,2,2.835298434
48h,oxp1,pCys,3,2.87693928
00h,wt,RA,1,0.018878118
00h,wt,RA,1,0.018569391
00h,wt,RA,2,0.013821683
00h,wt,RA,2,0.023409064
00h,wt,RA,3,0.015079248
00h,wt,RA,3,0.012972944
09h,wt,RA,1,0.021732302
09h,wt,RA,2,0.019042709
09h,wt,RA,3,0.010414724
24h,wt,RA,1,0.025479948
24h,wt,RA,2,0.022649768
24h,wt,RA,3,0.049171127
48h,wt,RA,1,0.055664988
48h,wt,RA,2,0.038493632
48h,wt,RA,3,0.075910832
00h,oxp1,RA,1,0.118670533
00h,oxp1,RA,1,0.087261675
00h,oxp1,RA,2,0.08104462
00h,oxp1,RA,2,0.118859889
00h,oxp1,RA,3,0.156644405
00h,oxp1,RA,3,0.096413245
09h,oxp1,RA,1,0.100442688
09h,oxp1,RA,2,0.11136551
09h,oxp1,RA,3,0.108397804
24h,oxp1,RA,1,0.238615286
24h,oxp1,RA,2,0.28479968
24h,oxp1,RA,3,0.273133397
48h,oxp1,RA,1,0.286717557
48h,oxp1,RA,2,0.326307241
48h,oxp1,RA,3,0.427210977
