genotype,sulfur,substrate,batch,value
wt,S1500,5OP,1,1.408196161
wt,S1500,5OP,1,1.348639494
wt,S1500,5OP,2,1.365044452
wt,S1500,5OP,2,1.66021005
wt,S1500,5OP,2,1.473550822
wt,S15,5OP,1,3.284304441
wt,S15,5OP,1,3.13906794
wt,S15,5OP,2,4.970059082
wt,S15,5OP,2,4.993502694
wt,S15,5OP,2,4.747529561
oxp1,S1500,5OP,1,0.03666763
oxp1,S1500,5OP,1,0.022801537
oxp1,S1500,5OP,2,0.083192193
oxp1,S1500,5OP,2,0.014678286
oxp1,S1500,5OP,2,0.016653344
oxp1,S15,5OP,1,0.010373306
oxp1,S15,5OP,1,0.049563274
oxp1,S15,5OP,2,0.052115631
oxp1,S15,5OP,2,0.134491682
oxp1,S15,5OP,2,0.054243942
wt,S1500,pCys,1,0.020460992
wt,S1500,pCys,1,0.019320836
wt,S1500,pCys,2,0.013995932
wt,S1500,pCys,2,0.012018495
wt,S1500,pCys,2,0.010169449
wt,S15,pCys,1,0.068816506
wt,S15,pCys,1,0.061737207
wt,S15,pCys,2,0.057308403
wt,S15,pCys,2,0.062640687
wt,S15,pCys,2,0.171771914
oxp1,S1500,pCys,1,0.001204242
oxp1,S1500,pCys,1,0.000401816
oxp1,S1500,pCys,2,1.03661E-05
oxp1,S1500,pCys,2,0.000536846
oxp1,S1500,pCys,2,0.000146759
oxp1,S15,pCys,1,0.002559644
oxp1,S15,pCys,1,0.002971322
oxp1,S15,pCys,2,0.002915894
oxp1,S15,pCys,2,0.003681055
oxp1,S15,pCys,2,0.00359898
