genotype,sulfur,substrate,batch,value
wt,S1500,5OP,1,1408.196161
wt,S1500,5OP,1,1348.639494
wt,S1500,5OP,2,1365.044452
wt,S1500,5OP,2,1660.21005
wt,S1500,5OP,2,1473.550822
wt,S15,5OP,1,3284.304441
wt,S15,5OP,1,3139.06794
wt,S15,5OP,2,4970.059082
wt,S15,5OP,2,4993.502694
wt,S15,5OP,2,4747.529561
oxp1,S1500,5OP,1,36.6676299
oxp1,S1500,5OP,1,22.80153699
oxp1,S1500,5OP,2,83.19219271
oxp1,S1500,5OP,2,14.67828555
oxp1,S1500,5OP,2,16.65334435
oxp1,S15,5OP,1,10.3733055
oxp1,S15,5OP,1,49.56327436
oxp1,S15,5OP,2,52.11563064
oxp1,S15,5OP,2,134.491682
oxp1,S15,5OP,2,54.24394231
wt,S1500,pCys,1,20.46099221
wt,S1500,pCys,1,19.32083596
wt,S1500,pCys,2,13.99593187
wt,S1500,pCys,2,12.01849527
wt,S1500,pCys,2,10.16944856
wt,S15,pCys,1,68.81650621
wt,S15,pCys,1,61.73720706
wt,S15,pCys,2,57.30840288
wt,S15,pCys,2,62.64068734
wt,S15,pCys,2,171.7719137
oxp1,S1500,pCys,1,1.204242113
oxp1,S1500,pCys,1,0.401816016
oxp1,S1500,pCys,2,0.010366058
oxp1,S1500,pCys,2,0.536845823
oxp1,S1500,pCys,2,0.146758847
oxp1,S15,pCys,1,2.559644349
oxp1,S15,pCys,1,2.971321774
oxp1,S15,pCys,2,2.915894085
oxp1,S15,pCys,2,3.681055441
oxp1,S15,pCys,2,3.598980366
wt,S1500,RA,1,23.74958907
wt,S1500,RA,1,39.14804104
wt,S1500,RA,2,15.11537967
wt,S1500,RA,2,17.27673353
wt,S1500,RA,2,16.66807535
wt,S15,RA,1,54.20096273
wt,S15,RA,1,47.60850663
wt,S15,RA,2,98.02774877
wt,S15,RA,2,56.37151266
wt,S15,RA,2,49.50117442
oxp1,S1500,RA,1,2.817826124
oxp1,S1500,RA,1,5.72241594
oxp1,S1500,RA,2,7.58178464
oxp1,S1500,RA,2,2.634198994
oxp1,S1500,RA,2,3.793767576
oxp1,S15,RA,1,23.97809121
oxp1,S15,RA,1,48.0271841
oxp1,S15,RA,2,6.698519816
oxp1,S15,RA,2,20.90838015
oxp1,S15,RA,2,29.80206231
