genotype,sulfur,batch,value
wt,S200,1,4.5
wt,S200,2,4.4
wt,S200,3,5.4
wt,S200,4,5.3
wt,S200,5,4.3
wt,S200,6,4
wt,S200,7,5.3
bglu28 bglu30,S200,1,3.8
bglu28 bglu30,S200,2,4.6
bglu28 bglu30,S200,3,5.1
bglu28 bglu30,S200,4,4.8
bglu28 bglu30,S200,5,5.2
bglu28 bglu30,S200,6,4.9
bglu28 bglu30,S200,7,4.8
wt,S100,1,4.7
wt,S100,2,4.6
wt,S100,3,4
wt,S100,4,3.8
wt,S100,5,4.3
wt,S100,6,4.5
wt,S100,7,5.2
bglu28 bglu30,S100,1,3.9
bglu28 bglu30,S100,2,4.1
bglu28 bglu30,S100,3,4.2
bglu28 bglu30,S100,4,4.1
bglu28 bglu30,S100,5,2.3
bglu28 bglu30,S100,6,3.6
bglu28 bglu30,S100,7,4
wt,S0,1,2.9
wt,S0,2,2.4
wt,S0,3,2.2
wt,S0,4,2
wt,S0,5,2.1
wt,S0,6,2.8
wt,S0,7,2.7
bglu28 bglu30,S0,1,1.8
bglu28 bglu30,S0,2,1.4
bglu28 bglu30,S0,3,1.2
bglu28 bglu30,S0,4,1.6
bglu28 bglu30,S0,5,1.7
bglu28 bglu30,S0,6,2
bglu28 bglu30,S0,7,1.4
wt,4MSB,1,4.5
wt,4MSB,2,5.5
wt,4MSB,3,3.6
wt,4MSB,4,4.7
wt,4MSB,5,3.8
wt,4MSB,6,4.7
wt,4MSB,7,5.4
bglu28 bglu30,4MSB,1,3
bglu28 bglu30,4MSB,2,4.1
bglu28 bglu30,4MSB,3,3.7
bglu28 bglu30,4MSB,5,4.5
bglu28 bglu30,4MSB,6,3.7
bglu28 bglu30,4MSB,7,4.2
wt,4MTB,1,5.5
wt,4MTB,2,5.8
wt,4MTB,3,6
wt,4MTB,4,6
wt,4MTB,5,5.3
wt,4MTB,6,6.1
bglu28 bglu30,4MTB,1,2.3
bglu28 bglu30,4MTB,2,3.3
bglu28 bglu30,4MTB,3,2.7
bglu28 bglu30,4MTB,4,3.4
bglu28 bglu30,4MTB,5,4.2
bglu28 bglu30,4MTB,6,4.5
wt,PhE,1,4.8
wt,PhE,2,4.7
wt,PhE,3,5.5
wt,PhE,4,5.4
wt,PhE,5,4.5
wt,PhE,6,5.1
bglu28 bglu30,PhE,1,1.5
bglu28 bglu30,PhE,2,1
bglu28 bglu30,PhE,3,2.1
bglu28 bglu30,PhE,4,1.2
bglu28 bglu30,PhE,5,2.3
bglu28 bglu30,PhE,6,1.1
