genotype,sulfur,batch,GL,nmol mgDW,nmol per seedling
wt,S200,1,4MSB,0.08830957,0.397393063
wt,S200,2,4MSB,0.178867471,0.787016872
wt,S200,3,4MSB,0.016818908,0.090822104
wt,S200,5,4MSB,0.116623393,0.501480589
wt,S200,6,4MSB,0.20285734,0.811429359
wt,S200,7,4MSB,0.106378672,0.56380696
bglu28 bglu30,S200,1,4MSB,0.461092732,1.75215238
bglu28 bglu30,S200,2,4MSB,0.380178404,1.748820659
bglu28 bglu30,S200,3,4MSB,0.207382737,1.057651961
bglu28 bglu30,S200,4,4MSB,0.356253764,1.710018069
bglu28 bglu30,S200,5,4MSB,0.20624877,1.072493605
bglu28 bglu30,S200,6,4MSB,0.314264981,1.539898405
bglu28 bglu30,S200,7,4MSB,0.313693768,1.505730087
wt,S100,1,4MSB,0.001724488,0.008105093
wt,S100,2,4MSB,0.003764156,0.017315118
wt,S100,3,4MSB,0.004709648,0.018838591
wt,S100,4,4MSB,0.007448917,0.028305883
wt,S100,5,4MSB,0.012779924,0.054953674
wt,S100,6,4MSB,0.002804362,0.012619629
wt,S100,7,4MSB,0.001850411,0.009622139
bglu28 bglu30,S100,1,4MSB,0.157991788,0.616167975
bglu28 bglu30,S100,2,4MSB,0.112200711,0.460022913
bglu28 bglu30,S100,3,4MSB,0.154963484,0.650846635
bglu28 bglu30,S100,4,4MSB,0.187427,0.768450698
bglu28 bglu30,S100,5,4MSB,0.242860806,0.558579853
bglu28 bglu30,S100,6,4MSB,0.219625246,0.790650884
bglu28 bglu30,S100,7,4MSB,0.137995821,0.551983283
wt,S0,1,4MSB,4.03E-05,0.000116783
wt,S0,2,4MSB,0.002986932,0.007168637
wt,S0,3,4MSB,0.176504246,0.38830934
wt,S0,4,4MSB,0.0018387,0.003677399
wt,S0,5,4MSB,0.000695703,0.001460977
wt,S0,6,4MSB,0.000519717,0.001455209
wt,S0,7,4MSB,3.61E-05,9.73E-05
bglu28 bglu30,S0,1,4MSB,0.099639802,0.179351644
bglu28 bglu30,S0,2,4MSB,0.079173137,0.110842391
bglu28 bglu30,S0,3,4MSB,0.119480705,0.143376846
bglu28 bglu30,S0,4,4MSB,0.240462346,0.384739754
bglu28 bglu30,S0,5,4MSB,0.164244912,0.279216351
bglu28 bglu30,S0,6,4MSB,0.097207091,0.194414182
bglu28 bglu30,S0,7,4MSB,0.124246017,0.173944423
wt,4MSB,1,4MSB,0.047718609,0.214733741
wt,4MSB,2,4MSB,0.011513396,0.063323678
wt,4MSB,3,4MSB,0.062841324,0.226228766
wt,4MSB,4,4MSB,0.019270443,0.090571081
wt,4MSB,5,4MSB,0.029167643,0.110837043
wt,4MSB,6,4MSB,0.074730973,0.351235573
wt,4MSB,7,4MSB,0.014891043,0.080411634
bglu28 bglu30,4MSB,1,4MSB,0.396841728,1.190525185
bglu28 bglu30,4MSB,2,4MSB,0.221937199,0.909942517
bglu28 bglu30,4MSB,3,4MSB,0.234393227,0.867254938
bglu28 bglu30,4MSB,5,4MSB,0.252967218,1.138352481
bglu28 bglu30,4MSB,6,4MSB,0.328220387,1.214415431
bglu28 bglu30,4MSB,7,4MSB,0.325730714,1.368068998
wt,4MTB,1,4MSB,0.03055363,0.168044964
wt,4MTB,2,4MSB,0.017779275,0.103119793
wt,4MTB,3,4MSB,0.009907008,0.059442046
wt,4MTB,4,4MSB,0.049254288,0.295525731
wt,4MTB,5,4MSB,0.019783288,0.104851424
wt,4MTB,6,4MSB,0.019451564,0.11865454
bglu28 bglu30,4MTB,1,4MSB,1.75935936,4.046526527
bglu28 bglu30,4MTB,2,4MSB,1.385650854,4.572647818
bglu28 bglu30,4MTB,3,4MSB,1.033955759,2.79168055
bglu28 bglu30,4MTB,4,4MSB,1.034237674,3.51640809
bglu28 bglu30,4MTB,5,4MSB,0.77781118,3.266806957
bglu28 bglu30,4MTB,6,4MSB,0.682906684,3.073080078
wt,PhE,1,4MSB,0.012341514,0.059239269
wt,PhE,2,4MSB,0.026582609,0.124938261
wt,PhE,3,4MSB,0.004392463,0.024158547
wt,PhE,4,4MSB,0.01627276,0.087872903
wt,PhE,5,4MSB,0.16526859,0.743708654
wt,PhE,6,4MSB,0.004721598,0.024080151
bglu28 bglu30,PhE,1,4MSB,0.665217573,0.99782636
bglu28 bglu30,PhE,2,4MSB,0.342186487,0.342186487
bglu28 bglu30,PhE,3,4MSB,0.577907446,1.213605637
bglu28 bglu30,PhE,4,4MSB,0.71034929,0.852419148
bglu28 bglu30,PhE,5,4MSB,0.360656913,0.8295109
bglu28 bglu30,PhE,6,4MSB,0.560210174,0.616231191
wt,S200,1,4MTB,0.054166543,0.243749443
wt,S200,2,4MTB,0.076438474,0.336329287
wt,S200,3,4MTB,0.005958503,0.032175914
wt,S200,5,4MTB,0.056041625,0.240978987
wt,S200,6,4MTB,0.079960108,0.319840432
wt,S200,7,4MTB,0.035794196,0.189709238
bglu28 bglu30,S200,1,4MTB,0.662442341,2.517280894
bglu28 bglu30,S200,2,4MTB,0.665701849,3.062228507
bglu28 bglu30,S200,3,4MTB,0.478827593,2.442020725
bglu28 bglu30,S200,4,4MTB,0.933667521,4.481604101
bglu28 bglu30,S200,5,4MTB,0.783804123,4.075781441
bglu28 bglu30,S200,6,4MTB,0.675632548,3.310599488
bglu28 bglu30,S200,7,4MTB,0.713899166,3.426715996
