genotype,sulfur,batch,GL,nmol per seedling
wt,S200,1,4MSB,0.397393063
wt,S200,2,4MSB,0.787016872
wt,S200,3,4MSB,0.090822104
wt,S200,5,4MSB,0.501480589
wt,S200,6,4MSB,0.811429359
wt,S200,7,4MSB,0.56380696
bglu28 bglu30,S200,1,4MSB,1.75215238
bglu28 bglu30,S200,2,4MSB,1.748820659
bglu28 bglu30,S200,3,4MSB,1.057651961
bglu28 bglu30,S200,4,4MSB,1.710018069
bglu28 bglu30,S200,5,4MSB,1.072493605
bglu28 bglu30,S200,6,4MSB,1.539898405
bglu28 bglu30,S200,7,4MSB,1.505730087
wt,S100,1,4MSB,0.008105093
wt,S100,2,4MSB,0.017315118
wt,S100,3,4MSB,0.018838591
wt,S100,4,4MSB,0.028305883
wt,S100,5,4MSB,0.054953674
wt,S100,6,4MSB,0.012619629
wt,S100,7,4MSB,0.009622139
bglu28 bglu30,S100,1,4MSB,0.616167975
bglu28 bglu30,S100,2,4MSB,0.460022913
bglu28 bglu30,S100,3,4MSB,0.650846635
bglu28 bglu30,S100,4,4MSB,0.768450698
bglu28 bglu30,S100,5,4MSB,0.558579853
bglu28 bglu30,S100,6,4MSB,0.790650884
bglu28 bglu30,S100,7,4MSB,0.551983283
wt,4MSB,1,4MSB,0.214733741
wt,4MSB,2,4MSB,0.063323678
wt,4MSB,3,4MSB,0.226228766
wt,4MSB,4,4MSB,0.090571081
wt,4MSB,5,4MSB,0.110837043
wt,4MSB,6,4MSB,0.351235573
wt,4MSB,7,4MSB,0.080411634
bglu28 bglu30,4MSB,1,4MSB,1.190525185
bglu28 bglu30,4MSB,2,4MSB,0.909942517
bglu28 bglu30,4MSB,3,4MSB,0.867254938
bglu28 bglu30,4MSB,5,4MSB,1.138352481
bglu28 bglu30,4MSB,6,4MSB,1.214415431
bglu28 bglu30,4MSB,7,4MSB,1.368068998
wt,4MTB,1,4MSB,0.168044964
wt,4MTB,2,4MSB,0.103119793
wt,4MTB,3,4MSB,0.059442046
wt,4MTB,4,4MSB,0.295525731
wt,4MTB,5,4MSB,0.104851424
wt,4MTB,6,4MSB,0.11865454
bglu28 bglu30,4MTB,1,4MSB,4.046526527
bglu28 bglu30,4MTB,2,4MSB,4.572647818
bglu28 bglu30,4MTB,3,4MSB,2.79168055
bglu28 bglu30,4MTB,4,4MSB,3.51640809
bglu28 bglu30,4MTB,5,4MSB,3.266806957
bglu28 bglu30,4MTB,6,4MSB,3.073080078
wt,S200,1,4MTB,0.243749443
wt,S200,2,4MTB,0.336329287
wt,S200,3,4MTB,0.032175914
wt,S200,5,4MTB,0.240978987
wt,S200,6,4MTB,0.319840432
wt,S200,7,4MTB,0.189709238
bglu28 bglu30,S200,1,4MTB,2.517280894
bglu28 bglu30,S200,2,4MTB,3.062228507
bglu28 bglu30,S200,3,4MTB,2.442020725
bglu28 bglu30,S200,4,4MTB,4.481604101
bglu28 bglu30,S200,5,4MTB,4.075781441
bglu28 bglu30,S200,6,4MTB,3.310599488
bglu28 bglu30,S200,7,4MTB,3.426715996
wt,S100,1,4MTB,0.003404724
