sulfur,genotype,cpd,batch,value
S1500,wt,G01,1,0.852099699
S1500,wt,G01,2,0.756365834
S1500,wt,G01,3,0.791264646
S1500,wt,G01,4,0.677825871
S1500,wt,G01,5,0.627368319
S1500,bglu28bglu30,G01,1,0.656392603
S1500,bglu28bglu30,G01,2,0.804916634
S1500,bglu28bglu30,G01,3,0.964219453
S1500,bglu28bglu30,G01,4,0.938765792
S1500,bglu28bglu30,G01,5,0.752271026
S150,wt,G01,1,0.323964604
S150,wt,G01,2,0.018365246
S150,wt,G01,3,0.065274709
S150,wt,G01,4,0.132838187
S150,wt,G01,5,0.111107526
S150,bglu28bglu30,G01,1,0.131619653
S150,bglu28bglu30,G01,2,0.119265476
S150,bglu28bglu30,G01,3,0.20543509
S150,bglu28bglu30,G01,4,0.156529596
S150,bglu28bglu30,G01,5,0.244178569
S15,wt,G01,1,0.000257207
S15,wt,G01,2,0.000239937
S15,wt,G01,3,0.000253091
S15,wt,G01,4,0.000258884
S15,wt,G01,5,0.000244275
S15,bglu28bglu30,G01,1,0.007895513
S15,bglu28bglu30,G01,2,0.010239382
S15,bglu28bglu30,G01,3,0.017309398
S15,bglu28bglu30,G01,4,0.00842143
S15,bglu28bglu30,G01,5,0.012125306
S0,wt,G01,1,0.000232937
S0,wt,G01,2,0.000247756
S0,wt,G01,3,0.002328136
S0,wt,G01,4,0.000258917
S0,wt,G01,5,0.035028543
S0,bglu28bglu30,G01,1,0.014988873
S0,bglu28bglu30,G01,2,0.006407196
S0,bglu28bglu30,G01,3,0.01397749
S0,bglu28bglu30,G01,4,0.00546244
S0,bglu28bglu30,G01,5,0.010161654
S1500,wt,G02,1,6.597912982
S1500,wt,G02,2,6.841853035
S1500,wt,G02,3,6.25809835
S1500,wt,G02,4,6.431452936
S1500,wt,G02,5,6.146754292
S1500,bglu28bglu30,G02,1,7.429436672
S1500,bglu28bglu30,G02,2,8.012169507
S1500,bglu28bglu30,G02,3,8.57406065
S1500,bglu28bglu30,G02,4,7.603865871
S1500,bglu28bglu30,G02,5,6.962149507
S150,wt,G02,1,2.873433509
S150,wt,G02,2,0.372357179
S150,wt,G02,3,0.600969038
S150,wt,G02,4,1.13478603
S150,wt,G02,5,1.270557958
S150,bglu28bglu30,G02,1,2.52171631
S150,bglu28bglu30,G02,2,1.689073742
S150,bglu28bglu30,G02,3,2.445523092
S150,bglu28bglu30,G02,4,2.224780628
S150,bglu28bglu30,G02,5,2.459337494
S15,wt,G02,1,0.001899796
S15,wt,G02,2,0.002059523
S15,wt,G02,3,0.003604979
S15,wt,G02,4,0.001912184
S15,wt,G02,5,0.005576155
