group	estim	cpd	letters	logFC
S1500:wt	0.738803393901689	G01	c	0
S1500:bglu28bglu30	0.819218206196825	G01	c	0.149057284195547
S150:wt	0.109956459772481	G01	b	-2.74825813097007
S150:bglu28bglu30	0.16829267998273	G01	b	-2.13421806684031
S15:wt	0.00025062423604504	G01	a	-11.5254488444853
S15:bglu28bglu30	0.0109618819816668	G01	a	-6.07462308117826
S0:wt	0.00319232544946173	G01	a	-7.85443894538803
S0:bglu28bglu30	0.00981739340049134	G01	a	-6.23370665567357
S1500:wt	6.45286890378073	G02	d	0
S1500:bglu28bglu30	7.70676001992674	G02	d	0.256183751667794
S150:wt	1.11218404940656	G02	b	-2.53654516432113
S150:bglu28bglu30	2.25675456276749	G02	c	-1.51569119177148
S15:wt	0.00286037304143955	G02	a	-11.1395216893908
S15:bglu28bglu30	0.884609507605717	G02	b	-2.86682806281701
S0:wt	0.100961016661329	G02	a	-5.99807046771898
S0:bglu28bglu30	0.794370974465067	G02	b	-3.0220559017641
S1500:wt	0.561665383375202	G03	d	0
S1500:bglu28bglu30	0.621599392435021	G03	d	0.146274204312712
S150:wt	0.118159886878578	G03	b	-2.24897053927256
S150:bglu28bglu30	0.201305992170816	G03	c	-1.48032077245992
S15:wt	0.000250624236045039	G03	a	-11.1299692400349
S15:bglu28bglu30	0.141703647179319	G03	bc	-1.98683399838239
S0:wt	0.00570980852797146	G03	a	-6.62012471184805
S0:bglu28bglu30	0.13198246702494	G03	bc	-2.08936459924464
S1500:wt	0.405978559490847	G04	d	0
S1500:bglu28bglu30	0.453220255204094	G04	d	0.158808801237913
S150:wt	0.19281762406909	G04	c	-1.07416661397155
S150:bglu28bglu30	0.240218450772635	G04	c	-0.757056571656585
S15:wt	0.00025062423604504	G04	a	-10.6616618886436
S15:bglu28bglu30	0.0566033294623762	G04	b	-2.84244471654226
S0:wt	0.000578516784853985	G04	a	-9.45482900486704
S0:bglu28bglu30	0.0449989197599825	G04	b	-3.17344126415694
S1500:wt	0.938491978775496	G05	d	0
