sulfur,genotype,pot,sample,batch,cpd,value
S1500,wt,1,1,1,G01,7.369767269
S1500,wt,1,2,1,G01,5.877444569
S1500,wt,1,3,1,G01,4.872820082
S1500,wt,1,4,1,G01,6.023516826
S1500,wt,1,5,1,G01,5.506091584
S1500,wt,1,6,1,G01,6.586952024
S1500,wt,2,1,1,G01,6.293712288
S1500,wt,2,2,1,G01,4.417175018
S1500,wt,2,3,1,G01,5.184937362
S1500,wt,2,4,1,G01,5.144872742
S1500,wt,2,5,1,G01,5.587211337
S1500,wt,2,6,1,G01,5.222715353
S1500,bglu28bglu30,1,1,1,G01,6.174382626
S1500,bglu28bglu30,1,2,1,G01,4.363983246
S1500,bglu28bglu30,1,3,1,G01,6.352035268
S1500,bglu28bglu30,1,4,1,G01,4.80558605
S1500,bglu28bglu30,1,5,1,G01,6.557704356
S1500,bglu28bglu30,1,6,1,G01,5.113105973
S1500,bglu28bglu30,2,1,1,G01,5.162941094
S1500,bglu28bglu30,2,2,1,G01,4.4563022
S1500,bglu28bglu30,2,3,1,G01,4.900783044
S1500,bglu28bglu30,2,4,1,G01,3.966608747
S1500,bglu28bglu30,2,5,1,G01,5.172349173
S1500,bglu28bglu30,2,6,1,G01,5.520664178
S30,wt,1,1,1,G01,2.413726954
S30,wt,1,2,1,G01,2.628670276
S30,wt,1,3,1,G01,2.094008476
S30,wt,1,4,1,G01,2.012788113
S30,wt,1,5,1,G01,2.300818152
S30,wt,1,6,1,G01,2.623073652
S30,wt,2,1,1,G01,2.345460289
S30,wt,2,2,1,G01,2.808088935
S30,wt,2,3,1,G01,2.158483906
S30,wt,2,4,1,G01,2.129740158
S30,wt,2,5,1,G01,2.870769082
S30,wt,2,6,1,G01,2.124910316
S30,bglu28bglu30,1,1,1,G01,2.045397686
S30,bglu28bglu30,1,2,1,G01,3.453352793
S30,bglu28bglu30,1,3,1,G01,3.416141999
S30,bglu28bglu30,1,4,1,G01,2.266855409
S30,bglu28bglu30,1,5,1,G01,2.347184672
S30,bglu28bglu30,1,6,1,G01,2.71250653
S30,bglu28bglu30,2,1,1,G01,2.127090851
