sulfur,genotype,cpd,batch,value
S1500,wt,4MSB-NH2,1,0.346530908
S1500,wt,4MSB-NH2,2,0.353931345
S1500,wt,4MSB-NH2,3,0.394394465
S1500,wt,4MSB-NH2,4,0.385893913
S1500,wt,4MSB-NH2,5,0.252989044
S150,wt,4MSB-NH2,1,0.173348574
S150,wt,4MSB-NH2,2,0.141572666
S150,wt,4MSB-NH2,3,0.137769127
S150,wt,4MSB-NH2,4,0.491035283
S150,wt,4MSB-NH2,5,0.19502001
S15,wt,4MSB-NH2,1,0.029931269
S15,wt,4MSB-NH2,2,0.025774876
S15,wt,4MSB-NH2,3,0.025273293
S15,wt,4MSB-NH2,4,0.028862812
S15,wt,4MSB-NH2,5,0.025560627
S0,wt,4MSB-NH2,1,0.026619374
S0,wt,4MSB-NH2,2,0.025290084
S0,wt,4MSB-NH2,4,0.041021252
S0,wt,4MSB-NH2,5,0.054785708
4MSB,wt,4MSB-NH2,1,10.86478071
4MSB,wt,4MSB-NH2,2,10.34022837
4MSB,wt,4MSB-NH2,3,10.2135521
4MSB,wt,4MSB-NH2,4,11.83948783
4MSB,wt,4MSB-NH2,5,12.08101991
S1500,wt,5MSP-NH2,1,0.236755345
S1500,wt,5MSP-NH2,2,0.234720063
S1500,wt,5MSP-NH2,3,0.197845581
S1500,wt,5MSP-NH2,4,0.214310587
S1500,wt,5MSP-NH2,5,0.22090469
S150,wt,5MSP-NH2,1,0.164953813
S150,wt,5MSP-NH2,2,0.136354598
S150,wt,5MSP-NH2,3,0.165740617
S150,wt,5MSP-NH2,4,0.135780076
S150,wt,5MSP-NH2,5,0.158856292
S15,wt,5MSP-NH2,1,0.135976911
S15,wt,5MSP-NH2,2,0.129244372
S15,wt,5MSP-NH2,3,0.101623853
S15,wt,5MSP-NH2,4,0.128452999
S15,wt,5MSP-NH2,5,0.100681505
S0,wt,5MSP-NH2,1,0.085698881
S0,wt,5MSP-NH2,2,0.051038129
S0,wt,5MSP-NH2,4,0.07721092
S0,wt,5MSP-NH2,5,0.107520278
4MSB,wt,5MSP-NH2,1,0.166438063
4MSB,wt,5MSP-NH2,2,0.163592716
4MSB,wt,5MSP-NH2,3,0.172847015
4MSB,wt,5MSP-NH2,4,0.175331368
4MSB,wt,5MSP-NH2,5,0.176263353
