time,genotype,cpd,batch,value
00h,wt,4MSB-NH2,1,0.494366161
00h,wt,4MSB-NH2,1,0.420549341
00h,wt,4MSB-NH2,2,0.539443665
00h,wt,4MSB-NH2,2,0.479486704
00h,wt,4MSB-NH2,3,0.55269467
00h,wt,4MSB-NH2,3,0.491611439
09h,wt,4MSB-NH2,1,4.570158235
09h,wt,4MSB-NH2,2,4.676077318
09h,wt,4MSB-NH2,3,4.540980996
24h,wt,4MSB-NH2,1,6.660287364
24h,wt,4MSB-NH2,2,9.535977925
24h,wt,4MSB-NH2,3,7.647528858
48h,wt,4MSB-NH2,1,7.241119471
48h,wt,4MSB-NH2,2,7.989908087
48h,wt,4MSB-NH2,3,7.100921104
00h,wt,5MSP-NH2,1,0.246241462
00h,wt,5MSP-NH2,1,0.340122673
00h,wt,5MSP-NH2,2,0.371070039
00h,wt,5MSP-NH2,2,0.256519264
00h,wt,5MSP-NH2,3,0.318839523
00h,wt,5MSP-NH2,3,0.368542136
09h,wt,5MSP-NH2,1,0.301104958
09h,wt,5MSP-NH2,2,0.292140071
09h,wt,5MSP-NH2,3,0.245553598
24h,wt,5MSP-NH2,1,0.268806604
24h,wt,5MSP-NH2,2,0.248514762
24h,wt,5MSP-NH2,3,0.2332228
48h,wt,5MSP-NH2,1,0.366698147
48h,wt,5MSP-NH2,2,0.276143957
48h,wt,5MSP-NH2,3,0.329753262
