sulfur,genotype,cpd,isotope,batch,value
S1500,wt,GSH,0,1,59.74060669
S1500,wt,GSH,0,2,43.62965078
S1500,wt,GSH,0,3,56.38598636
S1500,wt,GSH,0,4,50.0031216
S1500,wt,GSH,0,5,66.54759108
S150,wt,GSH,0,1,27.69551798
S150,wt,GSH,0,2,13.15063084
S150,wt,GSH,0,3,20.25043677
S150,wt,GSH,0,4,23.23188502
S150,wt,GSH,0,5,14.66685429
S15,wt,GSH,0,1,0.100278958
S15,wt,GSH,0,2,0.151859034
S15,wt,GSH,0,3,0.095188373
S15,wt,GSH,0,4,0.186852768
S15,wt,GSH,0,5,0.192441915
S0,wt,GSH,0,1,0.206335531
S0,wt,GSH,0,2,0.111709159
S0,wt,GSH,0,3,0.37109014
S0,wt,GSH,0,4,0.123184924
S0,wt,GSH,0,5,0.118314566
4MSB,wt,GSH,0,1,16.65068065
4MSB,wt,GSH,0,2,21.98839656
4MSB,wt,GSH,0,3,14.15966669
4MSB,wt,GSH,0,4,13.0739292
4MSB,wt,GSH,0,5,13.31356281
S1500,wt,Met,0,1,0.511315992
S1500,wt,Met,0,2,0.46504509
S1500,wt,Met,0,3,0.429873988
S1500,wt,Met,0,4,0.474260591
S1500,wt,Met,0,5,0.498242453
S150,wt,Met,0,1,0.33527806
S150,wt,Met,0,2,0.234271537
S150,wt,Met,0,3,0.276377405
S150,wt,Met,0,4,0.274538891
S150,wt,Met,0,5,0.261435148
S15,wt,Met,0,1,0.327460812
S15,wt,Met,0,2,0.32625808
S15,wt,Met,0,3,0.233148412
S15,wt,Met,0,4,0.342334346
S15,wt,Met,0,5,0.282701897
S0,wt,Met,0,1,0.247098678
S0,wt,Met,0,2,0.194811387
S0,wt,Met,0,3,0.185492916
S0,wt,Met,0,4,0.112483407
S0,wt,Met,0,5,0.176949021
4MSB,wt,Met,0,1,0.35888989
4MSB,wt,Met,0,2,0.315297045
4MSB,wt,Met,0,3,0.336992917
4MSB,wt,Met,0,4,0.28162835
4MSB,wt,Met,0,5,0.327836828
