sulfur,genotype,cpd,batch,value
S1500,wt,4MSB,1,10.13464432
S1500,wt,4MSB,2,9.870498282
S1500,wt,4MSB,3,9.908351998
S1500,wt,4MSB,4,9.689711564
S150,wt,4MSB,1,10.37450567
S150,wt,4MSB,2,8.021310679
S150,wt,4MSB,3,4.499314146
S150,wt,4MSB,4,5.264212846
4MSB,wt,4MSB,1,10.47336302
4MSB,wt,4MSB,2,6.76499267
4MSB,wt,4MSB,3,4.894790155
4MSB,wt,4MSB,4,10.44263335
4MSB-34S,wt,4MSB,1,72.47235387
4MSB-34S,wt,4MSB,2,77.46402094
4MSB-34S,wt,4MSB,3,78.98961697
4MSB-34S,wt,4MSB,4,76.53309557
S1500,wt,4MTB,1,9.141325128
S1500,wt,4MTB,2,9.377406087
S1500,wt,4MTB,3,9.210502141
S1500,wt,4MTB,4,9.324418679
S150,wt,4MTB,1,7.688787191
S150,wt,4MTB,2,9.212200104
S150,wt,4MTB,3,11.82715312
S150,wt,4MTB,4,11.17248754
4MSB,wt,4MTB,1,9.763746606
4MSB,wt,4MTB,2,6.837916066
4MSB,wt,4MTB,3,11.86237029
4MSB,wt,4MTB,4,9.776225998
4MSB-34S,wt,4MTB,1,67.04406365
4MSB-34S,wt,4MTB,2,64.41628076
4MSB-34S,wt,4MTB,3,57.16932196
4MSB-34S,wt,4MTB,4,59.81775059
S1500,wt,4OBzB,1,8.037135276
S1500,wt,4OBzB,2,7.741051863
S1500,wt,4OBzB,3,6.903559649
S1500,wt,4OBzB,4,7.455601809
S150,wt,4OBzB,1,8.000000001
S150,wt,4OBzB,2,7.065644653
S150,wt,4OBzB,3,7.375926712
S150,wt,4OBzB,4,7.395442994
4MSB,wt,4OBzB,1,6.390246774
4MSB,wt,4OBzB,2,7.761142661
4MSB,wt,4OBzB,3,9.432197727
4MSB,wt,4OBzB,4,7.448107447
4MSB-34S,wt,4OBzB,1,8.229864135
4MSB-34S,wt,4OBzB,2,6.533745203
4MSB-34S,wt,4OBzB,3,7.164948454
4MSB-34S,wt,4OBzB,4,8.538921462
S1500,wt,4OHB,1,5.086595837
S1500,wt,4OHB,2,4.693471946
S1500,wt,4OHB,3,3.313301932
S1500,wt,4OHB,4,5.513296417
S150,wt,4OHB,1,1.592356693
S150,wt,4OHB,2,7.629472309
S150,wt,4OHB,3,1.102535835
S150,wt,4OHB,4,0.807102497
4MSB,wt,4OHB,1,1.353179974
4MSB,wt,4OHB,2,7.142857129
4MSB,wt,4OHB,3,13.1498471
4MSB,wt,4OHB,4,2.85338016
4MSB-34S,wt,4OHB,1,15.25904897
4MSB-34S,wt,4OHB,2,2.824858762
4MSB-34S,wt,4OHB,3,4.901960785
4MSB-34S,wt,4OHB,4,2.070393381
