time,genotype,treatment,cpd,batch,value
00h,wt,4MSB,4MSB,1,22.19935725
00h,wt,4MSB,4MSB,2,11.19109541
00h,wt,4MSB,4MSB,3,23.80268305
00h,wt,4MSB,4MSB,4,24.34700192
03h,wt,4MSB,4MSB,1,14.90599285
03h,wt,4MSB,4MSB,2,13.49821082
03h,wt,4MSB,4MSB,3,14.15810981
03h,wt,4MSB,4MSB,4,20.6367758
09h,wt,4MSB,4MSB,1,7.06850775
09h,wt,4MSB,4MSB,2,6.165627987
09h,wt,4MSB,4MSB,3,2.718700865
09h,wt,4MSB,4MSB,4,8.897985609
24h,wt,4MSB,4MSB,1,0.524019765
24h,wt,4MSB,4MSB,2,0.291741648
24h,wt,4MSB,4MSB,3,0.021548561
24h,wt,4MSB,4MSB,4,1.002958822
33h,wt,4MSB,4MSB,1,0.063235894
33h,wt,4MSB,4MSB,3,0.012025292
33h,wt,4MSB,4MSB,4,0.214111162
48h,wt,4MSB,4MSB,1,0.025823789
48h,wt,4MSB,4MSB,2,0.009512571
48h,wt,4MSB,4MSB,3,0.00043647
48h,wt,4MSB,4MSB,4,0.005405663
00h,pad2,4MSB,4MSB,1,18.52647386
00h,pad2,4MSB,4MSB,2,22.03356501
00h,pad2,4MSB,4MSB,3,26.14535279
00h,pad2,4MSB,4MSB,4,23.1564319
03h,pad2,4MSB,4MSB,1,15.04768273
03h,pad2,4MSB,4MSB,2,17.40845357
03h,pad2,4MSB,4MSB,3,19.04020975
03h,pad2,4MSB,4MSB,4,16.30795298
09h,pad2,4MSB,4MSB,1,10.93471878
09h,pad2,4MSB,4MSB,2,11.38439199
09h,pad2,4MSB,4MSB,3,6.993051115
09h,pad2,4MSB,4MSB,4,6.296791992
24h,pad2,4MSB,4MSB,1,4.495611533
24h,pad2,4MSB,4MSB,2,2.606178886
24h,pad2,4MSB,4MSB,3,0.458716591
24h,pad2,4MSB,4MSB,4,0.429645676
33h,pad2,4MSB,4MSB,1,3.073831611
33h,pad2,4MSB,4MSB,3,0.009841392
33h,pad2,4MSB,4MSB,4,0.051422944
48h,pad2,4MSB,4MSB,1,1.048739981
48h,pad2,4MSB,4MSB,2,0.095626575
48h,pad2,4MSB,4MSB,3,0.003743157
48h,pad2,4MSB,4MSB,4,0.004017794
00h,wt,BSO_4MSB,4MSB,1,19.26889955
00h,wt,BSO_4MSB,4MSB,2,21.09821424
00h,wt,BSO_4MSB,4MSB,3,25.09840637
00h,wt,BSO_4MSB,4MSB,4,26.5769407
03h,wt,BSO_4MSB,4MSB,1,16.01624045
03h,wt,BSO_4MSB,4MSB,2,14.54722516
03h,wt,BSO_4MSB,4MSB,3,16.53498256
03h,wt,BSO_4MSB,4MSB,4,17.13865438
09h,wt,BSO_4MSB,4MSB,1,6.232761455
09h,wt,BSO_4MSB,4MSB,2,6.486429068
09h,wt,BSO_4MSB,4MSB,3,4.717866359
09h,wt,BSO_4MSB,4MSB,4,5.850641093
24h,wt,BSO_4MSB,4MSB,1,0.668029883
24h,wt,BSO_4MSB,4MSB,2,0.72599942
24h,wt,BSO_4MSB,4MSB,3,0.132562519
24h,wt,BSO_4MSB,4MSB,4,0.231007616
33h,wt,BSO_4MSB,4MSB,1,0.536762773
33h,wt,BSO_4MSB,4MSB,3,0.001887452
33h,wt,BSO_4MSB,4MSB,4,0.042333076
48h,wt,BSO_4MSB,4MSB,1,0.43227884
48h,wt,BSO_4MSB,4MSB,2,0.013877839
48h,wt,BSO_4MSB,4MSB,3,0.002766939
48h,wt,BSO_4MSB,4MSB,4,0.000401906
00h,wt,4MSB,SFN,1,0.110525234
00h,wt,4MSB,SFN,2,0.033871442
00h,wt,4MSB,SFN,3,0.943518427
00h,wt,4MSB,SFN,4,0.116097253
03h,wt,4MSB,SFN,1,7.105107068
03h,wt,4MSB,SFN,2,6.149961949
03h,wt,4MSB,SFN,3,11.74076798
03h,wt,4MSB,SFN,4,7.688681369
09h,wt,4MSB,SFN,1,11.41111952
09h,wt,4MSB,SFN,2,8.673658712
09h,wt,4MSB,SFN,3,11.63005051
09h,wt,4MSB,SFN,4,13.98836793
24h,wt,4MSB,SFN,1,3.492317321
24h,wt,4MSB,SFN,2,1.367781305
24h,wt,4MSB,SFN,3,0.365803048
24h,wt,4MSB,SFN,4,8.680550019
33h,wt,4MSB,SFN,1,0.554434572
33h,wt,4MSB,SFN,3,0.053790396
33h,wt,4MSB,SFN,4,4.643672072
48h,wt,4MSB,SFN,1,0.339182671
48h,wt,4MSB,SFN,2,0.146224531
48h,wt,4MSB,SFN,3,0.023962313
48h,wt,4MSB,SFN,4,0.743781931
00h,pad2,4MSB,SFN,1,0.047708256
00h,pad2,4MSB,SFN,2,0.052226807
00h,pad2,4MSB,SFN,3,0.333689723
00h,pad2,4MSB,SFN,4,0.627034053
03h,pad2,4MSB,SFN,1,4.651383538
03h,pad2,4MSB,SFN,2,4.882984451
03h,pad2,4MSB,SFN,3,9.866108832
03h,pad2,4MSB,SFN,4,9.19056865
09h,pad2,4MSB,SFN,1,8.011912797
09h,pad2,4MSB,SFN,2,10.50908993
09h,pad2,4MSB,SFN,3,17.25731867
09h,pad2,4MSB,SFN,4,17.13227832
24h,pad2,4MSB,SFN,1,6.953880638
24h,pad2,4MSB,SFN,2,12.86171436
24h,pad2,4MSB,SFN,3,15.84012074
24h,pad2,4MSB,SFN,4,17.27334318
33h,pad2,4MSB,SFN,1,4.671760532
33h,pad2,4MSB,SFN,3,11.39503032
33h,pad2,4MSB,SFN,4,12.88397408
48h,pad2,4MSB,SFN,1,1.81119931
48h,pad2,4MSB,SFN,2,3.318657051
48h,pad2,4MSB,SFN,3,5.291115864
48h,pad2,4MSB,SFN,4,6.000476727
00h,wt,BSO_4MSB,SFN,1,0.141239659
00h,wt,BSO_4MSB,SFN,2,0.277881759
00h,wt,BSO_4MSB,SFN,3,0.346640883
00h,wt,BSO_4MSB,SFN,4,0.316949696
03h,wt,BSO_4MSB,SFN,1,8.778159693
03h,wt,BSO_4MSB,SFN,2,7.957059795
03h,wt,BSO_4MSB,SFN,3,12.68294929
03h,wt,BSO_4MSB,SFN,4,12.28578881
09h,wt,BSO_4MSB,SFN,1,17.26745158
09h,wt,BSO_4MSB,SFN,2,17.14766036
09h,wt,BSO_4MSB,SFN,3,24.20312927
09h,wt,BSO_4MSB,SFN,4,22.74184891
24h,wt,BSO_4MSB,SFN,1,16.8336684
24h,wt,BSO_4MSB,SFN,2,13.001812
24h,wt,BSO_4MSB,SFN,3,18.99468131
24h,wt,BSO_4MSB,SFN,4,21.34375142
33h,wt,BSO_4MSB,SFN,1,10.51994676
33h,wt,BSO_4MSB,SFN,3,15.150936
33h,wt,BSO_4MSB,SFN,4,16.61497562
48h,wt,BSO_4MSB,SFN,1,6.276590695
48h,wt,BSO_4MSB,SFN,2,1.477024037
48h,wt,BSO_4MSB,SFN,3,6.439650444
48h,wt,BSO_4MSB,SFN,4,10.85368086
