time,genotype,treatment,cpd,batch,value
00h,wt,4MSB,4MSB,1,1.569608723
00h,wt,4MSB,4MSB,2,1.075737988
00h,wt,4MSB,4MSB,3,2.201126835
00h,wt,4MSB,4MSB,4,1.783210807
09h,wt,4MSB,4MSB,1,2.162448403
09h,wt,4MSB,4MSB,2,2.255769132
09h,wt,4MSB,4MSB,3,4.545498428
09h,wt,4MSB,4MSB,4,2.990975135
24h,wt,4MSB,4MSB,1,1.720129888
24h,wt,4MSB,4MSB,2,1.646071966
24h,wt,4MSB,4MSB,3,2.526937462
24h,wt,4MSB,4MSB,4,2.894642665
48h,wt,4MSB,4MSB,1,1.431144134
48h,wt,4MSB,4MSB,2,1.301793067
48h,wt,4MSB,4MSB,3,1.846171895
48h,wt,4MSB,4MSB,4,1.768096082
00h,pad2,4MSB,4MSB,1,0.982344558
00h,pad2,4MSB,4MSB,2,1.257570917
00h,pad2,4MSB,4MSB,3,2.337989037
00h,pad2,4MSB,4MSB,4,1.925802324
09h,pad2,4MSB,4MSB,1,1.629571306
09h,pad2,4MSB,4MSB,2,1.567337299
09h,pad2,4MSB,4MSB,3,3.823336822
09h,pad2,4MSB,4MSB,4,3.156328201
24h,pad2,4MSB,4MSB,1,2.18093875
24h,pad2,4MSB,4MSB,2,1.165647382
24h,pad2,4MSB,4MSB,3,3.337885893
24h,pad2,4MSB,4MSB,4,2.492535814
48h,pad2,4MSB,4MSB,1,1.460489912
48h,pad2,4MSB,4MSB,2,1.763971798
48h,pad2,4MSB,4MSB,3,2.302942613
48h,pad2,4MSB,4MSB,4,1.696944501
00h,wt,BSO_4MSB,4MSB,1,1.036308061
00h,wt,BSO_4MSB,4MSB,2,1.099273561
00h,wt,BSO_4MSB,4MSB,3,2.442503052
00h,wt,BSO_4MSB,4MSB,4,1.964818737
09h,wt,BSO_4MSB,4MSB,1,1.561275675
09h,wt,BSO_4MSB,4MSB,2,1.791213644
09h,wt,BSO_4MSB,4MSB,3,2.879165237
09h,wt,BSO_4MSB,4MSB,4,3.081945722
24h,wt,BSO_4MSB,4MSB,1,1.098196867
24h,wt,BSO_4MSB,4MSB,2,1.401315969
24h,wt,BSO_4MSB,4MSB,3,2.710899366
24h,wt,BSO_4MSB,4MSB,4,2.185529907
48h,wt,BSO_4MSB,4MSB,1,1.11229304
48h,wt,BSO_4MSB,4MSB,2,0.969922722
48h,wt,BSO_4MSB,4MSB,3,2.161800146
48h,wt,BSO_4MSB,4MSB,4,1.587100363
00h,wt,4MSB,4MSB-NH2,1,0.044884014
00h,wt,4MSB,4MSB-NH2,2,0.055721116
00h,wt,4MSB,4MSB-NH2,3,0.166905476
00h,wt,4MSB,4MSB-NH2,4,0.069186002
09h,wt,4MSB,4MSB-NH2,1,1.603432974
09h,wt,4MSB,4MSB-NH2,2,0.65804041
09h,wt,4MSB,4MSB-NH2,3,2.34260776
09h,wt,4MSB,4MSB-NH2,4,1.623079465
24h,wt,4MSB,4MSB-NH2,1,2.39680915
24h,wt,4MSB,4MSB-NH2,2,2.426273986
24h,wt,4MSB,4MSB-NH2,3,3.605845839
24h,wt,4MSB,4MSB-NH2,4,2.48393486
48h,wt,4MSB,4MSB-NH2,1,2.659858522
48h,wt,4MSB,4MSB-NH2,2,3.23930522
48h,wt,4MSB,4MSB-NH2,3,2.641086108
48h,wt,4MSB,4MSB-NH2,4,2.886772356
00h,pad2,4MSB,4MSB-NH2,1,0.049392356
00h,pad2,4MSB,4MSB-NH2,2,0.056443754
00h,pad2,4MSB,4MSB-NH2,3,0.162343267
00h,pad2,4MSB,4MSB-NH2,4,0.135538629
09h,pad2,4MSB,4MSB-NH2,1,0.495388853
09h,pad2,4MSB,4MSB-NH2,2,0.309235905
09h,pad2,4MSB,4MSB-NH2,3,0.984898232
09h,pad2,4MSB,4MSB-NH2,4,0.857621101
24h,pad2,4MSB,4MSB-NH2,1,1.450124605
