sulfur,genotype,cpd,isotope,batch,value
S1500,wt,RA,0_0,1,0.901747809
S1500,wt,RA,0_0,2,0.757572109
S1500,wt,RA,0_0,3,1.33837155
S1500,wt,RA,0_0,4,1.205340772
S1500,wt,RA,2_0,1,0.030127362
S1500,wt,RA,2_0,2,0.018823246
S1500,wt,RA,2_0,3,0.070996955
S1500,wt,RA,2_0,4,0.069279311
S1500,wt,RA,2_2,1,0.033702426
S1500,wt,RA,2_2,2,0.030328571
S1500,wt,RA,2_2,3,0.054528755
S1500,wt,RA,2_2,4,0.032013138
S1500,wt,RA,4_2,1,0.000124134
S1500,wt,RA,4_2,2,0.002140525
S1500,wt,RA,4_2,3,0.001998099
S1500,wt,RA,4_2,4,0.002767123
S150,wt,RA,0_0,1,0.053898888
S150,wt,RA,0_0,2,0.155337335
S150,wt,RA,0_0,3,0.133556238
S150,wt,RA,0_0,4,0.100451848
S150,wt,RA,2_0,1,0.013941038
S150,wt,RA,2_0,2,0.009183756
S150,wt,RA,2_0,3,0.017935938
S150,wt,RA,2_0,4,0.014049996
S150,wt,RA,2_2,1,0.006395194
S150,wt,RA,2_2,2,0.005389963
S150,wt,RA,2_2,3,0.00292096
S150,wt,RA,2_2,4,0.002281719
S150,wt,RA,4_2,1,0.003548848
S150,wt,RA,4_2,2,0.001445805
S150,wt,RA,4_2,3,0.000882503
S150,wt,RA,4_2,4,0.0001124
4MSB-34S,wt,RA,0_0,1,0.219982378
4MSB-34S,wt,RA,0_0,2,0.173940233
4MSB-34S,wt,RA,0_0,3,0.109577273
4MSB-34S,wt,RA,0_0,4,0.12901839
4MSB-34S,wt,RA,2_0,1,0.396937495
4MSB-34S,wt,RA,2_0,2,0.25175325
4MSB-34S,wt,RA,2_0,3,0.203512582
4MSB-34S,wt,RA,2_0,4,0.198083377
4MSB-34S,wt,RA,2_2,1,3.734160147
4MSB-34S,wt,RA,2_2,2,3.230744033
4MSB-34S,wt,RA,2_2,3,2.503120041
4MSB-34S,wt,RA,2_2,4,1.938826173
4MSB-34S,wt,RA,4_2,1,2.750046725
4MSB-34S,wt,RA,4_2,2,2.183782255
4MSB-34S,wt,RA,4_2,3,1.766372758
4MSB-34S,wt,RA,4_2,4,1.321776274
4MSB,wt,RA,0_0,1,5.818521468
4MSB,wt,RA,0_0,2,3.909855004
4MSB,wt,RA,0_0,3,2.905513729
4MSB,wt,RA,0_0,4,11.6189823
4MSB,wt,RA,2_0,1,0.279169474
4MSB,wt,RA,2_0,2,0.157922344
4MSB,wt,RA,2_0,3,0.115844425
4MSB,wt,RA,2_0,4,0.62913015
4MSB,wt,RA,2_2,1,0.282691248
4MSB,wt,RA,2_2,2,0.197587141
4MSB,wt,RA,2_2,3,0.124908669
4MSB,wt,RA,2_2,4,0.578172416
4MSB,wt,RA,4_2,1,0.012540577
4MSB,wt,RA,4_2,2,0.007380949
4MSB,wt,RA,4_2,3,0.007730021
4MSB,wt,RA,4_2,4,0.021813017
S1500,wt,SFN-Cys,0_0,1,0.013605104
S1500,wt,SFN-Cys,0_0,2,0.009164125
S1500,wt,SFN-Cys,0_0,3,0.037093733
S1500,wt,SFN-Cys,0_0,4,0.021079628
S1500,wt,SFN-Cys,2_0,1,0.014573351
S1500,wt,SFN-Cys,2_0,2,0.025646171
S1500,wt,SFN-Cys,2_0,3,0.021060604
S1500,wt,SFN-Cys,2_0,4,0.023846751
S1500,wt,SFN-Cys,2_2,1,0.002569577
S1500,wt,SFN-Cys,2_2,2,0.006916573
S1500,wt,SFN-Cys,2_2,3,0.00544643
S1500,wt,SFN-Cys,2_2,4,0.000112485
S1500,wt,SFN-Cys,4_2,1,0.008801112
S1500,wt,SFN-Cys,4_2,2,0.00553861
S1500,wt,SFN-Cys,4_2,3,0.00662273
S1500,wt,SFN-Cys,4_2,4,0.01255329
S150,wt,SFN-Cys,0_0,1,0.004711611
S150,wt,SFN-Cys,0_0,2,0.002845345
S150,wt,SFN-Cys,0_0,3,0.000124296
S150,wt,SFN-Cys,0_0,4,0.0001124
S150,wt,SFN-Cys,2_0,1,0.015987985
S150,wt,SFN-Cys,2_0,2,0.013289844
S150,wt,SFN-Cys,2_0,3,0.013796875
S150,wt,SFN-Cys,2_0,4,0.005709918
S150,wt,SFN-Cys,2_2,1,0.000121121
S150,wt,SFN-Cys,2_2,2,0.002000995
S150,wt,SFN-Cys,2_2,3,0.00325656
S150,wt,SFN-Cys,2_2,4,0.00070812
S150,wt,SFN-Cys,4_2,1,0.003064364
S150,wt,SFN-Cys,4_2,2,0.003203905
S150,wt,SFN-Cys,4_2,3,0.00714703
S150,wt,SFN-Cys,4_2,4,0.005395198
4MSB-34S,wt,SFN-Cys,0_0,1,0.017421835
4MSB-34S,wt,SFN-Cys,0_0,2,0.017927071
4MSB-34S,wt,SFN-Cys,0_0,3,0.018457757
4MSB-34S,wt,SFN-Cys,0_0,4,0.013979419
4MSB-34S,wt,SFN-Cys,2_0,1,0.03874189
