sulfur,genotype,cpd,isotope,batch,value
S1500,wt,RA,0_0,1,1.163648637
S1500,wt,RA,0_0,2,0.940269169
S1500,wt,RA,0_0,3,1.540593465
S1500,wt,RA,0_0,4,1.295748218
S1500,wt,RA,2_0,1,0.067857449
S1500,wt,RA,2_0,2,0.062190975
S1500,wt,RA,2_0,3,0.042451617
S1500,wt,RA,2_0,4,0.058249312
S1500,wt,RA,2_2,1,0.051270787
S1500,wt,RA,2_2,2,0.049287282
S1500,wt,RA,2_2,3,0.073611389
S1500,wt,RA,2_2,4,0.062712079
S1500,wt,RA,4_2,1,0.006857535
S1500,wt,RA,4_2,2,0.003738453
S1500,wt,RA,4_2,3,0.005374346
S1500,wt,RA,4_2,4,0.004997521
S1500,qko,RA,0_0,1,0.010205347
S1500,qko,RA,0_0,2,9.68E-05
S1500,qko,RA,0_0,3,0.000112779
S1500,qko,RA,0_0,4,0.008276705
S1500,qko,RA,2_0,1,9.54E-05
S1500,qko,RA,2_0,2,9.68E-05
S1500,qko,RA,2_0,3,0.000112779
S1500,qko,RA,2_0,4,0.007551587
S1500,qko,RA,2_2,1,0.01289498
S1500,qko,RA,2_2,2,0.003047837
S1500,qko,RA,2_2,3,0.004105155
S1500,qko,RA,2_2,4,0.007644816
S1500,qko,RA,4_2,1,0.004845155
S1500,qko,RA,4_2,2,0.003009134
S1500,qko,RA,4_2,3,0.001432293
S1500,qko,RA,4_2,4,0.002972984
S150,wt,RA,0_0,1,0.059592351
S150,wt,RA,0_0,2,0.215360342
S150,wt,RA,0_0,3,0.186206754
S150,wt,RA,0_0,4,0.142690418
S150,wt,RA,2_0,1,0.000105064
S150,wt,RA,2_0,2,0.000101792
S150,wt,RA,2_0,3,0.018580507
S150,wt,RA,2_0,4,0.000102375
S150,wt,RA,2_2,1,0.005431813
S150,wt,RA,2_2,2,0.012153909
S150,wt,RA,2_2,3,0.003975652
S150,wt,RA,2_2,4,0.004207617
S150,wt,RA,4_2,1,0.005011557
S150,wt,RA,4_2,2,0.003501629
S150,wt,RA,4_2,3,0.00321348
S150,wt,RA,4_2,4,0.002313677
S150,qko,RA,0_0,1,0.006013154
S150,qko,RA,0_0,2,0.000109098
S150,qko,RA,0_0,3,0.004361452
S150,qko,RA,0_0,4,0.004778984
S150,qko,RA,2_0,1,0.022168571
S150,qko,RA,2_0,2,0.000109098
S150,qko,RA,2_0,3,9.98E-05
S150,qko,RA,2_0,4,0.023576985
S150,qko,RA,2_2,1,0.003734248
S150,qko,RA,2_2,2,0.002116494
S150,qko,RA,2_2,3,9.98E-05
S150,qko,RA,2_2,4,0.005414858
S150,qko,RA,4_2,1,0.002166089
S150,qko,RA,4_2,2,0.004156621
S150,qko,RA,4_2,3,0.002006068
S150,qko,RA,4_2,4,0.003109817
