sulfur,genotype,compound,batch,value
allyl,wt,4MTB-NH2,1,0.008281974
allyl,wt,4MTB-NH2,2,0.01467566
allyl,wt,4MTB-NH2,3,0.007335791
allyl,wt,4MTB-NH2,4,0.008707584
allyl,wt,4MTB-NH2,5,0.020224471
allyl,wt,4MTB-NH2,6,0.028431086
4MTB,wt,4MTB-NH2,1,3.389649783
4MTB,wt,4MTB-NH2,2,6.922047218
4MTB,wt,4MTB-NH2,3,7.467758225
4MTB,wt,4MTB-NH2,4,5.435367197
4MTB,wt,4MTB-NH2,5,9.147491184
4MTB,wt,4MTB-NH2,6,6.396584623
PhE,wt,4MTB-NH2,1,0.086469356
PhE,wt,4MTB-NH2,2,0.120357717
PhE,wt,4MTB-NH2,3,0.082994358
PhE,wt,4MTB-NH2,4,0.107900247
PhE,wt,4MTB-NH2,5,0.107043256
PhE,wt,4MTB-NH2,6,0.115670437
I3G,wt,4MTB-NH2,1,0.016509999
I3G,wt,4MTB-NH2,2,0.01646208
I3G,wt,4MTB-NH2,3,0.009555287
I3G,wt,4MTB-NH2,4,0.013932415
I3G,wt,4MTB-NH2,5,0.00551361
I3G,wt,4MTB-NH2,6,0.01061284
S150,wt,4MTB-NH2,1,7.29366E-05
S150,wt,4MTB-NH2,2,0.0034027
S150,wt,4MTB-NH2,3,0.003419227
S150,wt,4MTB-NH2,4,0.006015251
S150,wt,4MTB-NH2,5,7.23233E-05
S150,wt,4MTB-NH2,6,8.06982E-05
S0,wt,4MTB-NH2,1,0.004064721
S0,wt,4MTB-NH2,2,0.003096903
S0,wt,4MTB-NH2,3,7.05823E-05
S0,wt,4MTB-NH2,4,0.002471517
S0,wt,4MTB-NH2,5,0.006456931
S0,wt,4MTB-NH2,6,0.002675021
allyl,wt,PhE-NH2,1,0.192143394
allyl,wt,PhE-NH2,2,0.446568113
allyl,wt,PhE-NH2,3,0.257795817
allyl,wt,PhE-NH2,4,0.508228259
allyl,wt,PhE-NH2,5,0.2048183
allyl,wt,PhE-NH2,6,0.319888384
4MTB,wt,PhE-NH2,1,1.370186729
4MTB,wt,PhE-NH2,2,1.64646073
4MTB,wt,PhE-NH2,3,1.226766251
4MTB,wt,PhE-NH2,4,1.828881107
4MTB,wt,PhE-NH2,5,1.47616333
4MTB,wt,PhE-NH2,6,0.962224436
PhE,wt,PhE-NH2,1,62.21444487
PhE,wt,PhE-NH2,2,56.47344688
PhE,wt,PhE-NH2,3,63.55639402
PhE,wt,PhE-NH2,4,57.56701253
PhE,wt,PhE-NH2,5,68.37217339
PhE,wt,PhE-NH2,6,68.93691966
I3G,wt,PhE-NH2,1,3.892000834
I3G,wt,PhE-NH2,2,7.37955063
I3G,wt,PhE-NH2,3,3.826900583
I3G,wt,PhE-NH2,4,7.772758225
I3G,wt,PhE-NH2,5,4.350261191
I3G,wt,PhE-NH2,6,6.263440792
S150,wt,PhE-NH2,1,0.057288493
S150,wt,PhE-NH2,2,0.061996908
S150,wt,PhE-NH2,3,0.063630057
S150,wt,PhE-NH2,4,0.048900378
S150,wt,PhE-NH2,5,0.045827995
S150,wt,PhE-NH2,6,0.043388046
S0,wt,PhE-NH2,1,0.039451148
S0,wt,PhE-NH2,2,0.040527102
S0,wt,PhE-NH2,3,0.009342457
S0,wt,PhE-NH2,4,0.048436862
S0,wt,PhE-NH2,5,0.059093114
S0,wt,PhE-NH2,6,0.031463418
allyl,wt,allyl-NH2,1,0.60599538
allyl,wt,allyl-NH2,2,0.568631015
allyl,wt,allyl-NH2,3,0.80933195
allyl,wt,allyl-NH2,4,0.76461557
allyl,wt,allyl-NH2,5,0.73666954
allyl,wt,allyl-NH2,6,0.631131438
4MTB,wt,allyl-NH2,1,0.03635195
4MTB,wt,allyl-NH2,2,0.021424489
4MTB,wt,allyl-NH2,3,0.050227248
4MTB,wt,allyl-NH2,4,0.031796804
4MTB,wt,allyl-NH2,5,0.042880511
4MTB,wt,allyl-NH2,6,0.028193777
PhE,wt,allyl-NH2,1,0.026577704
PhE,wt,allyl-NH2,2,0.004821509
PhE,wt,allyl-NH2,3,0.03067415
PhE,wt,allyl-NH2,4,0.018199959
PhE,wt,allyl-NH2,5,0.024677714
PhE,wt,allyl-NH2,6,0.019939268
I3G,wt,allyl-NH2,1,0.043192382
I3G,wt,allyl-NH2,2,0.03952847
I3G,wt,allyl-NH2,3,0.065839982
I3G,wt,allyl-NH2,4,0.058952934
I3G,wt,allyl-NH2,5,0.062604677
I3G,wt,allyl-NH2,6,0.047367074
S150,wt,allyl-NH2,1,0.03391798
S150,wt,allyl-NH2,2,0.025764367
S150,wt,allyl-NH2,3,0.038434907
S150,wt,allyl-NH2,4,0.039786637
S150,wt,allyl-NH2,5,0.028383946
S150,wt,allyl-NH2,6,0.028867883
S0,wt,allyl-NH2,1,0.015223624
S0,wt,allyl-NH2,2,0.009995441
