time,genotype,treatment,batch,value
00h,wt,4MSB,1,2.101901476
00h,wt,4MSB,1,2.030669
00h,wt,4MSB,2,2.019796482
00h,wt,4MSB,2,3.363761349
00h,wt,4MSB,3,2.925983068
00h,wt,4MSB,3,3.123820193
09h,wt,4MSB,1,15.72663812
09h,wt,4MSB,2,19.18613983
09h,wt,4MSB,3,15.99908729
24h,wt,4MSB,1,24.54825469
24h,wt,4MSB,2,30.0612615
24h,wt,4MSB,3,27.82422441
48h,wt,4MSB,1,25.13572667
48h,wt,4MSB,2,15.26219856
48h,wt,4MSB,3,24.46324899
00h,oxp1,4MSB,1,3.097046419
00h,oxp1,4MSB,1,3.576141652
00h,oxp1,4MSB,2,1.259013477
00h,oxp1,4MSB,2,2.185851633
00h,oxp1,4MSB,3,1.624687818
00h,oxp1,4MSB,3,1.472299354
09h,oxp1,4MSB,1,15.52883892
09h,oxp1,4MSB,2,15.09388188
09h,oxp1,4MSB,3,13.9893347
24h,oxp1,4MSB,1,24.87967823
24h,oxp1,4MSB,2,29.79206346
24h,oxp1,4MSB,3,19.70854685
48h,oxp1,4MSB,1,24.46169224
48h,oxp1,4MSB,2,21.40251188
48h,oxp1,4MSB,3,4.135172755
00h,wt,DW,1,2.101901476
00h,wt,DW,1,2.030669
00h,wt,DW,2,2.019796482
00h,wt,DW,2,3.363761349
00h,wt,DW,3,2.925983068
00h,wt,DW,3,3.123820193
09h,wt,DW,1,1.742965287
09h,wt,DW,2,1.999703675
09h,wt,DW,3,1.605865082
24h,wt,DW,1,1.44426887
24h,wt,DW,2,1.685712561
24h,wt,DW,3,2.981052251
48h,wt,DW,1,1.892539135
48h,wt,DW,2,1.821283296
48h,wt,DW,3,3.4376227
00h,oxp1,DW,1,3.097046419
00h,oxp1,DW,1,3.576141652
00h,oxp1,DW,2,1.259013477
00h,oxp1,DW,2,2.185851633
00h,oxp1,DW,3,1.624687818
00h,oxp1,DW,3,1.472299354
09h,oxp1,DW,1,1.788155991
09h,oxp1,DW,2,2.537449378
09h,oxp1,DW,3,7.521996447
24h,oxp1,DW,1,3.205334996
24h,oxp1,DW,2,2.227650456
24h,oxp1,DW,3,1.379924002
48h,oxp1,DW,1,4.962547529
48h,oxp1,DW,2,1.204426801
48h,oxp1,DW,3,6.274636196
00h,wt,pCys,1,2.101901476
00h,wt,pCys,1,2.030669
00h,wt,pCys,2,2.019796482
00h,wt,pCys,2,3.363761349
00h,wt,pCys,3,2.925983068
00h,wt,pCys,3,3.123820193
09h,wt,pCys,1,1.971944399
09h,wt,pCys,2,1.640813358
09h,wt,pCys,3,1.532464093
24h,wt,pCys,1,3.980342096
24h,wt,pCys,2,2.017006372
24h,wt,pCys,3,4.629985643
48h,wt,pCys,1,4.252390891
48h,wt,pCys,2,1.961243802
48h,wt,pCys,3,24.09749833
00h,oxp1,pCys,1,3.097046419
00h,oxp1,pCys,1,3.576141652
00h,oxp1,pCys,2,1.259013477
00h,oxp1,pCys,2,2.185851633
00h,oxp1,pCys,3,1.624687818
00h,oxp1,pCys,3,1.472299354
09h,oxp1,pCys,1,2.203678966
09h,oxp1,pCys,2,1.243824866
09h,oxp1,pCys,3,1.435122
24h,oxp1,pCys,1,3.083594376
24h,oxp1,pCys,2,2.20323534
24h,oxp1,pCys,3,5.924016826
48h,oxp1,pCys,1,4.928190205
48h,oxp1,pCys,2,1.628220183
48h,oxp1,pCys,3,8.988154934
00h,wt,RA,1,2.101901476
00h,wt,RA,1,2.030669
00h,wt,RA,2,2.019796482
00h,wt,RA,2,3.363761349
00h,wt,RA,3,2.925983068
00h,wt,RA,3,3.123820193
09h,wt,RA,1,28.56911621
09h,wt,RA,2,22.16039593
09h,wt,RA,3,24.88485408
24h,wt,RA,1,37.55701228
24h,wt,RA,2,28.9130189
24h,wt,RA,3,42.48625236
48h,wt,RA,1,35.14254805
48h,wt,RA,2,24.4777889
48h,wt,RA,3,33.24118847
00h,oxp1,RA,1,3.097046419
00h,oxp1,RA,1,3.576141652
00h,oxp1,RA,2,1.259013477
00h,oxp1,RA,2,2.185851633
00h,oxp1,RA,3,1.624687818
00h,oxp1,RA,3,1.472299354
09h,oxp1,RA,1,26.37964953
09h,oxp1,RA,2,20.10007829
09h,oxp1,RA,3,13.03783508
24h,oxp1,RA,1,34.90795702
24h,oxp1,RA,2,39.91971858
24h,oxp1,RA,3,25.60072626
48h,oxp1,RA,1,29.7399487
48h,oxp1,RA,2,29.23179189
48h,oxp1,RA,3,21.86598264
