genotype,sulfur,substrate,batch,value
wt,S1500,5OP,2,1617.457163
wt,S1500,5OP,3,1966.949628
wt,S1500,5OP,4,1746.732137
wt,S15,5OP,2,5908.457007
wt,S15,5OP,3,5907.257402
wt,S15,5OP,4,5632.374135
oxp1,S1500,5OP,2,86.15799588
oxp1,S1500,5OP,3,6.816339608
oxp1,S1500,5OP,4,6.85944278
oxp1,S15,5OP,1,43.06900227
oxp1,S15,5OP,2,126.7954628
oxp1,S15,5OP,3,31.41638484
wt,S1500,RA,2,10.17008231
wt,S1500,RA,3,11.62430622
wt,S1500,RA,4,11.21478268
wt,S15,RA,2,65.95601931
wt,S15,RA,3,37.92845009
wt,S15,RA,4,33.30587978
oxp1,S1500,RA,2,5.101252863
oxp1,S1500,RA,3,1.772368354
oxp1,S1500,RA,4,2.55256099
oxp1,S15,RA,1,4.50696571
oxp1,S15,RA,2,14.06778736
oxp1,S15,RA,3,20.05172435
wt,S1500,pCys,2,9.416884136
wt,S1500,pCys,3,8.086405288
wt,S1500,pCys,4,6.842311017
wt,S15,pCys,2,38.55881803
wt,S15,pCys,3,42.14653948
wt,S15,pCys,4,115.5733127
oxp1,S1500,pCys,2,0.006974596
oxp1,S1500,pCys,3,0.361206025
oxp1,S1500,pCys,4,0.098743769
oxp1,S15,pCys,1,1.961901288
oxp1,S15,pCys,2,2.476724874
oxp1,S15,pCys,3,2.421502294
