group_comp	p.val	adj_p
timeS0_5d:genotypebglu30-timeS0_5d:genotypewt	0.551019969027338	0.649416392067934
timeS0_5d:genotypebglu30-timeS0_5d:genotypebglu28	0.378625041927043	0.471495335229902
timeS0_5d:genotypebglu30-timeS0_5d:genotypebglu28bglu30	0.329721972704721	0.427386736145905
timeS0_5d:genotypebglu30-timeS1500_5d:genotypebglu30	5.32898601159849e-06	1.46547115318958e-05
timeS0_5d:genotypebglu30-timeS1500_5d:genotypewt	2.36490085972964e-06	7.43254555915029e-06
timeS0_5d:genotypebglu30-timeS1500_5d:genotypebglu28bglu30	7.53775025645674e-07	2.7638417607008e-06
timeS0_5d:genotypebglu30-timeS1500_5d:genotypebglu28	1.47725152222976e-07	5.73521179218613e-07
timeS0_5d:genotypebglu30-timeS1500_0d:genotypebglu30	2.20597334634283e-11	2.91188481717254e-10
timeS0_5d:genotypebglu30-timeS1500_0d:genotypebglu28	1.14145121580459e-11	2.5111926747701e-10
timeS0_5d:genotypebglu30-timeS1500_0d:genotypewt	8.08403423085671e-12	2.5111926747701e-10
timeS0_5d:genotypebglu30-timeS1500_0d:genotypebglu28bglu30	2.84288818849329e-12	1.87630620440557e-10
timeS0_5d:genotypewt-timeS0_5d:genotypebglu28	0.773694116950348	0.810536693947984
timeS0_5d:genotypewt-timeS0_5d:genotypebglu28bglu30	0.701442990331904	0.762461771011463
timeS0_5d:genotypewt-timeS1500_5d:genotypebglu30	3.21875868233606e-05	7.587074036935e-05
timeS0_5d:genotypewt-timeS1500_5d:genotypewt	1.43520534584992e-05	3.55506458708422e-05
timeS0_5d:genotypewt-timeS1500_5d:genotypebglu28bglu30	4.57261383456483e-06	1.31214136122295e-05
timeS0_5d:genotypewt-timeS1500_5d:genotypebglu28	8.85025330745344e-07	3.07429851732593e-06
timeS0_5d:genotypewt-timeS1500_0d:genotypebglu30	1.38191356000792e-10	8.29148136004751e-10
timeS0_5d:genotypewt-timeS1500_0d:genotypebglu28	6.98640763471829e-11	5.12336559879341e-10
timeS0_5d:genotypewt-timeS1500_0d:genotypewt	4.88746040209901e-11	4.37430123617922e-10
timeS0_5d:genotypewt-timeS1500_0d:genotypebglu28bglu30	1.65509536953616e-11	2.73090735973466e-10
timeS0_5d:genotypebglu28-timeS0_5d:genotypebglu28bglu30	0.923470363486221	0.923470363486221
timeS0_5d:genotypebglu28-timeS1500_5d:genotypebglu30	7.58433744326623e-05	0.000161472990727604
timeS0_5d:genotypebglu28-timeS1500_5d:genotypewt	3.4027607536128e-05	7.74421412891188e-05
timeS0_5d:genotypebglu28-timeS1500_5d:genotypebglu28bglu30	1.0890817662069e-05	2.87517586278622e-05
timeS0_5d:genotypebglu28-timeS1500_5d:genotypebglu28	2.10667349072497e-06	6.9520225193924e-06
timeS0_5d:genotypebglu28-timeS1500_0d:genotypebglu30	3.41751517611976e-10	1.50370667749269e-09
timeS0_5d:genotypebglu28-timeS1500_0d:genotypebglu28	1.70880921609908e-10	8.67549294327225e-10
