group	estim	cpd	letters	logFC
S1500:wt	6.82514204480235	G01	d	0
S1500:bglu28bglu30	6.13115284945666	G01	d	-0.15470070026363
S30:wt	3.48880286892888	G01	c	-0.968126989806283
S30:bglu28bglu30	3.10350325748716	G01	c	-1.13696141150684
S3:wt	0.105109830008924	G01	a	-6.02088956825138
S3:bglu28bglu30	0.341582476277623	G01	b	-4.32055320227528
S1500:wt	45.8639584969029	G02	d	0
S1500:bglu28bglu30	42.4888895409267	G02	d	-0.110275239726392
S30:wt	21.7768047646946	G02	c	-1.07456859070444
S30:bglu28bglu30	19.704573567959	G02	c	-1.21883035057237
S3:wt	0.376671527441247	G02	a	-6.92791008415504
S3:bglu28bglu30	1.57887789715822	G02	b	-4.86038936911808
S1500:wt	1.49008690996288	G03	d	0
S1500:bglu28bglu30	1.526177022043	G03	d	0.0345258318508405
S30:wt	0.819654973274854	G03	c	-0.862307826422296
S30:bglu28bglu30	0.797316938545015	G03	c	-0.902171255175413
S3:wt	0.0425352878976384	G03	a	-5.13059244979799
S3:bglu28bglu30	0.12059237339252	G03	b	-3.62718590388861
S1500:wt	0.290483924968357	G04	c	0
S1500:bglu28bglu30	0.319653863220701	G04	c	0.138052201009008
S30:wt	0.144324960046706	G04	b	-1.00913750286102
S30:bglu28bglu30	0.157887959308134	G04	b	-0.879557174784319
S3:wt	0.0804455504647737	G04	a	-1.85237379766881
S3:bglu28bglu30	0.0796650838604213	G04	a	-1.8664388748915
S1500:wt	1.10059343714962	G05	d	0
S1500:bglu28bglu30	1.34221177089604	G05	e	0.286330683398399
S30:wt	0.459796923375369	G05	c	-1.2592129132584
S30:bglu28bglu30	0.586041277627482	G05	c	-0.909207441903009
S3:wt	0.000831318586074526	G05	a	-10.3705925438206
S3:bglu28bglu30	0.0716429168767968	G05	b	-3.94131374422631
S1500:wt	6.81766181798327	G06	e	0
S1500:bglu28bglu30	8.14920069978397	G06	e	0.25738152396332
S30:wt	2.63978407249884	G06	c	-1.36885711238726
S30:bglu28bglu30	4.12500513479783	G06	d	-0.724881122855413
S3:wt	0.00277533862409335	G06	a	-11.2623975147031
S3:bglu28bglu30	0.302015943829499	G06	b	-4.49658041958603
S1500:wt	2.67122041792191	G08	cd	0
S1500:bglu28bglu30	2.96636361420731	G08	d	0.151196426866415
S30:wt	1.81961392500172	G08	b	-0.553866645707387
S30:bglu28bglu30	4.16793784562184	G08	e	0.641834737547629
S3:wt	0.0442100392156531	G08	a	-5.91698120180534
S3:bglu28bglu30	1.96798559634703	G08	bc	-0.440779364382238
S1500:wt	0.225629894398458	G09	c	0
S1500:bglu28bglu30	0.228269953855997	G09	c	0.016782749118193
S30:wt	0.114030501627368	G09	b	-0.98453844994841
S30:bglu28bglu30	0.199336560614077	G09	c	-0.178751886220515
S3:wt	0.00872895343329029	G09	a	-4.69200572643656
S3:bglu28bglu30	0.11903486998583	G09	b	-0.922573970049108
S1500:wt	0.196125255104094	G10	c	0
S1500:bglu28bglu30	0.247925922470385	G10	d	0.338133799903079
S30:wt	0.135969788335992	G10	b	-0.52848919476003
S30:bglu28bglu30	0.228179549394012	G10	cd	0.218394172052554
S3:wt	0.090791798862295	G10	a	-1.11114143250773
S3:bglu28bglu30	0.127512924410209	G10	b	-0.621131841064699
S1500:wt	0.585246921675023	G11	d	0
S1500:bglu28bglu30	0.814134829677922	G11	e	0.476222299473702
S30:wt	0.234282539662381	G11	c	-1.32079600226009
S30:bglu28bglu30	0.510887775874229	G11	d	-0.196039024498793
S3:wt	5.80806521176978e-06	G11	a	-16.6206282636903
S3:bglu28bglu30	0.129359470554984	G11	b	-2.17765976171801
S1500:wt	1.54275044976607	G12	c	0
S1500:bglu28bglu30	2.01239263627983	G12	c	0.383407100474889
S30:wt	0.548044508546299	G12	b	-1.49313974598511
S30:bglu28bglu30	2.1698368966756	G12	c	0.492081886382877
S3:wt	0.00055397393909939	G12	a	-11.4433989863551
S3:bglu28bglu30	0.416215435171339	G12	b	-1.89010234227416
S1500:wt	0.166182261765783	G15	a	0
S1500:bglu28bglu30	0.197931504485658	G15	a	0.252234864868224
S30:wt	0.16960027629383	G15	a	0.0293721225987056
S30:bglu28bglu30	0.189348549193115	G15	a	0.188277969613869
S3:wt	0.205938105409881	G15	a	0.309444403731072
S3:bglu28bglu30	0.197811812714412	G15	a	0.251362184408075
S1500:wt	0.233243753231611	G17	d	0
S1500:bglu28bglu30	0.215843130129883	G17	d	-0.111855267792102
S30:wt	0.123754342649684	G17	c	-0.914359291594848
S30:bglu28bglu30	0.129911301360457	G17	c	-0.844311502658196
S3:wt	0.00646928228005768	G17	a	-5.17208896835323
S3:bglu28bglu30	0.0203753169784103	G17	b	-3.51694403451472
S1500:wt	15.8313608833864	G18	c	0
S1500:bglu28bglu30	15.977573275393	G18	c	0.0132630271388504
S30:wt	8.18754557675739	G18	b	-0.951282339085262
S30:bglu28bglu30	7.56729253310735	G18	b	-1.06493615425899
S3:wt	1.21199641023109	G18	a	-3.70732794579508
S3:bglu28bglu30	1.10615986052646	G18	a	-3.83915347483093
S1500:wt	13.093832703848	G19	a	0
S1500:bglu28bglu30	14.6521547176644	G19	a	0.162225388948896
S30:wt	13.2053359947472	G19	a	0.01223355845029
S30:bglu28bglu30	14.2752644226752	G19	a	0.124630017817865
S3:wt	16.252885028225	G19	a	0.311808380515108
S3:bglu28bglu30	14.377384523464	G19	a	0.134913799054439
S1500:wt	4.66345986895777	G20	bc	0
S1500:bglu28bglu30	5.09671048039651	G20	c	0.128165700552748
S30:wt	4.30141478169024	G20	b	-0.116589446633415
S30:bglu28bglu30	4.42473958299817	G20	bc	-0.0758081542345377
S3:wt	2.59509966602357	G20	a	-0.845610755424326
S3:bglu28bglu30	2.22040520460009	G20	a	-1.07057772257929
